subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bfr_119	 1	 10	 156.jpg	 1.846417e+03	 12	 999000	 120	 999000	 999	 1.847435e+03	 750.00	 816.67	 1.00	 56	 0.89	 
BMI_bfr_119	 1	 10	 148.jpg	 1.849421e+03	 24	 999000	 240	 999000	 999	 1.850439e+03	 750.00	 816.67	 60.00	 48	 0.10	 
BMI_bfr_119	 1	 10	 146.jpg	 1.853425e+03	 24	 999000	 240	 999000	 999	 1.854443e+03	 750.00	 816.67	 54.00	 46	 0.24	 
BMI_bfr_119	 1	 10	 120.jpg	 1.855428e+03	 12	 999000	 120	 999000	 999	 1.856445e+03	 750.00	 816.67	 29.00	 20	 0.52	 
BMI_bfr_119	 1	 10	 133.jpg	 1.857413e+03	 12	 999000	 120	 999000	 999	 1.858431e+03	 750.00	 816.67	 8.00	 33	 0.76	 
BMI_bfr_119	 1	 10	 149.jpg	 1.861418e+03	 22	 9.879070e+02	 220	 8.170742e+02	 98	 1.862452e+03	 750.00	 833.33	 57.00	 49	 0.15	 
BMI_bfr_119	 1	 10	 130.jpg	 1.863420e+03	 24	 999000	 240	 999000	 999	 1.864438e+03	 750.00	 833.33	 55.00	 30	 0.23	 
BMI_bfr_119	 1	 10	 143.jpg	 1.868425e+03	 24	 999000	 240	 999000	 999	 1.869443e+03	 750.00	 833.33	 40.00	 43	 0.40	 
BMI_bfr_119	 1	 10	 140.jpg	 1.870428e+03	 24	 999000	 240	 999000	 999	 1.871446e+03	 750.00	 833.33	 33.00	 40	 0.48	 
BMI_bfr_119	 1	 10	 124.jpg	 1.873414e+03	 12	 999000	 120	 999000	 999	 1.874432e+03	 750.00	 833.33	 6.00	 24	 0.80	 
BMI_bfr_119	 1	 10	 108.jpg	 1.876418e+03	 24	 999000	 240	 999000	 999	 1.877436e+03	 750.00	 833.33	 48.00	 8	 0.32	 
