subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bfr_127	 1	 5.161951e-01	 133.jpg	 103.jpg	 33	 3	 i	 0	 1.104930e+03
BMI_bfr_127	 2	 4.020098e+00	 107.jpg	 160.jpg	 7	 60	 u	 0	 9.874229e+02
BMI_bfr_127	 3	 7.507328e+00	 127.jpg	 106.jpg	 27	 6	 u	 0	 8.528305e+02
BMI_bfr_127	 4	 1.101126e+01	 142.jpg	 153.jpg	 42	 53	 i	 0	 8.253378e+02
BMI_bfr_127	 5	 1.451518e+01	 140.jpg	 143.jpg	 40	 43	 i	 0	 7.415468e+02
BMI_bfr_127	 6	 1.801910e+01	 149.jpg	 145.jpg	 49	 45	 u	 0	 9.953445e+02
BMI_bfr_127	 7	 2.150634e+01	 145.jpg	 153.jpg	 45	 53	 i	 0	 9.057283e+02
BMI_bfr_127	 8	 2.501025e+01	 132.jpg	 160.jpg	 32	 60	 u	 0	 8.219129e+02
BMI_bfr_127	 9	 2.851418e+01	 102.jpg	 136.jpg	 2	 36	 u	 0	 9.632404e+02
BMI_bfr_127	 10	 3.201809e+01	 149.jpg	 121.jpg	 49	 21	 i	 0	 9.806831e+02
BMI_bfr_127	 11	 3.550533e+01	 160.jpg	 129.jpg	 60	 29	 i	 0	 1.014865e+03
BMI_bfr_127	 12	 3.900925e+01	 121.jpg	 106.jpg	 21	 6	 u	 0	 9.986217e+02
BMI_bfr_127	 13	 4.251318e+01	 142.jpg	 124.jpg	 42	 24	 i	 0	 1.162381e+03
BMI_bfr_127	 14	 4.601709e+01	 107.jpg	 150.jpg	 7	 50	 i	 0	 1.168623e+03
BMI_bfr_127	 15	 4.952102e+01	 130.jpg	 121.jpg	 30	 21	 u	 0	 8.710581e+02
BMI_bfr_127	 16	 5.300825e+01	 129.jpg	 158.jpg	 29	 58	 i	 0	 1.130221e+03
BMI_bfr_127	 17	 5.651217e+01	 154.jpg	 126.jpg	 54	 26	 i	 0	 1.249030e+03
BMI_bfr_127	 18	 6.001610e+01	 146.jpg	 156.jpg	 46	 56	 i	 0	 1.266485e+03
