subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_101	 1	 11	 ClickBisquit2.bmp	 1.242446e+03	 12	 999000	 120	 999000	 999	 1.243465e+03	 900.00	 916.67	 4.00	 29	 6.58	 
BOA_101	 1	 11	 CrunchBisquitBrown3.bmp	 1.244448e+03	 12	 999000	 120	 999000	 999	 1.245466e+03	 900.00	 916.67	 5.00	 9	 6.51	 
BOA_101	 1	 11	 Taami.bmp	 1.248452e+03	 22	 5.336696e+02	 22	 9.167334e+02	 98	 1.249487e+03	 900.00	 916.67	 52.00	 20	 0.07	 
BOA_101	 1	 11	 WerthersOriginal.bmp	 1.251439e+03	 24	 999000	 240	 999000	 999	 1.252457e+03	 900.00	 916.67	 56.00	 35	 0.04	 
BOA_101	 1	 11	 ClickXLwhite4.bmp	 1.253441e+03	 12	 999000	 120	 999000	 999	 1.254460e+03	 900.00	 916.67	 14.00	 26	 5.42	 
BOA_101	 1	 11	 GumiWine2.bmp	 1.256445e+03	 24	 999000	 240	 999000	 999	 1.257463e+03	 900.00	 916.67	 40.00	 27	 2.22	 
BOA_101	 1	 11	 ChocolateParaCookies5.bmp	 1.260449e+03	 12	 999000	 120	 999000	 999	 1.261467e+03	 900.00	 916.67	 11.00	 30	 5.87	 
BOA_101	 1	 11	 ClickXLbrown4.bmp	 1.264437e+03	 12	 999000	 120	 999000	 999	 1.265455e+03	 900.00	 916.67	 6.00	 45	 6.40	 
BOA_101	 1	 11	 Egozi.bmp	 1.266439e+03	 22	 5.387643e+02	 22	 9.167189e+02	 98	 1.267474e+03	 900.00	 916.67	 50.00	 56	 0.09	 
BOA_101	 1	 11	 Tapuchips.bmp	 1.271445e+03	 12	 999000	 120	 999000	 999	 1.272463e+03	 900.00	 916.67	 21.00	 42	 4.96	 
BOA_101	 1	 11	 KinderBuenoBrown3.bmp	 1.273447e+03	 12	 999000	 120	 999000	 999	 1.274465e+03	 900.00	 916.67	 8.00	 13	 5.98	 
BOA_101	 1	 11	 BambaSweet.bmp	 1.275449e+03	 12	 999000	 120	 999000	 999	 1.276467e+03	 900.00	 916.67	 22.00	 25	 4.89	 
BOA_101	 1	 11	 Keifli.bmp	 1.281439e+03	 11	 5.067044e+02	 11	 9.000609e+02	 98	 1.282475e+03	 916.67	 916.67	 12.00	 32	 5.87	 
BOA_101	 1	 11	 CrunchShokoVanil.bmp	 1.283442e+03	 24	 999000	 240	 999000	 999	 1.284459e+03	 916.67	 916.67	 42.00	 3	 1.60	 
BOA_101	 1	 11	 Twix.bmp	 1.285444e+03	 24	 999000	 240	 999000	 999	 1.286462e+03	 916.67	 916.67	 48.00	 43	 0.09	 
BOA_101	 1	 11	 Snickers.bmp	 1.287446e+03	 22	 6.598972e+02	 22	 9.167105e+02	 98	 1.288481e+03	 916.67	 916.67	 45.00	 15	 0.11	 
BOA_101	 1	 11	 Shugi.bmp	 1.291451e+03	 24	 999000	 240	 999000	 999	 1.292468e+03	 916.67	 916.67	 43.00	 55	 1.22	 
BOA_101	 1	 11	 Halva2.bmp	 1.295438e+03	 22	 5.796287e+02	 22	 9.167089e+02	 98	 1.296474e+03	 916.67	 916.67	 44.00	 49	 0.16	 
BOA_101	 1	 11	 SkittlesSour4.bmp	 1.298442e+03	 11	 6.082810e+02	 11	 9.167232e+02	 98	 1.299477e+03	 916.67	 916.67	 18.00	 54	 5.20	 
BOA_101	 1	 11	 BambaNugat.bmp	 1.302446e+03	 22	 5.396919e+02	 22	 9.167215e+02	 98	 1.303482e+03	 916.67	 916.67	 47.00	 8	 0.09	 
BOA_101	 1	 11	 Hit.bmp	 1.305450e+03	 24	 999000	 240	 999000	 999	 1.306467e+03	 916.67	 916.67	 41.00	 1	 1.67	 
BOA_101	 1	 11	 BisliOnion.bmp	 1.307452e+03	 24	 999000	 240	 999000	 999	 1.308470e+03	 916.67	 916.67	 39.00	 23	 2.78	 
BOA_101	 1	 11	 Twist.bmp	 1.311440e+03	 24	 999000	 240	 999000	 999	 1.312457e+03	 916.67	 916.67	 49.00	 50	 0.09	 
BOA_101	 1	 11	 ChocolateParaMilk3.bmp	 1.313442e+03	 12	 999000	 120	 999000	 999	 1.314460e+03	 916.67	 916.67	 19.00	 14	 4.96	 
BOA_101	 1	 11	 Popco.bmp	 1.315444e+03	 24	 999000	 240	 999000	 999	 1.316462e+03	 916.67	 916.67	 51.00	 6	 0.07	 
BOA_101	 1	 11	 KinderBuenoWhite2.bmp	 1.319449e+03	 12	 999000	 120	 999000	 999	 1.320466e+03	 916.67	 916.67	 16.00	 2	 5.36	 
BOA_101	 1	 11	 BisliGrill.bmp	 1.321451e+03	 12	 999000	 120	 999000	 999	 1.322469e+03	 916.67	 916.67	 17.00	 7	 5.29	 
BOA_101	 1	 11	 CrunchBisquitWhite2.bmp	 1.325439e+03	 12	 999000	 120	 999000	 999	 1.326457e+03	 916.67	 916.67	 9.00	 37	 5.93	 
BOA_101	 1	 11	 HappyHippo.bmp	 1.329443e+03	 12	 999000	 120	 999000	 999	 1.330461e+03	 916.67	 916.67	 3.00	 46	 6.64	 
BOA_101	 1	 11	 Tictac.bmp	 1.332446e+03	 24	 999000	 240	 999000	 999	 1.333464e+03	 916.67	 916.67	 58.00	 51	 0.04	 
BOA_101	 1	 11	 Tortit.bmp	 1.338436e+03	 24	 999000	 240	 999000	 999	 1.339454e+03	 916.67	 916.67	 57.00	 40	 0.04	 
BOA_101	 1	 11	 Dubonim.bmp	 1.340439e+03	 11	 5.472004e+02	 11	 9.167121e+02	 98	 1.341473e+03	 916.67	 916.67	 15.00	 52	 5.38	 
BOA_101	 1	 11	 Mars.bmp	 1.344443e+03	 24	 999000	 240	 999000	 999	 1.345461e+03	 916.67	 916.67	 55.00	 4	 0.04	 
BOA_101	 1	 11	 ClickBalls5.bmp	 1.346445e+03	 11	 5.965673e+02	 11	 9.167092e+02	 98	 1.347481e+03	 916.67	 916.67	 7.00	 58	 6.33	 
BOA_101	 1	 11	 KinderJoy.bmp	 1.348448e+03	 12	 999000	 120	 999000	 999	 1.349466e+03	 916.67	 916.67	 20.00	 16	 4.96	 
BOA_101	 1	 11	 ChocolateParaMarir2.bmp	 1.350450e+03	 24	 999000	 240	 999000	 999	 1.351468e+03	 916.67	 916.67	 46.00	 39	 0.11	 
BOA_101	 1	 11	 KifkefMaklot2.bmp	 1.355439e+03	 11	 5.791040e+02	 11	 9.167178e+02	 98	 1.356475e+03	 916.67	 916.67	 13.00	 12	 5.78	 
BOA_101	 1	 11	 DoritosSourSpicy.bmp	 1.357441e+03	 24	 999000	 240	 999000	 999	 1.358459e+03	 916.67	 916.67	 54.00	 38	 0.07	 
BOA_101	 1	 11	 Bounty.bmp	 1.359443e+03	 22	 5.425286e+02	 22	 9.167098e+02	 98	 1.360479e+03	 916.67	 916.67	 53.00	 22	 0.07	 
BOA_101	 1	 11	 KashitSour.bmp	 1.362447e+03	 11	 7.073229e+02	 11	 9.167184e+02	 98	 1.363481e+03	 916.67	 916.67	 10.00	 48	 5.91	 
