subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue
BMI_bs_101	 1	 12	 ClickBisquit2.bmp	 2.249447e+03	 12	 999000	 120	 999000	 999	 2.250465e+03	 583.33	 583.33	 1.00	 25	 2.97	 
BMI_bs_101	 1	 12	 BagaleShtuhim.bmp	 2.252450e+03	 11	 8.203787e+02	 110	 5.833931e+02	 98	 2.253486e+03	 600.00	 583.33	 24.00	 56	 1.52	 
BMI_bs_101	 1	 12	 HappyHippo.bmp	 2.254452e+03	 11	 8.207671e+02	 110	 6.000471e+02	 98	 2.255489e+03	 616.67	 583.33	 12.00	 41	 2.24	 
BMI_bs_101	 1	 12	 Bamba.bmp	 2.256438e+03	 12	 999000	 120	 999000	 999	 2.257456e+03	 616.67	 583.33	 25.00	 38	 1.51	 
BMI_bs_101	 1	 12	 Tortit.bmp	 2.258440e+03	 22	 8.717691e+02	 220	 5.834317e+02	 98	 2.259477e+03	 616.67	 600.00	 44.00	 50	 0.82	 
BMI_bs_101	 1	 12	 Egozi.bmp	 2.261444e+03	 22	 9.173992e+02	 220	 6.000683e+02	 98	 2.262478e+03	 616.67	 616.67	 52.00	 34	 0.59	 
BMI_bs_101	 1	 12	 CrunchBisquitWhite2.bmp	 2.263446e+03	 12	 999000	 120	 999000	 999	 2.264464e+03	 616.67	 616.67	 26.00	 11	 1.44	 
BMI_bs_101	 1	 12	 KinderBuenoWhite2.bmp	 2.267450e+03	 12	 999000	 120	 999000	 999	 2.268468e+03	 616.67	 616.67	 17.00	 1	 1.76	 
BMI_bs_101	 1	 12	 ChocolateParaMarir2.bmp	 2.269453e+03	 24	 999000	 240	 999000	 999	 2.270470e+03	 616.67	 616.67	 32.00	 54	 1.15	 
BMI_bs_101	 1	 12	 DoritosSourSpicy.bmp	 2.274441e+03	 24	 999000	 240	 999000	 999	 2.275459e+03	 616.67	 616.67	 33.00	 27	 1.09	 
BMI_bs_101	 1	 12	 Snickers.bmp	 2.276444e+03	 11	 9.029398e+02	 110	 6.167088e+02	 98	 2.277479e+03	 633.33	 616.67	 18.00	 15	 1.75	 
BMI_bs_101	 1	 12	 Twist.bmp	 2.280448e+03	 12	 999000	 120	 999000	 999	 2.281466e+03	 633.33	 616.67	 30.00	 10	 1.24	 
BMI_bs_101	 1	 12	 WerthersOriginal.bmp	 2.282450e+03	 24	 999000	 240	 999000	 999	 2.283468e+03	 633.33	 616.67	 60.00	 39	 0.01	 
BMI_bs_101	 1	 12	 GumiWine2.bmp	 2.285454e+03	 24	 999000	 240	 999000	 999	 2.286472e+03	 633.33	 616.67	 54.00	 17	 0.37	 
BMI_bs_101	 1	 12	 Cheetos.bmp	 2.290443e+03	 24	 999000	 240	 999000	 999	 2.291461e+03	 633.33	 616.67	 51.00	 29	 0.59	 
BMI_bs_101	 1	 12	 HispusimShatiah.bmp	 2.292445e+03	 24	 999000	 240	 999000	 999	 2.293463e+03	 633.33	 616.67	 57.00	 51	 0.14	 
BMI_bs_101	 1	 12	 BisliPizza3.bmp	 2.294447e+03	 24	 999000	 240	 999000	 999	 2.295465e+03	 633.33	 616.67	 40.00	 12	 0.88	 
BMI_bs_101	 1	 12	 ChocolateParaMilk3.bmp	 2.298452e+03	 12	 999000	 120	 999000	 999	 2.299470e+03	 633.33	 616.67	 8.00	 40	 2.61	 
BMI_bs_101	 1	 12	 DoritosGrill.bmp	 2.302440e+03	 24	 999000	 240	 999000	 999	 2.303457e+03	 633.33	 616.67	 35.00	 2	 0.97	 
