subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue
BMI_bs_107	 1	 6	 GumiSnakes3.bmp	 9.517657e+02	 24	 999000	 240	 999000	 999	 9.527836e+02	 716.67	 716.67	 60.00	 33	 0.01	 
BMI_bs_107	 1	 6	 CrunchBisquitBrown3.bmp	 9.547525e+02	 12	 999000	 120	 999000	 999	 9.557705e+02	 716.67	 716.67	 8.00	 52	 2.95	 
BMI_bs_107	 1	 6	 Twix.bmp	 9.567546e+02	 11	 9.181404e+02	 110	 7.167351e+02	 98	 9.577904e+02	 733.33	 716.67	 20.00	 12	 2.01	 
BMI_bs_107	 1	 6	 SkittlesSour4.bmp	 9.587569e+02	 22	 9.522645e+02	 220	 7.167449e+02	 98	 9.597929e+02	 733.33	 733.33	 52.00	 23	 0.06	 
BMI_bs_107	 1	 6	 KinderJoy.bmp	 9.607592e+02	 11	 9.187515e+02	 110	 7.333842e+02	 98	 9.617935e+02	 750.00	 733.33	 21.00	 10	 1.98	 
BMI_bs_107	 1	 6	 ChocolateParaMilk3.bmp	 9.637624e+02	 24	 999000	 240	 999000	 999	 9.647805e+02	 750.00	 733.33	 35.00	 35	 0.87	 
BMI_bs_107	 1	 6	 Mars.bmp	 9.657648e+02	 12	 999000	 120	 999000	 999	 9.667830e+02	 750.00	 733.33	 14.00	 34	 2.54	 
BMI_bs_107	 1	 6	 PesekZman.bmp	 9.697525e+02	 24	 999000	 240	 999000	 999	 9.707714e+02	 750.00	 733.33	 31.00	 46	 0.91	 
BMI_bs_107	 1	 6	 KinderBuenoWhite2.bmp	 9.717548e+02	 12	 999000	 120	 999000	 999	 9.727730e+02	 750.00	 733.33	 2.00	 29	 2.98	 
BMI_bs_107	 1	 6	 DoritosGrill.bmp	 9.767604e+02	 22	 9.270912e+02	 220	 7.333812e+02	 98	 9.777949e+02	 750.00	 750.00	 37.00	 3	 0.86	 
BMI_bs_107	 1	 6	 KifkefMaklot2.bmp	 9.787626e+02	 12	 999000	 120	 999000	 999	 9.797806e+02	 750.00	 750.00	 11.00	 45	 2.81	 
BMI_bs_107	 1	 6	 Apropo.bmp	 9.827503e+02	 11	 9.336084e+02	 110	 7.500452e+02	 98	 9.837861e+02	 766.67	 750.00	 12.00	 28	 2.78	 
BMI_bs_107	 1	 6	 BagaleShtuhim.bmp	 9.847527e+02	 24	 999000	 240	 999000	 999	 9.857721e+02	 766.67	 750.00	 54.00	 54	 0.04	 
BMI_bs_107	 1	 6	 Twist.bmp	 9.877560e+02	 22	 9.344392e+02	 220	 7.500485e+02	 98	 9.887911e+02	 766.67	 766.67	 47.00	 26	 0.17	 
BMI_bs_107	 1	 6	 TapuchipsCrunch.bmp	 9.927616e+02	 22	 9.689986e+02	 220	 7.667190e+02	 98	 9.937962e+02	 766.67	 783.33	 53.00	 20	 0.04	 
BMI_bs_107	 1	 6	 HappyHippo.bmp	 9.947638e+02	 12	 999000	 120	 999000	 999	 9.957822e+02	 766.67	 783.33	 6.00	 39	 2.95	 
BMI_bs_107	 1	 6	 Bamba.bmp	 9.967660e+02	 24	 999000	 240	 999000	 999	 9.977842e+02	 766.67	 783.33	 36.00	 4	 0.87	 
BMI_bs_107	 1	 6	 Mekupelet.bmp	 1.000754e+03	 24	 999000	 240	 999000	 999	 1.001772e+03	 766.67	 783.33	 38.00	 30	 0.86	 
BMI_bs_107	 1	 6	 ChocolateParaSucariotKoftzot2.bmp	 1.004758e+03	 24	 999000	 240	 999000	 999	 1.005777e+03	 766.67	 783.33	 49.00	 16	 0.15	 
BMI_bs_107	 1	 6	 ClickXLbrown4.bmp	 1.008763e+03	 11	 9.435208e+02	 110	 7.667169e+02	 98	 1.009798e+03	 783.33	 783.33	 10.00	 13	 2.81	 
BMI_bs_107	 1	 6	 Snickers.bmp	 1.010765e+03	 12	 999000	 120	 999000	 999	 1.011784e+03	 783.33	 783.33	 22.00	 7	 1.87	 
BMI_bs_107	 1	 6	 Tictac.bmp	 1.012767e+03	 12	 999000	 120	 999000	 999	 1.013786e+03	 783.33	 783.33	 30.00	 43	 0.95	 
BMI_bs_107	 1	 6	 Tortit.bmp	 1.014753e+03	 24	 999000	 240	 999000	 999	 1.015771e+03	 783.33	 783.33	 57.00	 18	 0.02	 
BMI_bs_107	 1	 6	 DoritosSourSpicy.bmp	 1.016755e+03	 12	 999000	 120	 999000	 999	 1.017773e+03	 783.33	 783.33	 25.00	 6	 1.67	 
BMI_bs_107	 1	 6	 ClickXLwhite4.bmp	 1.022762e+03	 11	 9.739200e+02	 110	 7.833796e+02	 98	 1.023797e+03	 800.00	 783.33	 13.00	 11	 2.55	 
BMI_bs_107	 1	 6	 BambaNugat.bmp	 1.025765e+03	 24	 999000	 240	 999000	 999	 1.026784e+03	 800.00	 783.33	 34.00	 59	 0.89	 
BMI_bs_107	 1	 6	 Halva2.bmp	 1.027750e+03	 12	 999000	 120	 999000	 999	 1.028769e+03	 800.00	 783.33	 9.00	 42	 2.89	 
BMI_bs_107	 1	 6	 Tapuchips.bmp	 1.029753e+03	 22	 1.070612e+03	 2200	 7.833806e+02	 98	 1.030789e+03	 800.00	 733.33	 39.00	 51	 0.79	 
BMI_bs_107	 1	 6	 Cheetos.bmp	 1.032756e+03	 24	 999000	 240	 999000	 999	 1.033775e+03	 800.00	 733.33	 41.00	 50	 0.55	 
BMI_bs_107	 1	 6	 Egozi.bmp	 1.034759e+03	 12	 999000	 120	 999000	 999	 1.035777e+03	 800.00	 733.33	 16.00	 19	 2.06	 
BMI_bs_107	 1	 6	 WerthersOriginal.bmp	 1.036761e+03	 24	 999000	 240	 999000	 999	 1.037779e+03	 800.00	 733.33	 43.00	 44	 0.25	 
BMI_bs_107	 1	 6	 Mentos.bmp	 1.038763e+03	 24	 999000	 240	 999000	 999	 1.039781e+03	 800.00	 733.33	 40.00	 53	 0.65	 
BMI_bs_107	 1	 6	 KinderBuenoBrown3.bmp	 1.041767e+03	 12	 999000	 120	 999000	 999	 1.042784e+03	 800.00	 733.33	 23.00	 9	 1.80	 
BMI_bs_107	 1	 6	 Loacker.bmp	 1.043752e+03	 12	 999000	 120	 999000	 999	 1.044770e+03	 800.00	 733.33	 29.00	 56	 0.96	 
BMI_bs_107	 1	 6	 CrunchBisquitWhite2.bmp	 1.045754e+03	 12	 999000	 120	 999000	 999	 1.046773e+03	 800.00	 733.33	 1.00	 22	 2.98	 
BMI_bs_107	 1	 6	 Dubonim.bmp	 1.047756e+03	 11	 5.279745e+02	 11	 8.000453e+02	 98	 1.048792e+03	 816.67	 733.33	 7.00	 41	 2.95	 
BMI_bs_107	 1	 6	 Bounty.bmp	 1.049759e+03	 11	 9.783361e+02	 110	 8.167218e+02	 98	 1.050795e+03	 833.33	 733.33	 15.00	 57	 2.07	 
BMI_bs_107	 1	 6	 ClickBisquit2.bmp	 1.055765e+03	 24	 999000	 240	 999000	 999	 1.056783e+03	 833.33	 733.33	 32.00	 5	 0.89	 
BMI_bs_107	 1	 6	 DoritosNatural.bmp	 1.058752e+03	 22	 7.826999e+02	 220	 7.333868e+02	 98	 1.059788e+03	 833.33	 750.00	 45.00	 14	 0.21	 
