subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue
BMI_bs_104	 2	 12	 KinderBuenoBrown3.bmp	 2.097518e+03	 12	 999000	 120	 999000	 999	 2.098537e+03	 650.00	 716.67	 1.00	 41	 2.99	 
BMI_bs_104	 2	 12	 DoritosNatural.bmp	 2.100521e+03	 12	 999000	 120	 999000	 999	 2.101539e+03	 650.00	 716.67	 24.00	 8	 2.10	 
BMI_bs_104	 2	 12	 Loacker.bmp	 2.102523e+03	 12	 8.906554e+02	 12	 999000	 98	 2.103541e+03	 650.00	 716.67	 12.00	 49	 2.95	 
BMI_bs_104	 2	 12	 Shugi.bmp	 2.104509e+03	 12	 999000	 120	 999000	 999	 2.105527e+03	 650.00	 716.67	 25.00	 13	 2.07	 
BMI_bs_104	 2	 12	 ChocolateParaMilk3.bmp	 2.106511e+03	 24	 999000	 240	 999000	 999	 2.107529e+03	 650.00	 716.67	 44.00	 1	 1.09	 
BMI_bs_104	 2	 12	 SkittlesFruits2.bmp	 2.109514e+03	 24	 999000	 240	 999000	 999	 2.110532e+03	 650.00	 716.67	 52.00	 4	 0.13	 
BMI_bs_104	 2	 12	 Smarties.bmp	 2.111517e+03	 12	 999000	 120	 999000	 999	 2.112534e+03	 650.00	 716.67	 26.00	 48	 1.93	 
BMI_bs_104	 2	 12	 CrunchBisquitBrown3.bmp	 2.115521e+03	 11	 9.658165e+02	 110	 6.500866e+02	 98	 2.116556e+03	 666.67	 716.67	 17.00	 47	 2.57	 
BMI_bs_104	 2	 12	 ClickXLwhite4.bmp	 2.117523e+03	 24	 999000	 240	 999000	 999	 2.118541e+03	 666.67	 716.67	 32.00	 50	 1.51	 
BMI_bs_104	 2	 12	 BisliOnion.bmp	 2.122512e+03	 24	 999000	 240	 999000	 999	 2.123530e+03	 666.67	 716.67	 33.00	 9	 1.50	 
BMI_bs_104	 2	 12	 ClickXLbrown4.bmp	 2.124515e+03	 12	 999000	 120	 999000	 999	 2.125532e+03	 666.67	 716.67	 18.00	 31	 2.54	 
BMI_bs_104	 2	 12	 ClickBalls5.bmp	 2.128519e+03	 12	 999000	 120	 999000	 999	 2.129537e+03	 666.67	 716.67	 30.00	 3	 1.55	 
BMI_bs_104	 2	 12	 GumiWine2.bmp	 2.130521e+03	 24	 999000	 240	 999000	 999	 2.131539e+03	 666.67	 716.67	 60.00	 16	 0.01	 
BMI_bs_104	 2	 12	 KashitSour.bmp	 2.133525e+03	 22	 1.109350e+03	 2200	 7.167304e+02	 98	 2.134560e+03	 666.67	 666.67	 54.00	 46	 0.05	 
BMI_bs_104	 2	 12	 Bounty.bmp	 2.138513e+03	 22	 9.920170e+02	 220	 6.667117e+02	 98	 2.139548e+03	 666.67	 683.33	 51.00	 56	 0.59	 
BMI_bs_104	 2	 12	 GumiSnakes3.bmp	 2.140516e+03	 24	 999000	 240	 999000	 999	 2.141534e+03	 666.67	 683.33	 57.00	 27	 0.03	 
