subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue
BMI_bs_128	 2	 10	 Tictac.bmp	 1.723572e+03	 22	 9.015944e+02	 220	 7.167292e+02	 98	 1.724607e+03	 783.33	 733.33	 55.00	 27	 0.03	 
BMI_bs_128	 2	 10	 ChocolateParaSucariotKoftzot2.bmp	 1.726576e+03	 22	 9.921214e+02	 220	 7.333913e+02	 98	 1.727612e+03	 783.33	 750.00	 48.00	 3	 0.68	 
BMI_bs_128	 2	 10	 Loacker.bmp	 1.730564e+03	 11	 9.869816e+02	 110	 7.834084e+02	 98	 1.731598e+03	 800.00	 750.00	 9.00	 21	 2.12	 
BMI_bs_128	 2	 10	 CrunchBisquitWhite2.bmp	 1.732566e+03	 12	 999000	 120	 999000	 999	 1.733584e+03	 800.00	 750.00	 2.00	 10	 2.51	 
BMI_bs_128	 2	 10	 SkittlesFruits2.bmp	 1.734568e+03	 24	 999000	 240	 999000	 999	 1.735586e+03	 800.00	 750.00	 34.00	 35	 1.45	 
BMI_bs_128	 2	 10	 HispusimShatiah.bmp	 1.738572e+03	 22	 9.659393e+02	 220	 7.500528e+02	 98	 1.739608e+03	 800.00	 766.67	 38.00	 29	 1.31	 
BMI_bs_128	 2	 10	 Halva2.bmp	 1.740575e+03	 12	 999000	 120	 999000	 999	 1.741593e+03	 800.00	 766.67	 28.00	 44	 1.54	 
BMI_bs_128	 2	 10	 SkittlesSour4.bmp	 1.745564e+03	 12	 999000	 120	 999000	 999	 1.746582e+03	 800.00	 766.67	 29.00	 32	 1.53	 
BMI_bs_128	 2	 10	 KinderBuenoWhite2.bmp	 1.747566e+03	 12	 999000	 120	 999000	 999	 1.748584e+03	 800.00	 766.67	 5.00	 54	 2.37	 
BMI_bs_128	 2	 10	 Keifli.bmp	 1.750569e+03	 11	 1.007193e+03	 1100	 8.000540e+02	 98	 1.751604e+03	 750.00	 766.67	 17.00	 19	 1.92	 
BMI_bs_128	 2	 10	 Smarties.bmp	 1.753573e+03	 24	 999000	 240	 999000	 999	 1.754591e+03	 750.00	 766.67	 47.00	 47	 0.74	 
BMI_bs_128	 2	 10	 PesekZman.bmp	 1.757577e+03	 12	 999000	 120	 999000	 999	 1.758595e+03	 750.00	 766.67	 30.00	 9	 1.52	 
BMI_bs_128	 2	 10	 ClickBalls5.bmp	 1.760564e+03	 12	 999000	 120	 999000	 999	 1.761582e+03	 750.00	 766.67	 7.00	 38	 2.25	 
BMI_bs_128	 2	 10	 GumiSnakes3.bmp	 1.762566e+03	 24	 999000	 240	 999000	 999	 1.763584e+03	 750.00	 766.67	 31.00	 52	 1.51	 
BMI_bs_128	 2	 10	 CrunchShokoVanil.bmp	 1.765569e+03	 24	 999000	 240	 999000	 999	 1.766587e+03	 750.00	 766.67	 45.00	 34	 0.81	 
BMI_bs_128	 2	 10	 ClickBisquit2.bmp	 1.769574e+03	 11	 9.709545e+02	 110	 7.500462e+02	 98	 1.770610e+03	 766.67	 766.67	 8.00	 50	 2.22	 
BMI_bs_128	 2	 10	 ClickBlackWhite3.bmp	 1.772560e+03	 12	 999000	 120	 999000	 999	 1.773578e+03	 766.67	 766.67	 4.00	 11	 2.44	 
BMI_bs_128	 2	 10	 Twix.bmp	 1.774563e+03	 11	 9.547456e+02	 110	 7.667137e+02	 98	 1.775599e+03	 783.33	 766.67	 6.00	 33	 2.27	 
BMI_bs_128	 2	 10	 DoritosNatural.bmp	 1.776565e+03	 12	 999000	 120	 999000	 999	 1.777583e+03	 783.33	 766.67	 26.00	 43	 1.65	 
BMI_bs_128	 2	 10	 Kitkat.bmp	 1.781571e+03	 11	 1.057226e+03	 1100	 7.833756e+02	 98	 1.782605e+03	 733.33	 766.67	 22.00	 41	 1.84	 
BMI_bs_128	 2	 10	 Taami.bmp	 1.785575e+03	 12	 3.265685e+02	 12	 999000	 98	 1.786593e+03	 733.33	 766.67	 21.00	 58	 1.85	 
BMI_bs_128	 2	 10	 ClickXLwhite4.bmp	 1.789563e+03	 11	 9.740906e+02	 110	 7.333836e+02	 98	 1.790599e+03	 750.00	 766.67	 11.00	 57	 2.02	 
BMI_bs_128	 2	 10	 Snickers.bmp	 1.795570e+03	 22	 1.008900e+03	 2200	 7.667230e+02	 98	 1.796604e+03	 750.00	 716.67	 51.00	 23	 0.33	 
BMI_bs_128	 2	 10	 KifkefMaklot2.bmp	 1.797572e+03	 24	 999000	 240	 999000	 999	 1.798590e+03	 750.00	 716.67	 50.00	 31	 0.36	 
BMI_bs_128	 2	 10	 ChocolateParaMarir2.bmp	 1.799574e+03	 24	 999000	 240	 999000	 999	 1.800592e+03	 750.00	 716.67	 52.00	 20	 0.29	 
BMI_bs_128	 2	 10	 Twist.bmp	 1.801576e+03	 24	 999000	 240	 999000	 999	 1.802594e+03	 750.00	 716.67	 59.00	 25	 0.01	 
BMI_bs_128	 2	 10	 Cheetos.bmp	 1.803562e+03	 12	 999000	 120	 999000	 999	 1.804580e+03	 750.00	 716.67	 1.00	 42	 2.73	 
BMI_bs_128	 2	 10	 Mars.bmp	 1.807567e+03	 22	 9.713674e+02	 220	 7.167120e+02	 98	 1.808601e+03	 750.00	 733.33	 46.00	 2	 0.77	 
BMI_bs_128	 2	 10	 BisliGrill.bmp	 1.809569e+03	 12	 999000	 120	 999000	 999	 1.810587e+03	 750.00	 733.33	 25.00	 1	 1.69	 
BMI_bs_128	 2	 10	 BisliPizza3.bmp	 1.813573e+03	 11	 9.611209e+02	 110	 7.500440e+02	 98	 1.814608e+03	 766.67	 733.33	 16.00	 8	 1.93	 
BMI_bs_128	 2	 10	 BambaSweet.bmp	 1.815575e+03	 24	 999000	 240	 999000	 999	 1.816593e+03	 766.67	 733.33	 60.00	 46	 0.01	 
BMI_bs_128	 2	 10	 Shugi.bmp	 1.817561e+03	 24	 999000	 240	 999000	 999	 1.818579e+03	 766.67	 733.33	 53.00	 4	 0.23	 
BMI_bs_128	 2	 10	 DoritosSourSpicy.bmp	 1.819563e+03	 12	 999000	 120	 999000	 999	 1.820581e+03	 766.67	 733.33	 3.00	 17	 2.49	 
BMI_bs_128	 2	 10	 Bounty.bmp	 1.824569e+03	 12	 999000	 120	 999000	 999	 1.825587e+03	 766.67	 733.33	 18.00	 37	 1.91	 
BMI_bs_128	 2	 10	 Dubonim.bmp	 1.826571e+03	 11	 9.688366e+02	 110	 7.667244e+02	 98	 1.827608e+03	 783.33	 733.33	 14.00	 45	 1.99	 
BMI_bs_128	 2	 10	 KinderJoy.bmp	 1.828573e+03	 24	 999000	 240	 999000	 999	 1.829591e+03	 783.33	 733.33	 44.00	 59	 0.83	 
BMI_bs_128	 2	 10	 ChocolateParaCookies5.bmp	 1.831560e+03	 12	 999000	 120	 999000	 999	 1.832578e+03	 783.33	 733.33	 15.00	 12	 1.95	 
BMI_bs_128	 2	 10	 BambaNugat.bmp	 1.838568e+03	 12	 999000	 120	 999000	 999	 1.839586e+03	 783.33	 733.33	 12.00	 48	 2.01	 
BMI_bs_128	 2	 10	 Tortit.bmp	 1.842572e+03	 24	 999000	 240	 999000	 999	 1.843590e+03	 783.33	 733.33	 57.00	 39	 0.03	 
BMI_bs_128	 2	 10	 ClickXLbrown4.bmp	 1.849564e+03	 11	 9.836927e+02	 110	 7.833834e+02	 98	 1.850600e+03	 800.00	 733.33	 23.00	 28	 1.79	 
BMI_bs_128	 2	 10	 Bamba.bmp	 1.851566e+03	 24	 999000	 240	 999000	 999	 1.852584e+03	 800.00	 733.33	 33.00	 40	 1.46	 
BMI_bs_128	 2	 10	 Mekupelet.bmp	 1.855570e+03	 24	 999000	 240	 999000	 999	 1.856588e+03	 800.00	 733.33	 32.00	 13	 1.48	 
BMI_bs_128	 2	 10	 CrunchBisquitBrown3.bmp	 1.859575e+03	 12	 999000	 120	 999000	 999	 1.860593e+03	 800.00	 733.33	 10.00	 15	 2.05	 
BMI_bs_128	 2	 10	 DoritosGrill.bmp	 1.861560e+03	 12	 999000	 120	 999000	 999	 1.862578e+03	 800.00	 733.33	 24.00	 22	 1.75	 
BMI_bs_128	 2	 10	 BagaleShtuhim.bmp	 1.865565e+03	 22	 1.025798e+03	 2200	 7.333909e+02	 98	 1.866600e+03	 800.00	 683.33	 54.00	 56	 0.18	 
BMI_bs_128	 2	 10	 Apropo.bmp	 1.867567e+03	 12	 999000	 120	 999000	 999	 1.868585e+03	 800.00	 683.33	 13.00	 55	 1.99	 
BMI_bs_128	 2	 10	 TapuchipsCrunch.bmp	 1.869569e+03	 24	 999000	 240	 999000	 999	 1.870587e+03	 800.00	 683.33	 36.00	 5	 1.38	 
BMI_bs_128	 2	 10	 HappyHippo.bmp	 1.875576e+03	 24	 999000	 240	 999000	 999	 1.876594e+03	 800.00	 683.33	 37.00	 60	 1.38	 
BMI_bs_128	 2	 10	 WerthersOriginal.bmp	 1.877561e+03	 22	 8.872866e+02	 220	 6.833878e+02	 98	 1.878597e+03	 800.00	 700.00	 43.00	 18	 0.86	 
BMI_bs_128	 2	 10	 Popco.bmp	 1.880565e+03	 24	 999000	 240	 999000	 999	 1.881583e+03	 800.00	 700.00	 56.00	 36	 0.03	 
BMI_bs_128	 2	 10	 KinderBuenoBrown3.bmp	 1.883568e+03	 11	 1.023227e+03	 1100	 8.000825e+02	 98	 1.884605e+03	 750.00	 700.00	 19.00	 24	 1.89	 
BMI_bs_128	 2	 10	 GumiWine2.bmp	 1.885570e+03	 24	 999000	 240	 999000	 999	 1.886588e+03	 750.00	 700.00	 58.00	 53	 0.03	 
BMI_bs_128	 2	 10	 Hit.bmp	 1.887573e+03	 24	 999000	 240	 999000	 999	 1.888591e+03	 750.00	 700.00	 42.00	 16	 0.89	 
BMI_bs_128	 2	 10	 Tapuchips.bmp	 1.889575e+03	 24	 999000	 240	 999000	 999	 1.890593e+03	 750.00	 700.00	 39.00	 6	 1.15	 
BMI_bs_128	 2	 10	 BisliOnion.bmp	 1.895565e+03	 12	 999000	 120	 999000	 999	 1.896583e+03	 750.00	 700.00	 20.00	 26	 1.89	 
BMI_bs_128	 2	 10	 KashitSour.bmp	 1.897567e+03	 24	 999000	 240	 999000	 999	 1.898585e+03	 750.00	 700.00	 35.00	 49	 1.39	 
BMI_bs_128	 2	 10	 Mentos.bmp	 1.899570e+03	 22	 9.187358e+02	 220	 7.000993e+02	 98	 1.900604e+03	 750.00	 716.67	 40.00	 30	 0.96	 
BMI_bs_128	 2	 10	 Egozi.bmp	 1.901572e+03	 22	 1.020468e+03	 2200	 7.167193e+02	 98	 1.902607e+03	 750.00	 666.67	 49.00	 7	 0.55	 
BMI_bs_128	 2	 10	 ChocolateParaMilk3.bmp	 1.904575e+03	 12	 999000	 120	 999000	 999	 1.905593e+03	 750.00	 666.67	 27.00	 14	 1.55	 
BMI_bs_128	 2	 10	 BabyDoll.bmp	 1.907562e+03	 22	 8.692382e+02	 220	 6.667117e+02	 98	 1.908596e+03	 750.00	 683.33	 41.00	 51	 0.91	 
