subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_344	 2	 19	 1121.jpg	 2.453272e+03	 12	 999000	 120	 999000	 999	 2.454290e+03	 916.67	 916.67	 3.00	 21	 0.75	 
BFE_344	 2	 19	 2217.jpg	 2.456259e+03	 24	 999000	 240	 999000	 999	 2.457277e+03	 916.67	 916.67	 50.00	 38	 0.69	 
BFE_344	 2	 19	 1218.jpg	 2.458261e+03	 12	 999000	 120	 999000	 999	 2.459279e+03	 916.67	 916.67	 7.00	 39	 0.70	 
BFE_344	 2	 19	 1206.jpg	 2.460263e+03	 11	 5.227979e+02	 11	 9.167124e+02	 98	 2.461281e+03	 916.67	 916.67	 17.00	 27	 0.56	 
BFE_344	 2	 19	 2121.jpg	 2.462266e+03	 24	 999000	 240	 999000	 999	 2.463283e+03	 916.67	 916.67	 44.00	 21	 0.85	 
BFE_344	 2	 19	 2116.jpg	 2.465269e+03	 24	 999000	 240	 999000	 999	 2.466287e+03	 916.67	 916.67	 53.00	 16	 0.63	 
BFE_344	 2	 19	 1110.jpg	 2.467271e+03	 12	 999000	 120	 999000	 999	 2.468289e+03	 916.67	 916.67	 12.00	 10	 0.63	 
BFE_344	 2	 19	 1105.jpg	 2.471259e+03	 12	 999000	 120	 999000	 999	 2.472277e+03	 916.67	 916.67	 20.00	 5	 0.51	 
BFE_344	 2	 19	 1219.jpg	 2.473261e+03	 12	 999000	 120	 999000	 999	 2.474279e+03	 916.67	 916.67	 21.00	 40	 0.49	 
BFE_344	 2	 19	 2201.jpg	 2.478267e+03	 22	 5.673881e+02	 22	 9.167145e+02	 98	 2.479285e+03	 916.67	 916.67	 51.00	 22	 0.68	 
BFE_344	 2	 19	 2120.jpg	 2.480269e+03	 24	 999000	 240	 999000	 999	 2.481287e+03	 916.67	 916.67	 59.00	 20	 0.56	 
BFE_344	 2	 19	 1104.jpg	 2.484257e+03	 11	 5.612536e+02	 11	 9.166935e+02	 98	 2.485275e+03	 916.67	 916.67	 9.00	 4	 0.69	 
BFE_344	 2	 19	 2103.jpg	 2.486259e+03	 24	 999000	 240	 999000	 999	 2.487277e+03	 916.67	 916.67	 52.00	 3	 0.65	 
BFE_344	 2	 19	 1102.jpg	 2.489263e+03	 11	 5.956791e+02	 11	 9.167463e+02	 98	 2.490280e+03	 916.67	 916.67	 16.00	 2	 0.57	 
BFE_344	 2	 19	 2219.jpg	 2.494268e+03	 24	 999000	 240	 999000	 999	 2.495286e+03	 916.67	 916.67	 61.00	 40	 0.52	 
BFE_344	 2	 19	 1109.jpg	 2.496270e+03	 12	 999000	 120	 999000	 999	 2.497288e+03	 916.67	 916.67	 10.00	 9	 0.68	 
BFE_344	 2	 19	 1103.jpg	 2.498273e+03	 12	 999000	 120	 999000	 999	 2.499290e+03	 916.67	 916.67	 22.00	 3	 0.48	 
BFE_344	 2	 19	 1101.jpg	 2.502260e+03	 12	 999000	 120	 999000	 999	 2.503278e+03	 916.67	 916.67	 13.00	 1	 0.62	 
BFE_344	 2	 19	 1205.jpg	 2.506265e+03	 12	 999000	 120	 999000	 999	 2.507283e+03	 916.67	 916.67	 15.00	 26	 0.58	 
BFE_344	 2	 19	 2107.jpg	 2.510269e+03	 24	 999000	 240	 999000	 999	 2.511287e+03	 916.67	 916.67	 77.00	 7	 0.22	 
BFE_344	 2	 19	 2115.jpg	 2.512272e+03	 24	 999000	 240	 999000	 999	 2.513290e+03	 916.67	 916.67	 43.00	 15	 0.87	 
BFE_344	 2	 19	 1216.jpg	 2.514257e+03	 11	 7.052608e+02	 11	 9.167038e+02	 98	 2.515275e+03	 916.67	 916.67	 14.00	 37	 0.60	 
BFE_344	 2	 19	 2208.jpg	 2.516259e+03	 24	 999000	 240	 999000	 999	 2.517277e+03	 916.67	 916.67	 62.00	 29	 0.50	 
BFE_344	 2	 19	 2205.jpg	 2.518262e+03	 24	 999000	 240	 999000	 999	 2.519279e+03	 916.67	 916.67	 55.00	 26	 0.61	 
BFE_344	 2	 19	 1106.jpg	 2.524268e+03	 12	 5.177619e+02	 12	 999000	 98	 2.525286e+03	 916.67	 916.67	 19.00	 6	 0.53	 
BFE_344	 2	 19	 1207.jpg	 2.527272e+03	 12	 999000	 120	 999000	 999	 2.528290e+03	 916.67	 916.67	 37.00	 28	 0.23	 
BFE_344	 2	 19	 2218.jpg	 2.529257e+03	 24	 999000	 240	 999000	 999	 2.530275e+03	 916.67	 916.67	 58.00	 39	 0.56	 
BFE_344	 2	 19	 1209.jpg	 2.531260e+03	 12	 999000	 120	 999000	 999	 2.532277e+03	 916.67	 916.67	 18.00	 30	 0.54	 
BFE_344	 2	 19	 1107.jpg	 2.534263e+03	 12	 999000	 120	 999000	 999	 2.535281e+03	 916.67	 916.67	 38.00	 7	 0.21	 
BFE_344	 2	 19	 2106.jpg	 2.536265e+03	 22	 5.930471e+02	 22	 9.166976e+02	 98	 2.537283e+03	 916.67	 916.67	 49.00	 6	 0.69	 
BFE_344	 2	 19	 2216.jpg	 2.538267e+03	 24	 999000	 240	 999000	 999	 2.539285e+03	 916.67	 916.67	 47.00	 37	 0.75	 
BFE_344	 2	 19	 2119.jpg	 2.540270e+03	 22	 5.484870e+02	 22	 9.167075e+02	 98	 2.541287e+03	 916.67	 916.67	 57.00	 19	 0.58	 
BFE_344	 2	 19	 2211.jpg	 2.543273e+03	 22	 6.491809e+02	 22	 9.167084e+02	 98	 2.544291e+03	 916.67	 916.67	 54.00	 32	 0.63	 
BFE_344	 2	 19	 1115.jpg	 2.545259e+03	 12	 999000	 120	 999000	 999	 2.546276e+03	 916.67	 916.67	 4.00	 15	 0.74	 
