Trial	StimName	Bid	RT
1	ClickBlackWhite3.bmp	7.97777777778	4619
2	SkittlesSour4.bmp	8.04444444444	3019
3	Twix.bmp	6.95555555556	4973
4	BagaleShtuhim.bmp	8.86666666667	6590
5	ClickXLwhite4.bmp	9.93333333333	4389
6	Cheetos.bmp	8.06666666667	4755
7	ChocolateParaSucariotKoftzot2.bmp	9.75555555556	4990
8	Egozi.bmp	7.91111111111	2218
9	GumiWine2.bmp	7.08888888889	3273
10	Bamba.bmp	6.11111111111	4271
11	Hit.bmp	8.0	5072
12	HappyHippo.bmp	4.86666666667	3437
13	CrunchShokoVanil.bmp	7.86666666667	2620
14	Smarties.bmp	6.93333333333	4521
15	BambaSweet.bmp	6.95555555556	3887
16	BabyDoll.bmp	4.73333333333	2270
17	ClickBalls5.bmp	8.04444444444	6192
18	Mars.bmp	7.02222222222	2769
19	KifkefMaklot2.bmp	9.28888888889	3053
20	DoritosGrill.bmp	8.64444444444	3722
21	PesekZman.bmp	8.37777777778	2419
22	BisliGrill.bmp	8.0	4889
23	ClickBisquit2.bmp	9.08888888889	5891
24	BisliPizza3.bmp	7.26666666667	2602
25	BisliOnion.bmp	7.46666666667	2068
26	KinderBuenoWhite2.bmp	7.91111111111	5674
27	Loacker.bmp	7.22222222222	3622
28	Tapuchips.bmp	7.75555555556	2019
29	ChocolateParaMarir2.bmp	9.0	12613
30	ChocolateParaCookies5.bmp	9.06666666667	3139
31	Taami.bmp	7.0	3871
32	Twist.bmp	6.91111111111	2968
33	Mentos.bmp	6.88888888889	2370
34	DoritosNatural.bmp	7.82222222222	1919
35	Tortit.bmp	6.95555555556	2118
36	Mekupelet.bmp	8.26666666667	1986
37	Bounty.bmp	8.11111111111	1986
38	DoritosSourSpicy.bmp	7.97777777778	12930
39	Shugi.bmp	7.95555555556	3788
40	Popco.bmp	9.86666666667	2685
41	CrunchBisquitBrown3.bmp	9.04444444444	2885
42	Tictac.bmp	8.11111111111	3455
43	WerthersOriginal.bmp	8.0	2270
44	Halva2.bmp	3.91111111111	10243
45	GumiSnakes3.bmp	7.06666666667	3723
46	Dubonim.bmp	7.77777777778	2301
47	BambaNugat.bmp	8.13333333333	2337
48	KinderJoy.bmp	7.15555555556	4271
49	Kitkat.bmp	7.66666666667	2637
50	HispusimShatiah.bmp	7.95555555556	3503
51	Snickers.bmp	8.11111111111	1803
52	KashitSour.bmp	7.6	3203
53	SkittlesFruits2.bmp	8.0	8494
54	TapuchipsCrunch.bmp	7.33333333333	15699
55	ChocolateParaMilk3.bmp	7.68888888889	2936
56	Keifli.bmp	8.64444444444	2303
57	ClickXLbrown4.bmp	9.35555555556	2035
58	Apropo.bmp	9.2	2001
59	CrunchBisquitWhite2.bmp	8.4	4305
60	KinderBuenoBrown3.bmp	8.28888888889	1837
