subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?	
BMI_bf_102	2	16	1	1	1	1.39E-02	 2024.jpg	 i	3.03E+00	16	1	 
BMI_bf_102	2	30	2	0	1	4.10E+00	 5028.jpg	 i	1.06E+00	0	0	 
BMI_bf_102	2	44	3	0	0	6.20E+00	 6016.jpg	 u	1.07E+00	0	0	 
BMI_bf_102	2	14	4	1	0	8.34E+00	 2006.jpg	 u	1.16E+00	13	0	 
BMI_bf_102	2	34	5	0	0	1.05E+01	 5115.jpg	 u	1.43E+00	0	0	 
BMI_bf_102	2	37	6	0	0	1.30E+01	 5152.jpg	 u	8.18E-01	0	0	 
BMI_bf_102	2	47	7	0	0	1.49E+01	 6054.jpg	 u	9.87E-01	0	0	 
BMI_bf_102	2	46	8	0	0	1.69E+01	 6042.jpg	 u	7.26E-01	0	0	 
BMI_bf_102	2	13	9	1	1	1.87E+01	 1262.jpg	 i	1.20E+00	15	0	 
BMI_bf_102	2	10	10	1	1	2.10E+01	 1204.jpg	 i	9.68E-01	52	0	 
BMI_bf_102	2	15	11	1	1	2.30E+01	 2015.jpg	 i	8.24E-01	53	0	 
BMI_bf_102	2	50	12	0	0	2.48E+01	 6154.jpg	 u	6.93E-01	0	0	 
BMI_bf_102	2	53	13	0	0	2.66E+01	 6213.jpg	 u	6.83E-01	0	0	 
BMI_bf_102	2	52	14	0	0	2.83E+01	 6201.jpg	 u	7.72E-01	0	0	 
BMI_bf_102	2	24	15	1	1	3.01E+01	 2209.jpg	 i	6.41E-01	5	0	 
BMI_bf_102	2	5	16	1	1	3.18E+01	 1052.jpg	 i	5.06E-01	14	1	 
BMI_bf_102	2	20	17	1	1	3.34E+01	 2110.jpg	 i	1.55E+00	55	0	 
BMI_bf_102	2	56	18	0	0	3.60E+01	 6249.jpg	 u	1.13E+00	0	0	 
BMI_bf_102	2	4	19	1	1	3.81E+01	 1031.jpg	 i	6.33E-01	10	0	 
BMI_bf_102	2	36	20	0	0	3.98E+01	 5144.jpg	 u	8.73E-01	0	0	 
BMI_bf_102	2	9	21	1	1	4.17E+01	 1202.jpg	 i	8.54E-01	46	1	 
BMI_bf_102	2	1	22	1	1	4.36E+01	 1007.jpg	 i	1.36E+00	47	0	 
BMI_bf_102	2	26	23	1	1	4.61E+01	 2218.jpg	 i	7.33E-01	17	1	 
BMI_bf_102	2	25	24	1	1	4.79E+01	 2212.jpg	 i	4.85E-01	8	1	 
BMI_bf_102	2	21	25	1	1	4.94E+01	 2149.jpg	 i	6.50E-01	54	1	 
BMI_bf_102	2	3	26	1	1	5.11E+01	 1027.jpg	 i	1.31E+00	45	0	 
BMI_bf_102	2	8	27	1	1	5.34E+01	 1192.jpg	 i	6.96E-01	44	0	 
BMI_bf_102	2	28	28	1	1	5.52E+01	 2248.jpg	 i	5.19E-01	7	0	 
BMI_bf_102	2	7	29	1	1	5.68E+01	 1150.jpg	 i	5.00E-01	48	1	 
BMI_bf_102	2	45	30	0	0	5.83E+01	 6036.jpg	 u	5.86E-01	0	0	 
BMI_bf_102	2	6	31	1	1	5.99E+01	 1127.jpg	 i	6.01E-01	12	0	 
BMI_bf_102	2	41	32	0	0	6.16E+01	 5228.jpg	 u	7.62E-01	0	0	 
BMI_bf_102	2	27	33	1	1	6.34E+01	 2240.jpg	 i	5.81E-01	43	1	 
BMI_bf_102	2	18	34	1	1	6.51E+01	 2058.jpg	 i	6.45E-01	56	0	 
BMI_bf_102	2	39	35	0	0	6.68E+01	 5207.jpg	 u	5.56E-01	0	0	 
BMI_bf_102	2	19	36	1	1	6.84E+01	 2089.jpg	 i	5.67E-01	49	1	 
BMI_bf_102	2	51	37	0	0	7.00E+01	 6190.jpg	 u	6.36E-01	0	0	 
BMI_bf_102	2	48	38	0	0	7.17E+01	 6111.jpg	 u	5.51E-01	0	0	 
BMI_bf_102	2	31	39	0	0	7.33E+01	 5049.jpg	 u	5.87E-01	0	0	 
BMI_bf_102	2	12	40	1	0	7.49E+01	 1226.jpg	 u	4.39E-01	50	0	 
BMI_bf_102	2	54	41	0	0	7.64E+01	 6217.jpg	 u	5.54E-01	0	0	 
BMI_bf_102	2	17	42	1	1	7.80E+01	 2039.jpg	 i	5.03E-01	11	1	 
BMI_bf_102	2	32	43	0	0	7.95E+01	 5057.jpg	 u	8.51E-01	0	0	 
BMI_bf_102	2	49	44	0	0	8.14E+01	 6124.jpg	 u	1.41E+00	0	0	 
BMI_bf_102	2	11	45	1	1	8.39E+01	 1216.jpg	 i	9.34E-01	18	0	 
BMI_bf_102	2	38	46	0	0	8.59E+01	 5182.jpg	 u	6.61E-01	0	0	 
BMI_bf_102	2	22	47	1	1	8.76E+01	 2164.jpg	 i	4.71E-01	51	1	 
BMI_bf_102	2	35	48	0	0	8.91E+01	 5129.jpg	 u	5.41E-01	0	0	 
BMI_bf_102	2	42	49	0	0	9.07E+01	 5254.jpg	 u	5.93E-01	0	0	 
BMI_bf_102	2	40	50	0	0	9.23E+01	 5220.jpg	 u	5.45E-01	0	0	 
BMI_bf_102	2	23	51	1	1	9.39E+01	 2181.jpg	 i	5.31E-01	9	1	 
BMI_bf_102	2	33	52	0	0	9.55E+01	 5081.jpg	 u	5.96E-01	0	0	 
BMI_bf_102	2	2	53	1	1	9.72E+01	 1013.jpg	 i	7.07E-01	6	0	 
BMI_bf_102	2	29	54	0	0	9.89E+01	 5009.jpg	 u	8.55E-01	0	0	 
BMI_bf_102	2	43	55	0	0	1.01E+02	 6008.jpg	 u	7.03E-01	0	0	 
BMI_bf_102	2	55	56	0	0	1.03E+02	 6221.jpg	 u	7.01E-01	0	0	 
