subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
BMI_bf_103	1	5009.jpg	29	0	1	0	1	0	0	1.378209e-02	i	2.313476e+00
BMI_bf_103	1	2015.jpg	17	43	2	1	1	0	1	3.384255e+00	u	2.160660e+00
BMI_bf_103	1	2010.jpg	16	11	3	1	1	0	1	6.604457e+00	u	1.528074e+00
BMI_bf_103	1	2240.jpg	27	55	4	1	1	0	1	9.190709e+00	u	1.968206e+00
BMI_bf_103	1	1192.jpg	8	56	5	1	1	0	0	1.221075e+01	i	2.660905e+00
BMI_bf_103	1	2194.jpg	26	47	6	1	1	1	0	1.591499e+01	i	1.904244e+00
BMI_bf_103	1	1127.jpg	5	50	7	1	1	1	0	1.886825e+01	i	1.752417e+00
BMI_bf_103	1	2112.jpg	22	9	8	1	1	0	1	2.167132e+01	u	1.165632e+00
BMI_bf_103	1	1035.jpg	3	5	9	1	1	0	0	2.389049e+01	i	1.297810e+00
BMI_bf_103	1	1202.jpg	9	17	10	1	1	0	0	2.624313e+01	i	1.611573e+00
BMI_bf_103	1	2089.jpg	19	13	11	1	1	1	1	2.891279e+01	u	1.473263e+00
BMI_bf_103	1	2006.jpg	15	7	12	1	1	1	1	3.143236e+01	u	4.005168e+00
BMI_bf_103	1	1210.jpg	11	16	13	1	1	0	0	3.648792e+01	i	1.008472e+00
BMI_bf_103	1	1262.jpg	14	18	14	1	1	1	0	3.854026e+01	i	1.487479e+00
BMI_bf_103	1	1246.jpg	13	48	15	1	1	0	0	4.107642e+01	i	1.043914e+00
BMI_bf_103	1	2181.jpg	25	6	16	1	1	0	1	4.317879e+01	u	2.170438e+00
BMI_bf_103	1	1013.jpg	1	14	17	1	1	0	0	4.639900e+01	i	1.155355e+00
BMI_bf_103	1	2128.jpg	24	52	18	1	1	1	0	4.860156e+01	i	1.742903e+00
BMI_bf_103	1	1130.jpg	6	49	19	1	1	0	0	5.138804e+01	i	1.397836e+00
BMI_bf_103	1	2110.jpg	21	54	20	1	1	0	0	5.384076e+01	i	1.015181e+00
BMI_bf_103	1	2118.jpg	23	12	21	1	1	1	1	5.590970e+01	u	1.353911e+00
BMI_bf_103	1	1226.jpg	12	46	22	1	1	0	0	5.831245e+01	i	3.080042e+00
BMI_bf_103	1	2094.jpg	20	44	23	1	1	1	0	6.245034e+01	i	1.563503e+00
BMI_bf_103	1	1173.jpg	7	45	24	1	1	1	0	6.507004e+01	i	1.475194e+00
BMI_bf_103	1	2248.jpg	28	8	25	1	1	0	0	6.758945e+01	i	1.948397e+00
BMI_bf_103	1	2058.jpg	18	53	26	1	1	1	0	7.059283e+01	i	1.757701e+00
BMI_bf_103	1	1204.jpg	10	51	27	1	1	0	0	7.339595e+01	i	9.908987e-01
BMI_bf_103	1	1114.jpg	4	10	28	1	1	1	0	7.543174e+01	i	1.925238e+00
