subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?	
BMI_bf_101	1	17	1	1	1	1.23E-02	 2053.jpg	 u	1.91E+00	9	0	 
BMI_bf_101	1	49	2	0	0	2.98E+00	 6124.jpg	 i	1.16E+00	0	0	 
BMI_bf_101	1	4	3	1	1	5.18E+00	 1080.jpg	 u	5.96E-01	47	1	 
BMI_bf_101	1	39	4	0	0	6.84E+00	 5207.jpg	 i	8.12E-01	0	0	 
BMI_bf_101	1	38	5	0	0	8.71E+00	 5182.jpg	 i	7.10E-01	0	0	 
BMI_bf_101	1	35	6	0	0	1.05E+01	 5129.jpg	 i	6.45E-01	0	0	 
BMI_bf_101	1	28	7	1	1	1.22E+01	 2248.jpg	 u	6.87E-01	52	1	 
BMI_bf_101	1	29	8	0	0	1.39E+01	 5009.jpg	 i	8.76E-01	0	0	 
BMI_bf_101	1	23	9	1	1	1.58E+01	 2149.jpg	 u	7.12E-01	12	1	 
BMI_bf_101	1	24	10	1	1	1.76E+01	 2153.jpg	 u	5.97E-01	10	1	 
BMI_bf_101	1	45	11	0	0	1.92E+01	 6036.jpg	 i	7.12E-01	0	0	 
BMI_bf_101	1	8	12	1	1	2.10E+01	 1173.jpg	 u	6.87E-01	51	0	 
BMI_bf_101	1	25	13	1	1	2.27E+01	 2155.jpg	 u	5.60E-01	46	0	 
BMI_bf_101	1	52	14	0	0	2.44E+01	 6201.jpg	 i	6.58E-01	0	0	 
BMI_bf_101	1	6	15	1	1	2.61E+01	 1127.jpg	 u	6.10E-01	14	0	 
BMI_bf_101	1	1	16	1	1	2.77E+01	 1007.jpg	 u	5.50E-01	45	1	 
BMI_bf_101	1	32	17	0	0	2.94E+01	 5057.jpg	 i	6.30E-01	0	0	 
BMI_bf_101	1	14	18	1	1	3.10E+01	 2039.jpg	 u	5.20E-01	44	1	 
BMI_bf_101	1	18	19	1	1	3.26E+01	 2058.jpg	 u	6.17E-01	11	0	 
BMI_bf_101	1	48	20	0	0	3.43E+01	 6111.jpg	 i	5.68E-01	0	0	 
BMI_bf_101	1	3	21	1	1	3.59E+01	 1027.jpg	 u	5.87E-01	17	0	 
BMI_bf_101	1	42	22	0	0	3.76E+01	 5254.jpg	 i	7.52E-01	0	0	 
BMI_bf_101	1	21	23	1	1	3.94E+01	 2112.jpg	 u	6.04E-01	49	0	 
BMI_bf_101	1	5	24	1	1	4.10E+01	 1114.jpg	 u	5.27E-01	18	1	 
BMI_bf_101	1	10	25	1	1	4.26E+01	 1262.jpg	 u	5.84E-01	56	0	 
BMI_bf_101	1	2	26	1	1	4.42E+01	 1019.jpg	 u	5.02E-01	13	1	 
BMI_bf_101	1	53	27	0	0	4.58E+01	 6213.jpg	 i	6.83E-01	0	0	 
BMI_bf_101	1	47	28	0	0	4.75E+01	 6054.jpg	 i	6.69E-01	0	0	 
BMI_bf_101	1	13	29	1	1	4.92E+01	 2024.jpg	 u	6.38E-01	55	0	 
BMI_bf_101	1	15	30	1	1	5.09E+01	 2041.jpg	 u	6.18E-01	5	0	 
BMI_bf_101	1	46	31	0	0	5.26E+01	 6042.jpg	 i	8.62E-01	0	0	 
BMI_bf_101	1	30	32	0	0	5.45E+01	 5028.jpg	 i	7.32E-01	0	0	 
BMI_bf_101	1	51	33	0	0	5.63E+01	 6190.jpg	 i	6.45E-01	0	0	 
BMI_bf_101	1	11	34	1	1	5.80E+01	 2006.jpg	 u	5.86E-01	7	1	 
BMI_bf_101	1	12	35	1	1	5.96E+01	 2015.jpg	 u	6.04E-01	43	0	 
BMI_bf_101	1	41	36	0	0	6.13E+01	 5228.jpg	 i	6.06E-01	0	0	 
BMI_bf_101	1	33	37	0	0	6.29E+01	 5081.jpg	 i	7.09E-01	0	0	 
BMI_bf_101	1	27	38	1	1	6.47E+01	 2229.jpg	 u	7.24E-01	54	0	 
BMI_bf_101	1	56	39	0	0	6.65E+01	 6249.jpg	 i	6.32E-01	0	0	 
BMI_bf_101	1	22	40	1	1	6.81E+01	 2118.jpg	 u	6.90E-01	8	0	 
BMI_bf_101	1	31	41	0	0	6.99E+01	 5049.jpg	 i	6.54E-01	0	0	 
BMI_bf_101	1	16	42	1	1	7.16E+01	 2045.jpg	 u	6.17E-01	16	0	 
BMI_bf_101	1	54	43	0	0	7.32E+01	 6217.jpg	 i	6.02E-01	0	0	 
BMI_bf_101	1	43	44	0	0	7.49E+01	 6008.jpg	 i	6.60E-01	0	0	 
BMI_bf_101	1	40	45	0	0	7.66E+01	 5220.jpg	 i	9.33E-01	0	0	 
BMI_bf_101	1	50	46	0	0	7.86E+01	 6154.jpg	 i	6.24E-01	0	0	 
BMI_bf_101	1	26	47	1	1	8.03E+01	 2181.jpg	 u	6.09E-01	50	1	 
BMI_bf_101	1	44	48	0	0	8.19E+01	 6016.jpg	 i	5.21E-01	0	0	 
BMI_bf_101	1	20	49	1	1	8.35E+01	 2110.jpg	 u	6.97E-01	15	1	 
BMI_bf_101	1	7	50	1	1	8.52E+01	 1145.jpg	 u	6.55E-01	48	0	 
BMI_bf_101	1	34	51	0	0	8.69E+01	 5115.jpg	 i	6.63E-01	0	0	 
BMI_bf_101	1	37	52	0	0	8.87E+01	 5152.jpg	 i	7.78E-01	0	0	 
BMI_bf_101	1	55	53	0	0	9.05E+01	 6221.jpg	 i	5.52E-01	0	0	 
BMI_bf_101	1	19	54	1	1	9.21E+01	 2089.jpg	 u	6.99E-01	6	0	 
BMI_bf_101	1	36	55	0	0	9.39E+01	 5144.jpg	 i	1.07E+00	0	0	 
BMI_bf_101	1	9	56	1	1	9.60E+01	 1210.jpg	 u	5.86E-01	53	1	 
