subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_994 2 1 Hersheymilk_several.bmp 1.406265e+00 24 999000 240 999000  2.423418e+00 750.00 750.00 1.49 33 
BM2_994 2 1 Crunch.bmp 4.391665e+00 11 1.117342e+03 1100 7.500866e+02 b 5.409197e+00 700.00 750.00 2.48 40 
BM2_994 2 1 Ghiradelli_milk_Almonds.bmp 8.395023e+00 12 999000 120 999000  9.412537e+00 700.00 750.00 2.99 41 
BM2_994 2 1 Sourpatch.bmp 1.039679e+01 12 999000 120 999000  1.141432e+01 700.00 750.00 2.98 42 
BM2_994 2 1 MrGoodbar.bmp 1.239843e+01 12 999000 120 999000  1.341598e+01 700.00 750.00 2.03 28 
BM2_994 2 1 CheesyDoritos.bmp 1.640181e+01 24 999000 240 999000  1.741940e+01 700.00 750.00 1.51 12 
BM2_994 2 1 SourSkittles.bmp 1.840351e+01 11 9.614956e+02 110 7.000624e+02 b 1.942114e+01 716.67 750.00 2.02 19 
BM2_994 2 1 Whatchamacallit.bmp 2.339113e+01 22 1.037856e+03 2200 7.500721e+02 b 2.440856e+01 716.67 700.00 1.06 53 
BM2_994 2 1 Toberlorone.bmp 2.539276e+01 12 999000 120 999000  2.641028e+01 716.67 700.00 2.99 23 
BM2_994 2 1 PopTartsCinnamon.bmp 2.839536e+01 12 999000 120 999000  2.941287e+01 716.67 700.00 2.02 32 
BM2_994 2 1 PopTartsStrawberry.bmp 3.139792e+01 12 999000 120 999000  3.241532e+01 716.67 700.00 1.53 35 
BM2_994 2 1 Snickers.bmp 3.540128e+01 11 9.397301e+02 110 7.167312e+02 b 3.641877e+01 733.33 700.00 2.44 21 
BM2_994 2 1 TeddyGrahamschocolate.bmp 3.838678e+01 24 999000 240 999000  3.940458e+01 733.33 700.00 0.28 14 
BM2_994 2 1 RiceKrispyTreat_small.bmp 4.038885e+01 22 9.041447e+02 220 7.000665e+02 b 4.140633e+01 733.33 716.67 0.53 49 
BM2_994 2 1 Hersheykisses.bmp 4.339139e+01 24 999000 240 999000  4.440889e+01 733.33 716.67 1.07 10 
BM2_994 2 1 Twix.bmp 4.739470e+01 12 999000 120 999000  4.841220e+01 733.33 716.67 2.04 18 
BM2_994 2 1 Laysclassic.bmp 5.039727e+01 24 999000 240 999000  5.141481e+01 733.33 716.67 0.64 55 
BM2_994 2 1 Goldfish.bmp 5.239904e+01 11 1.037966e+03 1100 7.333855e+02 b 5.341641e+01 683.33 716.67 2.01 2 
BM2_994 2 1 Reeses.bmp 5.440059e+01 12 999000 120 999000  5.541817e+01 683.33 716.67 1.58 51 
BM2_994 2 1 Oreos.bmp 5.938823e+01 24 3.207787e+02 24 999000 b 6.040569e+01 683.33 716.67 1.06 4 
BM2_994 2 1 PringlesRed.bmp 6.339167e+01 12 999000 120 999000  6.440904e+01 683.33 716.67 1.53 59 
BM2_994 2 1 redvines_small.bmp 6.739504e+01 22 9.379681e+02 220 7.167277e+02 b 6.841245e+01 683.33 733.33 0.61 44 
BM2_994 2 1 Lollipopred.bmp 7.340002e+01 24 999000 240 999000  7.441754e+01 683.33 733.33 0.21 1 
BM2_994 2 1 Lindt_small.bmp 7.540177e+01 12 999000 120 999000  7.641930e+01 683.33 733.33 2.40 52 
BM2_994 2 1 Laffytaffyred_one.bmp 7.738645e+01 22 9.465546e+02 220 7.334005e+02 b 7.840424e+01 683.33 750.00 1.07 29 
BM2_994 2 1 RitzBitz2.bmp 7.938839e+01 22 1.096608e+03 2200 7.500496e+02 b 8.040601e+01 683.33 700.00 1.06 54 
BM2_994 2 1 FrootLoops.bmp 8.139016e+01 24 999000 240 999000  8.240763e+01 683.33 700.00 0.21 47 
BM2_994 2 1 PayDay.bmp 8.539359e+01 22 9.314144e+02 220 7.000651e+02 b 8.641097e+01 683.33 716.67 0.88 31 
BM2_994 2 1 Slimjim.bmp 8.739517e+01 12 999000 120 999000  8.841271e+01 683.33 716.67 2.00 60 
BM2_994 2 1 BabyRuth.bmp 9.139861e+01 11 9.343767e+02 110 6.833938e+02 b 9.241614e+01 700.00 716.67 2.03 34 
BM2_994 2 1 Dots_one.bmp 9.340025e+01 24 999000 240 999000  9.441781e+01 700.00 716.67 0.15 24 
BM2_994 2 1 AnimalCrackers.bmp 9.540193e+01 24 999000 240 999000  9.641945e+01 700.00 716.67 0.18 26 
BM2_994 2 1 Keeblerfudgestripes.bmp 9.738665e+01 12 999000 120 999000  9.840454e+01 700.00 716.67 2.01 16 
BM2_994 2 1 FigNewton_small.bmp 1.023913e+02 24 999000 240 999000  1.034087e+02 700.00 716.67 0.49 45 
BM2_994 2 1 100grand_small.bmp 1.043929e+02 24 999000 240 999000  1.054104e+02 700.00 716.67 1.44 39 
BM2_994 2 1 Milkduds.bmp 1.063946e+02 24 999000 240 999000  1.074121e+02 700.00 716.67 1.46 43 
BM2_994 2 1 FamousAmos_small.bmp 1.093971e+02 24 999000 240 999000  1.104147e+02 700.00 716.67 1.06 7 
