Trial	StimName	Bid	RT
1	BabyRuth.bmp	0.0133333333333	7438
2	Lollipopred.bmp	0.00666666666667	2889
3	Chocolate_mm.bmp	0.526666666667	3688
4	AnimalCrackers.bmp	1.04666666667	4205
5	Skittles.bmp	0.0133333333333	3904
6	Slimjim.bmp	0.0133333333333	2335
7	Sourpatch.bmp	0.00666666666667	2435
8	3Musketeers.bmp	0.233333333333	2452
9	100grand_small.bmp	1.05333333333	2986
10	Riprolls.bmp	0.00666666666667	2602
11	Funyuns_small.bmp	1.25333333333	3168
12	Milano.bmp	1.75333333333	4420
13	Toberlorone.bmp	1.79333333333	5220
14	PeanutMMs.bmp	1.03333333333	2669
15	RiceKrispyTreat_small.bmp	0.533333333333	3669
16	MilkyWay.bmp	0.526666666667	4854
17	redvines_small.bmp	0.0133333333333	2085
18	PringlesRed.bmp	0.52	2906
19	Cheetos.bmp	1.06	3571
20	Nutterbutter.bmp	0.02	3003
21	Hersheymilk_several.bmp	0.0133333333333	2719
22	FamousAmos_small.bmp	1.52	3870
23	Doritosranch.bmp	1.26	2501
24	FrootLoops.bmp	0.553333333333	3837
25	PopTartsStrawberry.bmp	0.0133333333333	4386
26	FlamingCheetos.bmp	1.5	4906
27	PayDay.bmp	0.02	2353
28	Laysclassic.bmp	1.06666666667	1418
29	Oreos.bmp	0.54	3485
30	TeddyGrahamschocolate.bmp	0.8	2067
31	Snickers.bmp	0.773333333333	1849
32	Milkduds.bmp	0.00666666666667	3254
33	CheesyDoritos.bmp	1.03333333333	3585
34	RitzBitz2.bmp	1.02666666667	1934
35	Ghiradelli_milk_Almonds.bmp	2.0	3754
36	KitKat_small.bmp	1.25333333333	3587
37	SourSkittles.bmp	0.0133333333333	1987
38	Dots_one.bmp	0.0133333333333	1950
39	FigNewton_small.bmp	0.0133333333333	2486
40	Twix.bmp	0.833333333333	2284
41	Ghiradelli_milk.bmp	1.74	2688
42	Whatchamacallit.bmp	1.25333333333	3149
43	ChipsAhoy_small.bmp	0.58	4604
44	MrGoodbar.bmp	0.84	2268
45	Laffytaffyred_one.bmp	0.0133333333333	3083
46	Jollyrancherred.bmp	0.0133333333333	1952
47	Crunch.bmp	1.02	4403
48	Granolabar.bmp	1.04666666667	2370
49	Fritos.bmp	0.84	2503
50	Lindt_small.bmp	2.22	2970
51	Butterfinger.bmp	0.00666666666667	2136
52	Almondjoy.bmp	0.0133333333333	2769
53	PopTartsCinnamon.bmp	0.0133333333333	1933
54	MrsFields.bmp	0.00666666666667	1949
55	Cheezits.bmp	0.553333333333	2372
56	Jollyranchergreen.bmp	0.00666666666667	1716
57	Reeses.bmp	0.573333333333	2351
58	Keeblerfudgestripes.bmp	0.0133333333333	2687
59	Goldfish.bmp	0.0133333333333	3233
60	Hersheykisses.bmp	0.00666666666667	2318
