subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_185 7 Reeses.bmp 1.168217e+03 24 999000 240 999000 999 1169.23 6.500000e+02 7.166667e+02 58 46
BM2_185 7 Twix.bmp 1.171204e+03 12 999000 120 999000 999 1172.22 6.500000e+02 7.166667e+02 30 59
BM2_185 7 Laffytaffyred_one.bmp 1.173211e+03 24 999000 240 999000 999 1174.22 6.500000e+02 7.166667e+02 37 32
BM2_185 7 CheesyDoritos.bmp 1.175211e+03 24 999000 240 999000 999 1176.23 6.500000e+02 7.166667e+02 48 7
BM2_185 7 Sourpatch.bmp 1.177211e+03 11 999000 1 6.501239e+02 999 1178.23 6.000000e+02 7.166667e+02 12 54
BM2_185 7 Skittles.bmp 1.180213e+03 12 999000 120 999000 999 1181.23 6.000000e+02 7.166667e+02 7 49
BM2_185 7 HoHo.bmp 1.182215e+03 11 999000 1 6.001293e+02 999 1183.23 5.500000e+02 7.166667e+02 15 27
BM2_185 7 ChipsAhoy_small.bmp 1.186203e+03 12 5.054275e+02 12 999000 98 1187.22 5.500000e+02 7.166667e+02 9 10
BM2_185 7 Lollipopred.bmp 1.188210e+03 24 999000 240 999000 999 1189.22 5.500000e+02 7.166667e+02 55 34
BM2_185 7 Almondjoy.bmp 1.193211e+03 11 7.539876e+02 110 5.501344e+02 98 1194.23 5.666667e+02 7.166667e+02 19 3
BM2_185 7 FamousAmos_small.bmp 1.195213e+03 12 999000 120 999000 999 1196.23 5.666667e+02 7.166667e+02 18 15
BM2_185 7 Oreos.bmp 1.199201e+03 11 7.720542e+02 110 5.667815e+02 98 1200.22 5.833333e+02 7.166667e+02 8 40
BM2_185 7 Fritos.bmp 1.201203e+03 22 9.459179e+02 220 7.167857e+02 98 1202.22 5.833333e+02 7.333333e+02 41 18
BM2_185 7 Cheetos.bmp 1.204211e+03 22 5.940121e+02 22 7.334525e+02 98 1205.22 5.833333e+02 7.500000e+02 45 8
BM2_185 7 Ghiradelli_milk.bmp 1.209211e+03 12 999000 120 999000 999 1210.23 5.833333e+02 7.500000e+02 3 21
BM2_185 7 Jollyranchergreen.bmp 1.211213e+03 24 999000 240 999000 999 1212.23 5.833333e+02 7.500000e+02 57 28
BM2_185 7 Ghiradelli_milk_Almonds.bmp 1.213216e+03 12 999000 120 999000 999 1214.23 5.833333e+02 7.500000e+02 2 22
BM2_185 7 FlamingCheetos.bmp 1.217203e+03 24 999000 240 999000 999 1218.22 5.833333e+02 7.500000e+02 31 17
BM2_185 7 MrGoodbar.bmp 1.221210e+03 24 999000 240 999000 999 1222.23 5.833333e+02 7.500000e+02 32 38
BM2_185 7 Milkduds.bmp 1.225212e+03 24 999000 240 999000 999 1226.23 5.833333e+02 7.500000e+02 39 36
BM2_185 7 100grand_small.bmp 1.227214e+03 12 999000 120 999000 999 1228.23 5.833333e+02 7.500000e+02 27 1
BM2_185 7 SourSkittles.bmp 1.229200e+03 22 1.100620e+03 2200 7.501352e+02 98 1230.22 5.833333e+02 7.000000e+02 46 53
BM2_185 7 AnimalCrackers.bmp 1.231202e+03 12 999000 120 999000 999 1232.22 5.833333e+02 7.000000e+02 21 4
BM2_185 7 Doritosranch.bmp 1.233204e+03 22 9.928296e+02 220 7.001078e+02 98 1234.22 5.833333e+02 7.166667e+02 49 13
BM2_185 7 BabyRuth.bmp 1.239211e+03 11 8.496326e+02 110 5.834662e+02 98 1240.23 6.000000e+02 7.166667e+02 23 5
BM2_185 7 SnoBall.bmp 1.242213e+03 22 9.591313e+02 220 7.167809e+02 98 1243.23 6.000000e+02 7.333333e+02 50 52
BM2_185 7 Chocolate_mm.bmp 1.244216e+03 24 999000 240 999000 999 1245.23 6.000000e+02 7.333333e+02 33 11
BM2_185 7 PringlesRed.bmp 1.246201e+03 24 999000 240 999000 999 1247.22 6.000000e+02 7.333333e+02 35 45
BM2_185 7 PopTartsStrawberry.bmp 1.249204e+03 11 8.482370e+02 110 6.000935e+02 98 1250.22 6.166667e+02 7.333333e+02 20 44
BM2_185 7 RitzBitz2.bmp 1.251210e+03 12 999000 120 999000 999 1252.22 6.166667e+02 7.333333e+02 14 48
BM2_185 7 Funyuns_small.bmp 1.253211e+03 24 999000 240 999000 999 1254.23 6.166667e+02 7.333333e+02 36 20
BM2_185 7 Butterfinger.bmp 1.255211e+03 24 999000 240 999000 999 1256.23 6.166667e+02 7.333333e+02 44 6
BM2_185 7 Granolabar.bmp 1.258214e+03 24 999000 240 999000 999 1259.23 6.166667e+02 7.333333e+02 34 24
BM2_185 7 Streusel.bmp 1.260216e+03 12 999000 120 999000 999 1261.23 6.166667e+02 7.333333e+02 13 55
BM2_185 7 Goldfish.bmp 1.262202e+03 12 999000 120 999000 999 1263.22 6.166667e+02 7.333333e+02 22 23
BM2_185 7 PayDay.bmp 1.264204e+03 24 999000 240 999000 999 1265.22 6.166667e+02 7.333333e+02 40 41
BM2_185 7 Hersheymilk_several.bmp 1.266211e+03 24 999000 240 999000 999 1267.22 6.166667e+02 7.333333e+02 60 26
BM2_185 7 Cupcakes.bmp 1.272213e+03 22 999000 2 7.334245e+02 999 1273.23 6.166667e+02 6.833333e+02 42 12
BM2_185 7 Slimjim.bmp 1.275216e+03 12 999000 120 999000 999 1276.23 6.166667e+02 6.833333e+02 10 50
BM2_185 7 Twinkie.bmp 1.279204e+03 12 999000 120 999000 999 1280.22 6.166667e+02 6.833333e+02 17 58
BM2_185 7 Dots_one.bmp 1.285210e+03 24 999000 240 999000 999 1286.23 6.166667e+02 6.833333e+02 51 14
BM2_185 7 FigNewton_small.bmp 1.287212e+03 11 9.686172e+02 110 6.167741e+02 98 1288.23 6.333333e+02 6.833333e+02 16 16
BM2_185 7 Riprolls.bmp 1.292201e+03 22 1.011769e+03 2200 6.834801e+02 98 1293.22 6.333333e+02 6.333333e+02 53 47
BM2_185 7 Toberlorone.bmp 1.295204e+03 12 999000 120 999000 999 1296.22 6.333333e+02 6.333333e+02 1 57
BM2_185 7 Whatchamacallit.bmp 1.297210e+03 24 999000 240 999000 999 1298.22 6.333333e+02 6.333333e+02 43 60
BM2_185 7 Nutterbutter.bmp 1.300210e+03 12 999000 120 999000 999 1301.23 6.333333e+02 6.333333e+02 4 39
BM2_185 7 Jollyrancherred.bmp 1.302212e+03 24 999000 240 999000 999 1303.23 6.333333e+02 6.333333e+02 56 29
BM2_185 7 FrootLoops.bmp 1.306216e+03 24 999000 240 999000 999 1307.23 6.333333e+02 6.333333e+02 54 19
BM2_185 7 Laysclassic.bmp 1.310203e+03 22 9.451538e+02 220 6.334504e+02 98 1311.22 6.333333e+02 6.500000e+02 38 33
BM2_185 7 MilkyWay.bmp 1.312211e+03 12 999000 120 999000 999 1313.22 6.333333e+02 6.500000e+02 25 37
BM2_185 7 Milano.bmp 1.319213e+03 12 999000 120 999000 999 1320.23 6.333333e+02 6.500000e+02 5 35
BM2_185 7 PeanutMMs.bmp 1.321215e+03 24 999000 240 999000 999 1322.23 6.333333e+02 6.500000e+02 47 42
BM2_185 7 Snickers.bmp 1.324202e+03 12 999000 120 999000 999 1325.22 6.333333e+02 6.500000e+02 26 51
BM2_185 7 Keeblerfudgestripes.bmp 1.328211e+03 12 999000 120 999000 999 1329.22 6.333333e+02 6.500000e+02 6 30
BM2_185 7 Cheezits.bmp 1.332211e+03 12 999000 120 999000 999 1333.23 6.333333e+02 6.500000e+02 28 9
BM2_185 7 TeddyGrahamschocolate.bmp 1.336215e+03 12 999000 120 999000 999 1337.23 6.333333e+02 6.500000e+02 29 56
BM2_185 7 Hersheykisses.bmp 1.339201e+03 24 999000 240 999000 999 1340.22 6.333333e+02 6.500000e+02 59 25
BM2_185 7 KitKat_small.bmp 1.341204e+03 24 999000 240 999000 999 1342.22 6.333333e+02 6.500000e+02 52 31
BM2_185 7 3Musketeers.bmp 1.345211e+03 12 999000 120 999000 999 1346.23 6.333333e+02 6.500000e+02 24 2
