subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_185 8 PeanutMMs.bmp 1.355068e+03 24 999000 240 999000 999 1356.09 6.500000e+02 6.500000e+02 47 42
BM2_185 8 Reeses.bmp 1.357054e+03 24 999000 240 999000 999 1358.07 6.500000e+02 6.500000e+02 58 46
BM2_185 8 Toberlorone.bmp 1.361062e+03 12 999000 120 999000 999 1362.08 6.500000e+02 6.500000e+02 1 57
BM2_185 8 Butterfinger.bmp 1.364062e+03 24 999000 240 999000 999 1365.08 6.500000e+02 6.500000e+02 44 6
BM2_185 8 Dots_one.bmp 1.366064e+03 24 999000 240 999000 999 1367.08 6.500000e+02 6.500000e+02 51 14
BM2_185 8 Goldfish.bmp 1.369067e+03 12 999000 120 999000 999 1370.08 6.500000e+02 6.500000e+02 22 23
BM2_185 8 Twinkie.bmp 1.373055e+03 12 999000 120 999000 999 1374.07 6.500000e+02 6.500000e+02 17 58
BM2_185 8 Whatchamacallit.bmp 1.377063e+03 24 999000 240 999000 999 1378.08 6.500000e+02 6.500000e+02 43 60
BM2_185 8 RitzBitz2.bmp 1.379063e+03 12 999000 120 999000 999 1380.08 6.500000e+02 6.500000e+02 14 48
BM2_185 8 3Musketeers.bmp 1.384066e+03 12 999000 120 999000 999 1385.08 6.500000e+02 6.500000e+02 24 2
BM2_185 8 Laffytaffyred_one.bmp 1.386052e+03 24 999000 240 999000 999 1387.07 6.500000e+02 6.500000e+02 37 32
BM2_185 8 MrGoodbar.bmp 1.388054e+03 24 999000 240 999000 999 1389.07 6.500000e+02 6.500000e+02 32 38
BM2_185 8 FamousAmos_small.bmp 1.394062e+03 12 999000 120 999000 999 1395.08 6.500000e+02 6.500000e+02 18 15
BM2_185 8 Milkduds.bmp 1.396063e+03 24 999000 240 999000 999 1397.08 6.500000e+02 6.500000e+02 39 36
BM2_185 8 Keeblerfudgestripes.bmp 1.398065e+03 12 999000 120 999000 999 1399.08 6.500000e+02 6.500000e+02 6 30
BM2_185 8 Cheetos.bmp 1.400067e+03 22 9.936786e+02 220 6.501273e+02 98 1401.08 6.500000e+02 6.666667e+02 45 8
BM2_185 8 Doritosranch.bmp 1.404055e+03 22 8.938988e+02 220 6.667676e+02 98 1405.07 6.500000e+02 6.833333e+02 49 13
BM2_185 8 Cheezits.bmp 1.408063e+03 12 999000 120 999000 999 1409.08 6.500000e+02 6.833333e+02 28 9
BM2_185 8 Hersheymilk_several.bmp 1.411062e+03 24 999000 240 999000 999 1412.08 6.500000e+02 6.833333e+02 60 26
BM2_185 8 Granolabar.bmp 1.415067e+03 24 999000 240 999000 999 1416.08 6.500000e+02 6.833333e+02 34 24
BM2_185 8 PayDay.bmp 1.418053e+03 24 999000 240 999000 999 1419.07 6.500000e+02 6.833333e+02 40 41
BM2_185 8 Riprolls.bmp 1.420055e+03 22 9.574942e+02 220 6.834286e+02 98 1421.07 6.500000e+02 7.000000e+02 53 47
BM2_185 8 Chocolate_mm.bmp 1.424062e+03 24 999000 240 999000 999 1425.08 6.500000e+02 7.000000e+02 33 11
BM2_185 8 TeddyGrahamschocolate.bmp 1.426063e+03 12 999000 120 999000 999 1427.08 6.500000e+02 7.000000e+02 29 56
BM2_185 8 Fritos.bmp 1.428064e+03 22 1.004811e+03 2200 7.001204e+02 98 1429.08 6.500000e+02 6.500000e+02 41 18
BM2_185 8 FigNewton_small.bmp 1.432068e+03 11 8.803290e+02 110 6.501398e+02 98 1433.09 6.666667e+02 6.500000e+02 16 16
BM2_185 8 FrootLoops.bmp 1.434054e+03 24 999000 240 999000 999 1435.07 6.666667e+02 6.500000e+02 54 19
BM2_185 8 FlamingCheetos.bmp 1.438063e+03 24 999000 240 999000 999 1439.08 6.666667e+02 6.500000e+02 31 17
BM2_185 8 PopTartsCinnamon.bmp 1.442062e+03 11 8.943928e+02 110 6.667798e+02 98 1443.08 6.833333e+02 6.500000e+02 11 43
BM2_185 8 Funyuns_small.bmp 1.445065e+03 24 999000 240 999000 999 1446.08 6.833333e+02 6.500000e+02 36 20
BM2_185 8 Slimjim.bmp 1.451055e+03 12 999000 120 999000 999 1452.07 6.833333e+02 6.500000e+02 10 50
BM2_185 8 MilkyWay.bmp 1.453062e+03 12 999000 120 999000 999 1454.08 6.833333e+02 6.500000e+02 25 37
BM2_185 8 Sourpatch.bmp 1.457063e+03 11 9.100766e+02 110 6.834427e+02 98 1458.08 7.000000e+02 6.500000e+02 12 54
BM2_185 8 Laysclassic.bmp 1.459064e+03 22 8.526663e+02 220 6.501226e+02 98 1460.08 7.000000e+02 6.666667e+02 38 33
BM2_185 8 Twix.bmp 1.461066e+03 12 999000 120 999000 999 1462.08 7.000000e+02 6.666667e+02 30 59
BM2_185 8 Nutterbutter.bmp 1.463068e+03 12 999000 120 999000 999 1464.09 7.000000e+02 6.666667e+02 4 39
BM2_185 8 CheesyDoritos.bmp 1.468057e+03 24 999000 240 999000 999 1469.07 7.000000e+02 6.666667e+02 48 7
BM2_185 8 AnimalCrackers.bmp 1.470062e+03 12 999000 120 999000 999 1471.08 7.000000e+02 6.666667e+02 21 4
BM2_185 8 100grand_small.bmp 1.472062e+03 12 999000 120 999000 999 1473.08 7.000000e+02 6.666667e+02 27 1
BM2_185 8 Ghiradelli_milk_Almonds.bmp 1.475065e+03 12 999000 120 999000 999 1476.08 7.000000e+02 6.666667e+02 2 22
BM2_185 8 BabyRuth.bmp 1.478068e+03 11 1.048930e+03 1100 7.001025e+02 98 1479.09 6.500000e+02 6.666667e+02 23 5
BM2_185 8 ChipsAhoy_small.bmp 1.482055e+03 12 999000 120 999000 999 1483.07 6.500000e+02 6.666667e+02 9 10
BM2_185 8 Snickers.bmp 1.484062e+03 12 999000 120 999000 999 1485.08 6.500000e+02 6.666667e+02 26 51
BM2_185 8 Ghiradelli_milk.bmp 1.486063e+03 12 5.739248e+02 12 999000 98 1487.08 6.500000e+02 6.666667e+02 3 21
BM2_185 8 PopTartsStrawberry.bmp 1.489063e+03 11 9.014976e+02 110 6.501278e+02 98 1490.08 6.666667e+02 6.666667e+02 20 44
BM2_185 8 Cupcakes.bmp 1.492066e+03 22 9.144747e+02 220 6.667879e+02 98 1493.08 6.666667e+02 6.833333e+02 42 12
BM2_185 8 Streusel.bmp 1.494052e+03 12 999000 120 999000 999 1495.07 6.666667e+02 6.833333e+02 13 55
BM2_185 8 Skittles.bmp 1.496054e+03 12 999000 120 999000 999 1497.07 6.666667e+02 6.833333e+02 7 49
BM2_185 8 SourSkittles.bmp 1.498056e+03 22 9.566274e+02 220 6.834447e+02 98 1499.07 6.666667e+02 7.000000e+02 46 53
BM2_185 8 Oreos.bmp 1.503062e+03 11 9.345657e+02 110 6.667623e+02 98 1504.08 6.833333e+02 7.000000e+02 8 40
BM2_185 8 Almondjoy.bmp 1.505064e+03 11 9.170098e+02 110 6.834511e+02 98 1506.08 7.000000e+02 7.000000e+02 19 3
BM2_185 8 Jollyranchergreen.bmp 1.507066e+03 24 999000 240 999000 999 1508.08 7.000000e+02 7.000000e+02 57 28
BM2_185 8 HoHo.bmp 1.509068e+03 11 9.526594e+02 110 7.001154e+02 98 1510.09 7.166667e+02 7.000000e+02 15 27
BM2_185 8 Jollyrancherred.bmp 1.516063e+03 24 999000 240 999000 999 1517.08 7.166667e+02 7.000000e+02 56 29
BM2_185 8 PringlesRed.bmp 1.518063e+03 24 999000 240 999000 999 1519.08 7.166667e+02 7.000000e+02 35 45
BM2_185 8 Milano.bmp 1.525052e+03 12 999000 120 999000 999 1526.07 7.166667e+02 7.000000e+02 5 35
BM2_185 8 Lollipopred.bmp 1.528055e+03 24 999000 240 999000 999 1529.07 7.166667e+02 7.000000e+02 55 34
BM2_185 8 KitKat_small.bmp 1.531062e+03 24 999000 240 999000 999 1532.08 7.166667e+02 7.000000e+02 52 31
BM2_185 8 SnoBall.bmp 1.537065e+03 22 9.799630e+02 220 7.000989e+02 98 1538.08 7.166667e+02 7.166667e+02 50 52
BM2_185 8 Hersheykisses.bmp 1.539067e+03 24 999000 240 999000 999 1540.08 7.166667e+02 7.166667e+02 59 25
