subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_185 1 Chocolate_mm.bmp 1.393485e+00 24 999000 240 999000 999 2.41 650 650 33 11
BM2_185 1 Almondjoy.bmp 6.382843e+00 11 1.069808e+03 1100 6.510510e+02 98 7.40 600 650 19 3
BM2_185 1 Reeses.bmp 8.383643e+00 24 999000 240 999000 999 9.40 600 650 58 46
BM2_185 1 TeddyGrahamschocolate.bmp 1.038567e+01 12 999000 120 999000 999 11.40 600 650 29 56
BM2_185 1 Lollipopred.bmp 1.637557e+01 24 999000 240 999000 999 17.39 600 650 55 34
BM2_185 1 Doritosranch.bmp 1.838252e+01 22 1.246123e+03 2200 6.507495e+02 98 19.40 600 600 49 13
BM2_185 1 HoHo.bmp 2.138270e+01 11 1.061946e+03 1100 6.000928e+02 98 22.40 550 600 15 27
BM2_185 1 Streusel.bmp 2.338297e+01 12 999000 120 999000 999 24.40 550 600 13 55
BM2_185 1 FrootLoops.bmp 2.738735e+01 24 999000 240 999000 999 28.41 550 600 54 19
BM2_185 1 BabyRuth.bmp 2.937298e+01 11 9.996252e+02 110 5.501286e+02 98 30.39 5.666667e+02 600 23 5
BM2_185 1 Hersheykisses.bmp 3.438301e+01 24 999000 240 999000 999 35.40 5.666667e+02 600 59 25
BM2_185 1 PeanutMMs.bmp 4.138573e+01 24 999000 240 999000 999 42.40 5.666667e+02 600 47 42
BM2_185 1 SnoBall.bmp 4.338792e+01 22 9.927254e+02 220 6.000949e+02 98 44.41 5.666667e+02 6.166667e+02 50 52
BM2_185 1 FamousAmos_small.bmp 4.637458e+01 12 999000 120 999000 999 47.39 5.666667e+02 6.166667e+02 18 15
BM2_185 1 Milano.bmp 4.938251e+01 12 999000 120 999000 999 50.40 5.666667e+02 6.166667e+02 5 35
BM2_185 1 Twinkie.bmp 5.338272e+01 12 999000 120 999000 999 54.40 5.666667e+02 6.166667e+02 17 58
BM2_185 1 Goldfish.bmp 5.738630e+01 12 999000 120 999000 999 58.40 5.666667e+02 6.166667e+02 22 23
BM2_185 1 Butterfinger.bmp 6.137392e+01 24 999000 240 999000 999 62.39 5.666667e+02 6.166667e+02 44 6
BM2_185 1 Funyuns_small.bmp 6.437729e+01 24 999000 240 999000 999 65.39 5.666667e+02 6.166667e+02 36 20
BM2_185 1 Fritos.bmp 7.038367e+01 22 1.148943e+03 2200 6.167926e+02 98 71.40 5.666667e+02 5.666667e+02 41 18
BM2_185 1 PopTartsStrawberry.bmp 7.238584e+01 11 1.082809e+03 1100 5.667699e+02 98 73.40 5.166667e+02 5.666667e+02 20 44
BM2_185 1 Ghiradelli_milk_Almonds.bmp 7.537256e+01 12 999000 120 999000 999 76.39 5.166667e+02 5.666667e+02 2 22
BM2_185 1 Jollyrancherred.bmp 7.737465e+01 24 999000 240 999000 999 78.39 5.166667e+02 5.666667e+02 56 29
BM2_185 1 Keeblerfudgestripes.bmp 7.937667e+01 12 999000 120 999000 999 80.39 5.166667e+02 5.666667e+02 6 30
BM2_185 1 Jollyranchergreen.bmp 8.138272e+01 24 999000 240 999000 999 82.40 5.166667e+02 5.666667e+02 57 28
BM2_185 1 ChipsAhoy_small.bmp 8.438288e+01 12 999000 120 999000 999 85.40 5.166667e+02 5.666667e+02 9 10
BM2_185 1 Granolabar.bmp 8.838633e+01 24 999000 240 999000 999 89.40 5.166667e+02 5.666667e+02 34 24
BM2_185 1 Ghiradelli_milk.bmp 9.037210e+01 12 999000 120 999000 999 91.39 5.166667e+02 5.666667e+02 3 21
BM2_185 1 SourSkittles.bmp 9.237409e+01 22 9.265563e+02 220 5.667657e+02 98 93.39 5.166667e+02 5.833333e+02 46 53
BM2_185 1 PringlesRed.bmp 9.437618e+01 24 999000 240 999000 999 95.39 5.166667e+02 5.833333e+02 35 45
BM2_185 1 3Musketeers.bmp 9.638222e+01 12 999000 120 999000 999 97.40 5.166667e+02 5.833333e+02 24 2
BM2_185 1 Twix.bmp 9.838264e+01 12 999000 120 999000 999 99.40 5.166667e+02 5.833333e+02 30 59
BM2_185 1 Oreos.bmp 1.023850e+02 11 9.316138e+02 110 5.167689e+02 98 103.40 5.333333e+02 5.833333e+02 8 40
BM2_185 1 Nutterbutter.bmp 1.063726e+02 12 999000 120 999000 999 107.39 5.333333e+02 5.833333e+02 4 39
BM2_185 1 100grand_small.bmp 1.083746e+02 12 999000 120 999000 999 109.39 5.333333e+02 5.833333e+02 27 1
