subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_185 9 AnimalCrackers.bmp 1.553299e+03 12 999000 120 999000 999 1554.32 7.166667e+02 7.166667e+02 21 4
BM2_185 9 Granolabar.bmp 1.555284e+03 24 999000 240 999000 999 1556.30 7.166667e+02 7.166667e+02 34 24
BM2_185 9 Riprolls.bmp 1.559293e+03 22 9.592415e+02 220 7.168049e+02 98 1560.31 7.166667e+02 7.333333e+02 53 47
BM2_185 9 FamousAmos_small.bmp 1.562293e+03 12 999000 120 999000 999 1563.31 7.166667e+02 7.333333e+02 18 15
BM2_185 9 MilkyWay.bmp 1.564294e+03 12 999000 120 999000 999 1565.31 7.166667e+02 7.333333e+02 25 37
BM2_185 9 ChipsAhoy_small.bmp 1.567297e+03 12 999000 120 999000 999 1568.32 7.166667e+02 7.333333e+02 9 10
BM2_185 9 Keeblerfudgestripes.bmp 1.571285e+03 12 999000 120 999000 999 1572.30 7.166667e+02 7.333333e+02 6 30
BM2_185 9 FrootLoops.bmp 1.575293e+03 24 999000 240 999000 999 1576.31 7.166667e+02 7.333333e+02 54 19
BM2_185 9 Lollipopred.bmp 1.577293e+03 24 999000 240 999000 999 1578.31 7.166667e+02 7.333333e+02 55 34
BM2_185 9 Twix.bmp 1.582297e+03 12 999000 120 999000 999 1583.31 7.166667e+02 7.333333e+02 30 59
BM2_185 9 Whatchamacallit.bmp 1.584283e+03 24 999000 240 999000 999 1585.30 7.166667e+02 7.333333e+02 43 60
BM2_185 9 Doritosranch.bmp 1.586284e+03 22 1.032257e+03 2200 7.334338e+02 98 1587.30 7.166667e+02 6.833333e+02 49 13
BM2_185 9 Ghiradelli_milk_Almonds.bmp 1.592294e+03 12 999000 120 999000 999 1593.31 7.166667e+02 6.833333e+02 2 22
BM2_185 9 Twinkie.bmp 1.594293e+03 12 999000 120 999000 999 1595.31 7.166667e+02 6.833333e+02 17 58
BM2_185 9 HoHo.bmp 1.596295e+03 11 1.013379e+03 1100 7.167829e+02 98 1597.31 6.666667e+02 6.833333e+02 15 27
BM2_185 9 SnoBall.bmp 1.598297e+03 22 9.472384e+02 220 6.834256e+02 98 1599.32 6.666667e+02 7.000000e+02 50 52
BM2_185 9 PopTartsStrawberry.bmp 1.602285e+03 11 9.035897e+02 110 6.667563e+02 98 1603.30 6.833333e+02 7.000000e+02 20 44
BM2_185 9 Cheezits.bmp 1.606293e+03 12 999000 120 999000 999 1607.31 6.833333e+02 7.000000e+02 28 9
BM2_185 9 Fritos.bmp 1.609293e+03 22 9.512935e+02 220 7.001045e+02 98 1610.31 6.833333e+02 7.166667e+02 41 18
BM2_185 9 Hersheymilk_several.bmp 1.613297e+03 24 999000 240 999000 999 1614.31 6.833333e+02 7.166667e+02 60 26
BM2_185 9 Hersheykisses.bmp 1.616284e+03 24 999000 240 999000 999 1617.30 6.833333e+02 7.166667e+02 59 25
BM2_185 9 Jollyrancherred.bmp 1.618286e+03 24 999000 240 999000 999 1619.30 6.833333e+02 7.166667e+02 56 29
BM2_185 9 Dots_one.bmp 1.622293e+03 24 999000 240 999000 999 1623.31 6.833333e+02 7.166667e+02 51 14
