subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_185 11 Milano.bmp 1.931673e+03 12 999000 120 999000 999 1932.69 7.166667e+02 6.500000e+02 5 35
BM2_185 11 Sourpatch.bmp 1.934660e+03 11 1.040573e+03 1100 7.167910e+02 98 1935.68 6.666667e+02 6.500000e+02 12 54
BM2_185 11 Dots_one.bmp 1.938668e+03 24 999000 240 999000 999 1939.68 6.666667e+02 6.500000e+02 51 14
BM2_185 11 Butterfinger.bmp 1.940667e+03 24 999000 240 999000 999 1941.68 6.666667e+02 6.500000e+02 44 6
BM2_185 11 TeddyGrahamschocolate.bmp 1.942669e+03 12 999000 120 999000 999 1943.69 6.666667e+02 6.500000e+02 29 56
BM2_185 11 Oreos.bmp 1.946673e+03 11 1.019651e+03 1100 6.667933e+02 98 1947.69 6.166667e+02 6.500000e+02 8 40
BM2_185 11 PopTartsCinnamon.bmp 1.948659e+03 11 1.129962e+03 1100 6.167837e+02 98 1949.68 5.666667e+02 6.500000e+02 11 43
BM2_185 11 MilkyWay.bmp 1.953668e+03 12 999000 120 999000 999 1954.68 5.666667e+02 6.500000e+02 25 37
BM2_185 11 Cheetos.bmp 1.955668e+03 22 9.126839e+02 220 6.501366e+02 98 1956.68 5.666667e+02 6.666667e+02 45 8
BM2_185 11 Fritos.bmp 1.958669e+03 22 9.273955e+02 220 6.667949e+02 98 1959.69 5.666667e+02 6.833333e+02 41 18
BM2_185 11 FigNewton_small.bmp 1.961673e+03 11 7.801138e+02 110 5.667946e+02 98 1962.69 5.833333e+02 6.833333e+02 16 16
BM2_185 11 Streusel.bmp 1.965660e+03 12 999000 120 999000 999 1966.68 5.833333e+02 6.833333e+02 13 55
BM2_185 11 Twinkie.bmp 1.968668e+03 12 999000 120 999000 999 1969.68 5.833333e+02 6.833333e+02 17 58
BM2_185 11 3Musketeers.bmp 1.970667e+03 12 999000 120 999000 999 1971.68 5.833333e+02 6.833333e+02 24 2
BM2_185 11 Hersheykisses.bmp 1.973669e+03 24 999000 240 999000 999 1974.69 5.833333e+02 6.833333e+02 59 25
BM2_185 11 FrootLoops.bmp 1.977673e+03 24 999000 240 999000 999 1978.69 5.833333e+02 6.833333e+02 54 19
