subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_032_TS1 1 8 FlamingCheetos.bmp 3.171398e-01 12 999000 120 999000 999 1.32 7.499633e+02 7.500033e+02 4 17 2.746667e+00
BMS_032_TS1 1 8 100grand_small.bmp 2.304251e+00 24 999000 240 999000 999 3.32 7.499633e+02 7.500033e+02 32 1 1.413333e+00
BMS_032_TS1 1 8 Twix.bmp 6.311623e+00 12 999000 120 999000 999 7.31 7.499633e+02 7.500033e+02 9 59 2.293333e+00
BMS_032_TS1 1 8 ChipsAhoy_small.bmp 9.300547e+00 12 999000 120 999000 999 10.32 7.499633e+02 7.500033e+02 10 10 2.266667e+00
BMS_032_TS1 1 8 Laffytaffyred_one.bmp 1.130409e+01 24 999000 240 999000 999 12.31 7.499633e+02 7.500033e+02 52 32 7.133333e-01
BMS_032_TS1 1 8 Slimjim.bmp 1.430963e+01 24 999000 240 999000 999 15.31 7.499633e+02 7.500033e+02 60 50 2.466667e-01
BMS_032_TS1 1 8 Chocolate_mm.bmp 1.830041e+01 11 8.983169e+02 110 7.501298e+02 98 19.32 7.666300e+02 7.500033e+02 15 11 2.026667e+00
BMS_032_TS1 1 8 Ghiradelli_milk_Almonds.bmp 2.230779e+01 12 999000 120 999000 999 23.31 7.666300e+02 7.500033e+02 3 22 2.973333e+00
BMS_032_TS1 1 8 PringlesRed.bmp 2.431153e+01 24 999000 240 999000 999 25.33 7.666300e+02 7.500033e+02 36 45 1.266667e+00
BMS_032_TS1 1 8 Granolabar.bmp 2.930396e+01 12 999000 120 999000 999 30.32 7.666300e+02 7.500033e+02 22 24 1.680000e+00
BMS_032_TS1 1 8 TeddyGrahamschocolate.bmp 3.130770e+01 22 9.279837e+02 220 7.502117e+02 98 32.31 7.666300e+02 7.666700e+02 46 56 1.006667e+00
BMS_032_TS1 1 8 SnoBall.bmp 3.331144e+01 24 999000 240 999000 999 34.31 7.666300e+02 7.666700e+02 55 52 5.200000e-01
BMS_032_TS1 1 8 Sourpatch.bmp 3.930576e+01 12 999000 120 999000 999 40.32 7.666300e+02 7.666700e+02 24 54 1.626667e+00
BMS_032_TS1 1 8 FrootLoops.bmp 4.130946e+01 22 7.432270e+02 22 7.668263e+02 98 42.31 7.666300e+02 7.833367e+02 38 19 1.226667e+00
BMS_032_TS1 1 8 BabyRuth.bmp 4.329649e+01 11 1.015178e+03 1100 7.667603e+02 98 44.31 7.166300e+02 7.833367e+02 16 5 2.020000e+00
