subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_058_TS1 1 1 Jollyrancherred.bmp 2.413452e+00 22 1.169591e+03 2200 7.552853e+02 98 3.44 750 700 53 29 6.000000e-02
BMS_058_TS1 1 1 Milkduds.bmp 7.342668e+00 24 999000 240 999000 999 8.36 750 700 54 36 6.000000e-02
BMS_058_TS1 1 1 FrootLoops.bmp 9.346290e+00 12 999000 120 999000 999 10.35 750 700 4 19 2.953333e+00
BMS_058_TS1 1 1 PringlesRed.bmp 1.135011e+01 12 999000 120 999000 999 12.37 750 700 25 45 1.986667e+00
BMS_058_TS1 1 1 FlamingCheetos.bmp 1.734450e+01 22 9.736089e+02 220 7.001760e+02 98 18.36 750 7.166667e+02 49 17 6.666667e-02
BMS_058_TS1 1 1 SnoBall.bmp 1.934810e+01 24 999000 240 999000 999 20.35 750 7.166667e+02 44 52 8.000000e-02
BMS_058_TS1 1 1 Almondjoy.bmp 2.235366e+01 24 999000 240 999000 999 23.36 750 7.166667e+02 48 3 6.666667e-02
BMS_058_TS1 1 1 Cheetos.bmp 2.435736e+01 24 999000 240 999000 999 25.38 750 7.166667e+02 57 8 4.000000e-02
BMS_058_TS1 1 1 Granolabar.bmp 2.834814e+01 24 999000 240 999000 999 29.37 750 7.166667e+02 35 24 1.020000e+00
BMS_058_TS1 1 1 PopTartsStrawberry.bmp 3.035171e+01 12 999000 120 999000 999 31.35 750 7.166667e+02 10 44 2.533333e+00
BMS_058_TS1 1 1 Twix.bmp 3.534433e+01 12 999000 120 999000 999 36.36 750 7.166667e+02 13 59 2.500000e+00
BMS_058_TS1 1 1 FamousAmos_small.bmp 4.235730e+01 11 9.847578e+02 110 7.556521e+02 98 43.36 7.666667e+02 7.166667e+02 15 15 2.480000e+00
BMS_058_TS1 1 1 Slimjim.bmp 4.434424e+01 24 999000 240 999000 999 45.36 7.666667e+02 7.166667e+02 47 50 7.333333e-02
BMS_058_TS1 1 1 Reeses.bmp 4.734981e+01 12 999000 120 999000 999 48.37 7.666667e+02 7.166667e+02 5 46 2.953333e+00
BMS_058_TS1 1 1 Ghiradelli_milk.bmp 5.035533e+01 11 9.967918e+02 110 7.668439e+02 98 51.37 7.833333e+02 7.166667e+02 11 21 2.506667e+00
BMS_058_TS1 1 1 Twinkie.bmp 5.434610e+01 24 999000 240 999000 999 55.36 7.833333e+02 7.166667e+02 33 58 1.033333e+00
BMS_058_TS1 1 1 PayDay.bmp 5.835345e+01 24 999000 240 999000 999 59.36 7.833333e+02 7.166667e+02 55 41 5.333333e-02
BMS_058_TS1 1 1 Skittles.bmp 6.234420e+01 12 999000 120 999000 999 63.36 7.833333e+02 7.166667e+02 2 49 2.986667e+00
BMS_058_TS1 1 1 Hersheymilk_several.bmp 6.534972e+01 11 1.041394e+03 1100 7.834932e+02 98 66.37 7.333333e+02 7.166667e+02 12 26 2.506667e+00
BMS_058_TS1 1 1 PopTartsCinnamon.bmp 7.134400e+01 12 999000 120 999000 999 72.36 7.333333e+02 7.166667e+02 29 43 1.433333e+00
BMS_058_TS1 1 1 Sourpatch.bmp 7.334768e+01 12 999000 120 999000 999 74.35 7.333333e+02 7.166667e+02 24 54 2
BMS_058_TS1 1 1 KitKat_small.bmp 7.635337e+01 12 999000 120 999000 999 77.36 7.333333e+02 7.166667e+02 27 31 1.980000e+00
BMS_058_TS1 1 1 MilkyWay.bmp 7.835699e+01 24 999000 240 999000 999 79.38 7.333333e+02 7.166667e+02 34 37 1.026667e+00
BMS_058_TS1 1 1 Doritosranch.bmp 8.034404e+01 12 999000 120 999000 999 81.35 7.333333e+02 7.166667e+02 14 13 2.480000e+00
BMS_058_TS1 1 1 Streusel.bmp 8.234776e+01 22 1.044326e+03 2200 7.168438e+02 98 83.37 7.333333e+02 6.666667e+02 42 55 4.933333e-01
BMS_058_TS1 1 1 RitzBitz2.bmp 8.535325e+01 12 999000 120 999000 999 86.37 7.333333e+02 6.666667e+02 6 48 2.953333e+00
