Trial	StimName	Bid	RT
1	Toberlorone.bmp	0.0533333333333	3014
2	Cheezits.bmp	0.22	2008
3	Keeblerfudgestripes.bmp	0.06	1919
4	PeanutMMs.bmp	0.1	3747
5	PayDay.bmp	0.0133333333333	2199
6	Streusel.bmp	0.04	3264
7	Skittles.bmp	0.366666666667	2157
8	Hersheykisses.bmp	0.18	1750
9	Butterfinger.bmp	0.16	1651
10	PopTartsStrawberry.bmp	0.0733333333333	1429
11	Almondjoy.bmp	0.38	1357
12	3Musketeers.bmp	0.0933333333333	3051
13	Snickers.bmp	0.04	2602
14	Chocolate_mm.bmp	0.26	2250
15	BabyRuth.bmp	0.0533333333333	1935
16	100grand_small.bmp	0.0733333333333	3435
17	PopTartsCinnamon.bmp	0.14	1781
18	Jollyrancherred.bmp	0.14	1474
19	AnimalCrackers.bmp	0.153333333333	1812
20	Twix.bmp	0.133333333333	2310
21	Nutterbutter.bmp	0.1	1720
22	Riprolls.bmp	0.6	1842
23	Fritos.bmp	0.186666666667	1286
24	Slimjim.bmp	0.513333333333	1817
25	Ghiradelli_milk.bmp	0.566666666667	1540
26	RitzBitz2.bmp	0.0866666666667	2615
27	FamousAmos_small.bmp	0.106666666667	1594
28	Reeses.bmp	0.12	1747
29	Granolabar.bmp	0.22	4004
30	Ghiradelli_milk_Almonds.bmp	0.613333333333	2157
31	Milkduds.bmp	0.0333333333333	1300
32	Jollyranchergreen.bmp	0.106666666667	2635
33	CheesyDoritos.bmp	0.5	1302
34	ChipsAhoy_small.bmp	0.386666666667	2476
35	Milano.bmp	0.866666666667	1307
36	Laffytaffyred_one.bmp	0.793333333333	1605
37	FrootLoops.bmp	0.12	1864
38	Cheetos.bmp	0.366666666667	1515
39	MrGoodbar.bmp	0.08	1186
40	FigNewton_small.bmp	0.12	2120
41	Whatchamacallit.bmp	0.00666666666667	1843
42	HoHo.bmp	0.113333333333	1497
43	Lollipopred.bmp	0.0933333333333	2583
44	TeddyGrahamschocolate.bmp	0.28	1706
45	Twinkie.bmp	0.0733333333333	1231
46	Cupcakes.bmp	0.146666666667	3196
47	Oreos.bmp	0.16	1717
48	Laysclassic.bmp	0.426666666667	1765
49	Hersheymilk_several.bmp	0.286666666667	1319
50	MilkyWay.bmp	0.0666666666667	2161
51	Goldfish.bmp	0.6	2184
52	Dots_one.bmp	0.473333333333	1555
53	Doritosranch.bmp	0.633333333333	1711
54	Sourpatch.bmp	0.893333333333	1645
55	Funyuns_small.bmp	0.746666666667	1230
56	SourSkittles.bmp	0.946666666667	1274
57	FlamingCheetos.bmp	0.573333333333	1735
58	SnoBall.bmp	0.12	1320
59	KitKat_small.bmp	0.126666666667	1761
60	PringlesRed.bmp	0.486666666667	1902
