subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_055_TS1 2 3 Toberlorone.bmp 2.359603e+00 12 999000 120 999000 999 3.36 750 7.666700e+02 3 57 2.560000e+00
BMS_055_TS1 2 3 MilkyWay.bmp 5.331731e+00 24 999000 240 999000 999 6.35 750 7.666700e+02 54 37 1.066667e-01
BMS_055_TS1 2 3 Fritos.bmp 7.335428e+00 24 999000 240 999000 999 8.34 750 7.666700e+02 42 18 3.866667e-01
BMS_055_TS1 2 3 Funyuns_small.bmp 9.322437e+00 12 999000 120 999000 999 10.34 750 7.666700e+02 20 20 1.506667e+00
BMS_055_TS1 2 3 Dots_one.bmp 1.132618e+01 24 999000 240 999000 999 12.33 750 7.666700e+02 45 14 3.266667e-01
BMS_055_TS1 2 3 Cupcakes.bmp 1.433167e+01 22 1.007993e+03 2200 7.668490e+02 98 15.35 750 7.166700e+02 40 12 4.666667e-01
BMS_055_TS1 2 3 Cheezits.bmp 1.633546e+01 24 999000 240 999000 999 17.34 750 7.166700e+02 31 9 9.933333e-01
BMS_055_TS1 2 3 FigNewton_small.bmp 2.032613e+01 24 999000 240 999000 999 21.34 750 7.166700e+02 56 16 6.000000e-02
BMS_055_TS1 2 3 Sourpatch.bmp 2.232993e+01 12 999000 120 999000 999 23.33 750 7.166700e+02 11 54 2.013333e+00
BMS_055_TS1 2 3 HoHo.bmp 2.732246e+01 22 9.271164e+02 220 7.168680e+02 98 28.34 750 7.333367e+02 44 27 3.466667e-01
BMS_055_TS1 2 3 Riprolls.bmp 2.932612e+01 24 999000 240 999000 999 30.33 750 7.333367e+02 38 47 5.733333e-01
BMS_055_TS1 2 3 Milano.bmp 3.333339e+01 11 9.421212e+02 110 7.501729e+02 98 34.34 7.666667e+02 7.333367e+02 18 35 1.526667e+00
BMS_055_TS1 2 3 Doritosranch.bmp 3.533715e+01 12 999000 120 999000 999 36.36 7.666667e+02 7.333367e+02 23 13 1.453333e+00
BMS_055_TS1 2 3 ChipsAhoy_small.bmp 3.832595e+01 12 999000 120 999000 999 39.34 7.666667e+02 7.333367e+02 5 10 2.440000e+00
BMS_055_TS1 2 3 Cheetos.bmp 4.333519e+01 11 9.523351e+02 110 7.668276e+02 98 44.34 7.833333e+02 7.333367e+02 9 8 2.013333e+00
BMS_055_TS1 2 3 Ghiradelli_milk_Almonds.bmp 4.532227e+01 12 999000 120 999000 999 46.34 7.833333e+02 7.333367e+02 2 22 2.720000e+00
BMS_055_TS1 2 3 RitzBitz2.bmp 4.732605e+01 24 999000 240 999000 999 48.33 7.833333e+02 7.333367e+02 41 48 4.533333e-01
BMS_055_TS1 2 3 Laysclassic.bmp 5.133340e+01 11 9.931854e+02 110 7.834982e+02 98 52.34 8.000000e+02 7.333367e+02 17 33 1.646667e+00
BMS_055_TS1 2 3 Goldfish.bmp 5.532399e+01 12 999000 120 999000 999 56.34 8.000000e+02 7.333367e+02 24 23 1.260000e+00
BMS_055_TS1 2 3 Hersheymilk_several.bmp 5.933144e+01 12 999000 120 999000 999 60.35 8.000000e+02 7.333367e+02 30 26 1.026667e+00
BMS_055_TS1 2 3 FrootLoops.bmp 6.133516e+01 12 999000 120 999000 999 62.34 8.000000e+02 7.333367e+02 15 19 1.786667e+00
BMS_055_TS1 2 3 PayDay.bmp 6.332220e+01 22 9.793450e+02 220 7.334865e+02 98 64.34 8.000000e+02 7.500033e+02 48 41 2.000000e-01
BMS_055_TS1 2 3 Ghiradelli_milk.bmp 6.532577e+01 12 999000 120 999000 999 66.33 8.000000e+02 7.500033e+02 6 21 2.340000e+00
BMS_055_TS1 2 3 Oreos.bmp 6.732955e+01 12 999000 120 999000 999 68.35 8.000000e+02 7.500033e+02 7 40 2.040000e+00
BMS_055_TS1 2 3 100grand_small.bmp 7.332396e+01 24 999000 240 999000 999 74.34 8.000000e+02 7.500033e+02 58 1 4.666667e-02
