subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
201	 1	 5	 6210.jpg	 5.350531e+02	 12	 999000	 120	 999000	 999	 5.360698e+02	 616.67	 616.67	 22.00	 19	 0.60	 
201	 1	 5	 9340.jpg	 5.380366e+02	 12	 999000	 120	 999000	 999	 5.390532e+02	 616.67	 616.67	 16.00	 45	 0.70	 
201	 1	 5	 1274.jpg	 5.420367e+02	 24	 999000	 240	 999000	 999	 5.430533e+02	 616.67	 616.67	 58.00	 7	 0.10	 
201	 1	 5	 1111.jpg	 5.440367e+02	 22	 9.936398e+02	 220	 6.166058e+02	 98	 5.450533e+02	 616.67	 633.33	 53.00	 5	 0.21	 
201	 1	 5	 9042.jpg	 5.460367e+02	 24	 999000	 240	 999000	 999	 5.470534e+02	 616.67	 633.33	 56.00	 35	 0.17	 
201	 1	 5	 1000.jpg	 5.500368e+02	 12	 999000	 120	 999000	 999	 5.510534e+02	 616.67	 633.33	 4.00	 1	 0.87	 
201	 1	 5	 6242.jpg	 5.520368e+02	 12	 999000	 120	 999000	 999	 5.530535e+02	 616.67	 633.33	 19.00	 20	 0.66	 
201	 1	 5	 9322.jpg	 5.570370e+02	 24	 999000	 240	 999000	 999	 5.580536e+02	 616.67	 633.33	 46.00	 43	 0.30	 
201	 1	 5	 2456.jpg	 5.590370e+02	 12	 999000	 120	 999000	 999	 5.600536e+02	 616.67	 633.33	 8.00	 12	 0.81	 
201	 1	 5	 9325.jpg	 5.620370e+02	 24	 999000	 240	 999000	 999	 5.630537e+02	 616.67	 633.33	 42.00	 44	 0.34	 
201	 1	 5	 8485.jpg	 5.650371e+02	 22	 1.001083e+03	 2200	 6.332508e+02	 98	 5.660537e+02	 616.67	 583.33	 52.00	 33	 0.23	 
201	 1	 5	 2457.jpg	 5.690372e+02	 11	 1.096939e+03	 1100	 6.165860e+02	 98	 5.700705e+02	 566.67	 583.33	 15.00	 13	 0.73	 
201	 1	 5	 9341.jpg	 5.720372e+02	 11	 9.288083e+02	 110	 5.665842e+02	 98	 5.730539e+02	 583.33	 583.33	 7.00	 46	 0.82	 
201	 1	 5	 1304.jpg	 5.740372e+02	 11	 8.888195e+02	 110	 5.832732e+02	 98	 5.750541e+02	 600.00	 583.33	 18.00	 8	 0.67	 
201	 1	 5	 9290.jpg	 5.770373e+02	 11	 8.646838e+02	 110	 5.999147e+02	 98	 5.780541e+02	 616.67	 583.33	 12.00	 38	 0.74	 
201	 1	 5	 2039.jpg	 5.810374e+02	 12	 999000	 120	 999000	 999	 5.820540e+02	 616.67	 583.33	 3.00	 9	 0.89	 
201	 1	 5	 2799.jpg	 5.840375e+02	 12	 999000	 120	 999000	 999	 5.850541e+02	 616.67	 583.33	 14.00	 16	 0.73	 
201	 1	 5	 6562.jpg	 5.860375e+02	 12	 999000	 120	 999000	 999	 5.870541e+02	 616.67	 583.33	 11.00	 24	 0.77	 
201	 1	 5	 6571.jpg	 5.880375e+02	 12	 999000	 120	 999000	 999	 5.890543e+02	 616.67	 583.33	 21.00	 26	 0.60	 
201	 1	 5	 9301.jpg	 5.930376e+02	 24	 999000	 240	 999000	 999	 5.940543e+02	 616.67	 583.33	 51.00	 41	 0.24	 
201	 1	 5	 9395.jpg	 5.970377e+02	 12	 999000	 120	 999000	 999	 5.980543e+02	 616.67	 583.33	 6.00	 50	 0.83	 
201	 1	 5	 8480.jpg	 6.010378e+02	 24	 999000	 240	 999000	 999	 6.020544e+02	 616.67	 583.33	 55.00	 32	 0.19	 
201	 1	 5	 9930.jpg	 6.070379e+02	 24	 999000	 240	 999000	 999	 6.080546e+02	 616.67	 583.33	 39.00	 60	 0.38	 
201	 1	 5	 2455.jpg	 6.090379e+02	 11	 9.517710e+02	 110	 6.166035e+02	 98	 6.100546e+02	 633.33	 583.33	 13.00	 11	 0.73	 
201	 1	 5	 3103.jpg	 6.110380e+02	 24	 999000	 240	 999000	 999	 6.120546e+02	 633.33	 583.33	 49.00	 17	 0.26	 
201	 1	 5	 9909.jpg	 6.130380e+02	 24	 999000	 240	 999000	 999	 6.140546e+02	 633.33	 583.33	 48.00	 59	 0.27	 
201	 1	 5	 6570.JPG	 6.150380e+02	 24	 999000	 240	 999000	 999	 6.160547e+02	 633.33	 583.33	 41.00	 25	 0.36	 
201	 1	 5	 9291.jpg	 6.190381e+02	 12	 999000	 120	 999000	 999	 6.230551e+02	 633.33	 583.33	 17.00	 39	 0.68	 
201	 1	 5	 7359.jpg	 6.235714e+02	 24	 999000	 240	 999000	 999	 6.245882e+02	 633.33	 583.33	 43.00	 31	 0.33	 
201	 1	 5	 1019.jpg	 6.251048e+02	 22	 9.167151e+02	 220	 5.833334e+02	 98	 6.261217e+02	 633.33	 600.00	 50.00	 4	 0.25	 
201	 1	 5	 6821.jpg	 6.270382e+02	 12	 999000	 120	 999000	 999	 6.280549e+02	 633.33	 600.00	 20.00	 27	 0.64	 
201	 1	 5	 7078.jpg	 6.290383e+02	 11	 9.032365e+02	 110	 6.332607e+02	 98	 6.300549e+02	 650.00	 600.00	 10.00	 30	 0.78	 
201	 1	 5	 9321.jpg	 6.310384e+02	 24	 999000	 240	 999000	 999	 6.320550e+02	 650.00	 600.00	 40.00	 42	 0.38	 
201	 1	 5	 1271.jpg	 6.360384e+02	 24	 999000	 240	 999000	 999	 6.370551e+02	 650.00	 600.00	 54.00	 6	 0.20	 
201	 1	 5	 9390.jpg	 6.380385e+02	 12	 999000	 120	 999000	 999	 6.390551e+02	 650.00	 600.00	 9.00	 49	 0.80	 
201	 1	 5	 9490.jpg	 6.400385e+02	 22	 9.189072e+02	 220	 5.999335e+02	 98	 6.410552e+02	 650.00	 616.67	 44.00	 53	 0.32	 
201	 1	 5	 6370.jpg	 6.430386e+02	 22	 9.187713e+02	 220	 6.165928e+02	 98	 6.440552e+02	 650.00	 633.33	 45.00	 22	 0.30	 
201	 1	 5	 2691.jpg	 6.500387e+02	 22	 9.506062e+02	 220	 6.332497e+02	 98	 6.510553e+02	 650.00	 650.00	 47.00	 15	 0.29	 
201	 1	 5	 1001.jpg	 6.540388e+02	 24	 999000	 240	 999000	 999	 6.550554e+02	 650.00	 650.00	 57.00	 2	 0.15	 
201	 1	 5	 2205.jpg	 6.610389e+02	 12	 999000	 120	 999000	 999	 6.620555e+02	 650.00	 650.00	 5.00	 10	 0.85	 
