subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?	
BMI_bfr_127	2	69	1	0	0	1.20E-02	 241.jpg	 u	6.40E+00	0	0	 
BMI_bfr_127	2	20	2	1	1	7.45E+00	 145.jpg	 i	1.37E+00	54	1	 
BMI_bfr_127	2	16	3	1	0	9.87E+00	 139.jpg	 u	1.22E+00	56	0	 
BMI_bfr_127	2	4	4	1	1	1.21E+01	 108.jpg	 i	6.90E-01	9	1	 
BMI_bfr_127	2	53	5	0	1	1.39E+01	 225.jpg	 i	1.18E+00	0	0	 
BMI_bfr_127	2	60	6	0	0	1.61E+01	 232.jpg	 u	9.35E-01	0	0	 
BMI_bfr_127	2	68	7	0	0	1.81E+01	 240.jpg	 u	1.82E+00	0	0	 
BMI_bfr_127	2	75	8	0	0	2.10E+01	 247.jpg	 u	1.21E+00	0	0	 
BMI_bfr_127	2	77	9	0	0	2.32E+01	 249.jpg	 u	6.83E-01	0	0	 
BMI_bfr_127	2	8	10	1	1	2.50E+01	 119.jpg	 i	6.11E-01	48	1	 
BMI_bfr_127	2	81	11	0	0	2.66E+01	 253.jpg	 u	5.91E-01	0	0	 
BMI_bfr_127	2	47	12	0	0	2.83E+01	 219.jpg	 u	8.36E-01	0	0	 
BMI_bfr_127	2	29	13	0	0	3.01E+01	 201.jpg	 u	5.66E-01	0	0	 
BMI_bfr_127	2	66	14	0	0	3.18E+01	 238.jpg	 u	6.20E-01	0	0	 
BMI_bfr_127	2	55	15	0	0	3.34E+01	 227.jpg	 u	7.91E-01	0	0	 
BMI_bfr_127	2	34	16	0	0	3.53E+01	 206.jpg	 u	6.60E-01	0	0	 
BMI_bfr_127	2	64	17	0	1	3.70E+01	 236.jpg	 i	1.03E+00	0	0	 
BMI_bfr_127	2	21	18	1	1	3.91E+01	 147.jpg	 i	8.72E-01	52	0	 
BMI_bfr_127	2	38	19	0	0	4.10E+01	 210.jpg	 u	1.62E+00	0	0	 
BMI_bfr_127	2	28	20	1	1	4.36E+01	 160.jpg	 i	6.92E-01	47	0	 
BMI_bfr_127	2	73	21	0	0	4.54E+01	 245.jpg	 u	8.85E-01	0	0	 
BMI_bfr_127	2	41	22	0	0	4.73E+01	 213.jpg	 u	8.61E-01	0	0	 
BMI_bfr_127	2	79	23	0	1	4.92E+01	 251.jpg	 i	9.90E-01	0	0	 
BMI_bfr_127	2	12	24	1	1	5.13E+01	 126.jpg	 i	7.07E-01	6	0	 
BMI_bfr_127	2	82	25	0	0	5.30E+01	 254.jpg	 u	6.27E-01	0	0	 
BMI_bfr_127	2	56	26	0	0	5.47E+01	 228.jpg	 u	9.58E-01	0	0	 
BMI_bfr_127	2	18	27	1	1	5.67E+01	 141.jpg	 i	7.40E-01	45	0	 
BMI_bfr_127	2	36	28	0	1	5.85E+01	 208.jpg	 i	7.70E-01	0	0	 
BMI_bfr_127	2	54	29	0	0	6.03E+01	 226.jpg	 u	1.38E+00	0	0	 
BMI_bfr_127	2	6	30	1	1	6.27E+01	 113.jpg	 i	7.88E-01	50	0	 
BMI_bfr_127	2	65	31	0	1	6.46E+01	 237.jpg	 i	9.53E-01	0	0	 
BMI_bfr_127	2	17	32	1	1	6.66E+01	 140.jpg	 i	7.91E-01	55	0	 
BMI_bfr_127	2	31	33	0	0	6.84E+01	 203.jpg	 u	7.79E-01	0	0	 
BMI_bfr_127	2	46	34	0	1	7.02E+01	 218.jpg	 i	1.34E+00	0	0	 
BMI_bfr_127	2	11	35	1	1	7.26E+01	 125.jpg	 i	7.74E-01	53	0	 
BMI_bfr_127	2	7	36	1	1	7.44E+01	 114.jpg	 i	6.43E-01	7	0	 
BMI_bfr_127	2	33	37	0	0	7.61E+01	 205.jpg	 u	7.58E-01	0	0	 
BMI_bfr_127	2	35	38	0	0	7.79E+01	 207.jpg	 u	5.96E-01	0	0	 
BMI_bfr_127	2	61	39	0	1	7.96E+01	 233.jpg	 i	6.40E-01	0	0	 
BMI_bfr_127	2	88	40	0	1	8.13E+01	 260.jpg	 i	6.91E-01	0	0	 
BMI_bfr_127	2	58	41	0	1	8.30E+01	 230.jpg	 i	7.32E-01	0	0	 
BMI_bfr_127	2	19	42	1	1	8.48E+01	 143.jpg	 i	8.42E-01	43	1	 
BMI_bfr_127	2	13	43	1	1	8.67E+01	 129.jpg	 i	5.97E-01	49	1	 
BMI_bfr_127	2	76	44	0	0	8.83E+01	 248.jpg	 u	8.81E-01	0	0	 
BMI_bfr_127	2	37	45	0	0	9.02E+01	 209.jpg	 u	6.09E-01	0	0	 
BMI_bfr_127	2	57	46	0	0	9.19E+01	 229.jpg	 u	7.18E-01	0	0	 
BMI_bfr_127	2	42	47	0	0	9.37E+01	 214.jpg	 u	6.13E-01	0	0	 
BMI_bfr_127	2	44	48	0	0	9.53E+01	 216.jpg	 u	5.69E-01	0	0	 
BMI_bfr_127	2	9	49	1	1	9.70E+01	 122.jpg	 i	5.82E-01	11	1	 
BMI_bfr_127	2	32	50	0	0	9.86E+01	 204.jpg	 u	1.14E+00	0	0	 
BMI_bfr_127	2	39	51	0	0	1.01E+02	 211.jpg	 u	7.93E-01	0	0	 
BMI_bfr_127	2	3	52	1	1	1.03E+02	 105.jpg	 i	6.06E-01	15	0	 
BMI_bfr_127	2	43	53	0	0	1.04E+02	 215.jpg	 u	5.94E-01	0	0	 
BMI_bfr_127	2	52	54	0	0	1.06E+02	 224.jpg	 u	5.50E-01	0	0	 
BMI_bfr_127	2	5	55	1	1	1.08E+02	 110.jpg	 i	5.80E-01	12	0	 
BMI_bfr_127	2	10	56	1	1	1.09E+02	 123.jpg	 i	8.65E-01	18	0	 
BMI_bfr_127	2	63	57	0	0	1.11E+02	 235.jpg	 u	8.42E-01	0	0	 
BMI_bfr_127	2	83	58	0	0	1.13E+02	 255.jpg	 u	6.77E-01	0	0	 
BMI_bfr_127	2	26	59	1	1	1.15E+02	 158.jpg	 i	7.18E-01	44	0	 
BMI_bfr_127	2	70	60	0	1	1.16E+02	 242.jpg	 i	7.89E-01	0	0	 
BMI_bfr_127	2	49	61	0	0	1.18E+02	 221.jpg	 u	6.66E-01	0	0	 
BMI_bfr_127	2	50	62	0	0	1.20E+02	 222.jpg	 u	1.04E+00	0	0	 
BMI_bfr_127	2	40	63	0	0	1.22E+02	 212.jpg	 u	7.90E-01	0	0	 
BMI_bfr_127	2	23	64	1	1	1.24E+02	 149.jpg	 i	6.34E-01	13	0	 
BMI_bfr_127	2	78	65	0	0	1.26E+02	 250.jpg	 u	7.01E-01	0	0	 
BMI_bfr_127	2	27	66	1	1	1.27E+02	 159.jpg	 i	7.09E-01	51	1	 
BMI_bfr_127	2	48	67	0	0	1.29E+02	 220.jpg	 u	6.61E-01	0	0	 
BMI_bfr_127	2	15	68	1	1	1.31E+02	 136.jpg	 i	8.55E-01	14	1	 
BMI_bfr_127	2	84	69	0	0	1.33E+02	 256.jpg	 u	1.26E+00	0	0	 
BMI_bfr_127	2	80	70	0	0	1.35E+02	 252.jpg	 u	7.70E-01	0	0	 
BMI_bfr_127	2	62	71	0	0	1.37E+02	 234.jpg	 u	1.34E+00	0	0	 
