subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
p_154	 2	 1	 8502.jpg	 4.422860e+00	 11	 999000	 1	 7.490101e+02	 999	 5.455214e+00	 700.00	 750.00	 14.00	 58	 0.67	 
p_154	 2	 1	 1540.jpg	 5.971873e+00	 24	 999000	 240	 999000	 999	 6.988556e+00	 700.00	 750.00	 56.00	 1	 0.16	 
p_154	 2	 1	 4640.jpg	 8.421968e+00	 22	 1.093538e+03	 2200	 7.499518e+02	 98	 9.438578e+00	 700.00	 700.00	 54.00	 23	 0.24	 
p_154	 2	 1	 8420.jpg	 1.042199e+01	 24	 999000	 240	 999000	 999	 1.143861e+01	 700.00	 700.00	 57.00	 52	 0.15	 
p_154	 2	 1	 4597.jpg	 1.242199e+01	 22	 9.814482e+02	 220	 6.999653e+02	 98	 1.343862e+01	 700.00	 716.67	 51.00	 17	 0.25	 
p_154	 2	 1	 1590.jpg	 1.642209e+01	 22	 9.812682e+02	 220	 7.165831e+02	 98	 1.743879e+01	 700.00	 733.33	 46.00	 2	 0.36	 
p_154	 2	 1	 5260.jpg	 1.842206e+01	 12	 999000	 120	 999000	 999	 1.943871e+01	 700.00	 733.33	 20.00	 26	 0.61	 
p_154	 2	 1	 8461.jpg	 2.342217e+01	 11	 9.091199e+02	 110	 6.999160e+02	 98	 2.443875e+01	 716.67	 733.33	 11.00	 53	 0.70	 
p_154	 2	 1	 1660.jpg	 2.542217e+01	 24	 999000	 240	 999000	 999	 2.643879e+01	 716.67	 733.33	 58.00	 3	 0.11	 
p_154	 2	 1	 4619.jpg	 2.842222e+01	 24	 999000	 240	 999000	 999	 2.943882e+01	 716.67	 733.33	 44.00	 21	 0.37	 
p_154	 2	 1	 8170.jpg	 3.142226e+01	 24	 999000	 240	 999000	 999	 3.243886e+01	 716.67	 733.33	 47.00	 46	 0.36	 
p_154	 2	 1	 7482.jpg	 3.542231e+01	 24	 999000	 240	 999000	 999	 3.643891e+01	 716.67	 733.33	 39.00	 39	 0.43	 
p_154	 2	 1	 8540.jpg	 3.842234e+01	 24	 999000	 240	 999000	 999	 3.943895e+01	 716.67	 733.33	 45.00	 60	 0.37	 
p_154	 2	 1	 8208.jpg	 4.042235e+01	 12	 999000	 120	 999000	 999	 4.143897e+01	 716.67	 733.33	 7.00	 47	 0.79	 
p_154	 2	 1	 2030.jpg	 4.342240e+01	 24	 999000	 240	 999000	 999	 4.443901e+01	 716.67	 733.33	 50.00	 6	 0.29	 
p_154	 2	 1	 8380.jpg	 4.742246e+01	 22	 1.004432e+03	 2200	 7.332631e+02	 98	 4.843916e+01	 716.67	 683.33	 43.00	 51	 0.37	 
p_154	 2	 1	 2155.jpg	 5.042250e+01	 22	 9.643158e+02	 220	 6.832592e+02	 98	 5.143909e+01	 716.67	 700.00	 48.00	 8	 0.33	 
p_154	 2	 1	 2209.jpg	 5.242250e+01	 12	 999000	 120	 999000	 999	 5.343912e+01	 716.67	 700.00	 12.00	 9	 0.69	 
p_154	 2	 1	 8470.jpg	 5.442250e+01	 12	 999000	 120	 999000	 999	 5.543914e+01	 716.67	 700.00	 15.00	 55	 0.67	 
p_154	 2	 1	 2398.jpg	 5.942261e+01	 12	 999000	 120	 999000	 999	 6.043920e+01	 716.67	 700.00	 10.00	 14	 0.73	 
p_154	 2	 1	 2352.1.jpg	 6.342266e+01	 12	 999000	 120	 999000	 999	 6.443925e+01	 716.67	 700.00	 18.00	 12	 0.63	 
p_154	 2	 1	 2347.jpg	 6.742270e+01	 12	 999000	 120	 999000	 999	 6.843930e+01	 716.67	 700.00	 13.00	 11	 0.67	 
p_154	 2	 1	 1720.jpg	 7.342278e+01	 12	 999000	 120	 999000	 999	 7.443938e+01	 716.67	 700.00	 19.00	 4	 0.62	 
p_154	 2	 1	 2655.jpg	 7.542277e+01	 11	 9.956286e+02	 110	 7.166204e+02	 98	 7.643951e+01	 733.33	 700.00	 9.00	 16	 0.76	 
p_154	 2	 1	 4614.jpg	 7.742279e+01	 24	 999000	 240	 999000	 999	 7.843943e+01	 733.33	 700.00	 53.00	 20	 0.24	 
p_154	 2	 1	 2058.jpg	 7.942282e+01	 24	 999000	 240	 999000	 999	 8.043945e+01	 733.33	 700.00	 55.00	 7	 0.17	 
p_154	 2	 1	 7470.jpg	 8.142283e+01	 24	 999000	 240	 999000	 999	 8.243947e+01	 733.33	 700.00	 42.00	 37	 0.38	 
p_154	 2	 1	 8158.jpg	 8.542292e+01	 12	 999000	 120	 999000	 999	 8.643952e+01	 733.33	 700.00	 4.00	 45	 0.82	 
p_154	 2	 1	 5626.jpg	 8.742290e+01	 12	 999000	 120	 999000	 999	 8.843955e+01	 733.33	 700.00	 5.00	 28	 0.81	 
p_154	 2	 1	 7499.jpg	 9.142300e+01	 11	 1.163122e+03	 1100	 7.332529e+02	 98	 9.245637e+01	 683.33	 700.00	 8.00	 40	 0.77	 
p_154	 2	 1	 8090.jpg	 9.342298e+01	 24	 999000	 240	 999000	 999	 9.443972e+01	 683.33	 700.00	 40.00	 43	 0.41	 
p_154	 2	 1	 7260.jpg	 9.542301e+01	 24	 999000	 240	 999000	 999	 9.643965e+01	 683.33	 700.00	 52.00	 33	 0.24	 
p_154	 2	 1	 4628.jpg	 9.742305e+01	 24	 999000	 240	 999000	 999	 9.843967e+01	 683.33	 700.00	 41.00	 22	 0.39	 
p_154	 2	 1	 8500.jpg	 1.024231e+02	 12	 999000	 120	 999000	 999	 1.034397e+02	 683.33	 700.00	 22.00	 57	 0.57	 
p_154	 2	 1	 1721.jpg	 1.044231e+02	 11	 9.627838e+02	 110	 6.832993e+02	 98	 1.054397e+02	 700.00	 700.00	 17.00	 5	 0.64	 
p_154	 2	 1	 2345.jpg	 1.064232e+02	 12	 999000	 120	 999000	 999	 1.074398e+02	 700.00	 700.00	 21.00	 10	 0.58	 
p_154	 2	 1	 4641.jpg	 1.094232e+02	 22	 9.386144e+02	 220	 6.999314e+02	 98	 1.104398e+02	 700.00	 716.67	 49.00	 24	 0.32	 
p_154	 2	 1	 7200.jpg	 1.164233e+02	 12	 999000	 120	 999000	 999	 1.174399e+02	 700.00	 716.67	 6.00	 32	 0.79	 
p_154	 2	 1	 5829.jpg	 1.204234e+02	 12	 999000	 120	 999000	 999	 1.214400e+02	 700.00	 716.67	 3.00	 30	 0.85	 
p_154	 2	 1	 4612.jpg	 1.274235e+02	 11	 9.380714e+02	 110	 6.999034e+02	 98	 1.284400e+02	 716.67	 716.67	 16.00	 19	 0.65	 
