subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks2_119	 1	 8	 SkittlesFruits2.bmp	 9.021647e+02	 22	 9.290355e+02	 220	 7.167643e+02	 98	 9.032007e+02	 716.67	 733.33	 45.00	 46	 4.11	 
bmem_snacks2_119	 1	 8	 ChocolateParaCookies5.bmp	 9.041501e+02	 12	 999000	 120	 999000	 999	 9.051717e+02	 716.67	 733.33	 17.00	 13	 5.71	 
bmem_snacks2_119	 1	 8	 ClickXLbrown4.bmp	 9.081546e+02	 11	 9.790816e+02	 110	 7.167668e+02	 98	 9.091892e+02	 733.33	 733.33	 12.00	 52	 6.11	 
bmem_snacks2_119	 1	 8	 Halva2.bmp	 9.111580e+02	 12	 999000	 120	 999000	 999	 9.121775e+02	 733.33	 733.33	 9.00	 21	 6.42	 
bmem_snacks2_119	 1	 8	 SkittlesSour4.bmp	 9.131602e+02	 22	 1.005502e+03	 2200	 7.333800e+02	 98	 9.141970e+02	 733.33	 683.33	 53.00	 32	 3.82	 
bmem_snacks2_119	 1	 8	 KifkefMaklot2.bmp	 9.161636e+02	 24	 999000	 240	 999000	 999	 9.171816e+02	 733.33	 683.33	 55.00	 15	 3.76	 
bmem_snacks2_119	 1	 8	 ClickBisquit2.bmp	 9.201515e+02	 22	 9.102294e+02	 220	 6.833835e+02	 98	 9.211874e+02	 733.33	 700.00	 50.00	 18	 3.89	 
bmem_snacks2_119	 1	 8	 DoritosSourSpicy.bmp	 9.241559e+02	 11	 2.898123e+02	 11	 7.334382e+02	 98	 9.251905e+02	 750.00	 700.00	 7.00	 54	 7.02	 
bmem_snacks2_119	 1	 8	 Keifli.bmp	 9.261582e+02	 24	 999000	 240	 999000	 999	 9.271770e+02	 750.00	 700.00	 57.00	 50	 3.76	 
bmem_snacks2_119	 1	 8	 Egozi.bmp	 9.311637e+02	 24	 999000	 240	 999000	 999	 9.321820e+02	 750.00	 700.00	 40.00	 47	 4.51	 
bmem_snacks2_119	 1	 8	 GumiWine2.bmp	 9.331490e+02	 24	 999000	 240	 999000	 999	 9.341684e+02	 750.00	 700.00	 56.00	 28	 3.76	 
bmem_snacks2_119	 1	 8	 GumiSnakes3.bmp	 9.351516e+02	 24	 999000	 240	 999000	 999	 9.361730e+02	 750.00	 700.00	 46.00	 12	 4.04	 
bmem_snacks2_119	 1	 8	 Bounty.bmp	 9.411583e+02	 24	 3.513857e+02	 24	 999000	 98	 9.421776e+02	 750.00	 700.00	 43.00	 49	 4.33	 
bmem_snacks2_119	 1	 8	 KinderBuenoBrown3.bmp	 9.431606e+02	 12	 999000	 120	 999000	 999	 9.441794e+02	 750.00	 700.00	 6.00	 44	 7.33	 
bmem_snacks2_119	 1	 8	 BisliOnion.bmp	 9.451628e+02	 24	 999000	 240	 999000	 999	 9.461842e+02	 750.00	 700.00	 49.00	 17	 3.89	 
bmem_snacks2_119	 1	 8	 Mentos.bmp	 9.471651e+02	 24	 999000	 240	 999000	 999	 9.481845e+02	 750.00	 700.00	 48.00	 5	 3.89	 
bmem_snacks2_119	 1	 8	 KinderBuenoWhite2.bmp	 9.511529e+02	 12	 999000	 120	 999000	 999	 9.521721e+02	 750.00	 700.00	 5.00	 24	 7.33	 
bmem_snacks2_119	 1	 8	 ChocolateParaMilk3.bmp	 9.551574e+02	 12	 999000	 120	 999000	 999	 9.561766e+02	 750.00	 700.00	 3.00	 25	 9.22	 
bmem_snacks2_119	 1	 8	 BambaNugat.bmp	 9.581608e+02	 12	 999000	 120	 999000	 999	 9.591802e+02	 750.00	 700.00	 19.00	 56	 5.56	 
bmem_snacks2_119	 1	 8	 KashitSour.bmp	 9.621484e+02	 22	 9.452579e+02	 220	 7.000677e+02	 98	 9.631847e+02	 750.00	 716.67	 47.00	 14	 4.02	 
bmem_snacks2_119	 1	 8	 Bamba.bmp	 9.651519e+02	 24	 999000	 240	 999000	 999	 9.661709e+02	 750.00	 716.67	 51.00	 6	 3.87	 
bmem_snacks2_119	 1	 8	 Smarties.bmp	 9.671542e+02	 22	 9.795085e+02	 220	 7.167270e+02	 98	 9.681895e+02	 750.00	 733.33	 44.00	 55	 4.31	 
bmem_snacks2_119	 1	 8	 Tapuchips.bmp	 9.711587e+02	 11	 1.030971e+03	 1100	 7.500720e+02	 98	 9.721951e+02	 700.00	 733.33	 13.00	 22	 6.07	 
bmem_snacks2_119	 1	 8	 Tortit.bmp	 9.731609e+02	 12	 999000	 120	 999000	 999	 9.741799e+02	 700.00	 733.33	 14.00	 51	 6.04	 
bmem_snacks2_119	 1	 8	 Cheetos.bmp	 9.751632e+02	 12	 999000	 120	 999000	 999	 9.761847e+02	 700.00	 733.33	 11.00	 57	 6.24	 
bmem_snacks2_119	 1	 8	 DoritosNatural.bmp	 9.791509e+02	 12	 999000	 120	 999000	 999	 9.801702e+02	 700.00	 733.33	 8.00	 53	 6.47	 
bmem_snacks2_119	 1	 8	 KinderJoy.bmp	 9.811533e+02	 12	 999000	 120	 999000	 999	 9.821728e+02	 700.00	 733.33	 4.00	 42	 8.18	 
bmem_snacks2_119	 1	 8	 HappyHippo.bmp	 9.851577e+02	 24	 999000	 240	 999000	 999	 9.861764e+02	 700.00	 733.33	 41.00	 59	 4.42	 
bmem_snacks2_119	 1	 8	 Tictac.bmp	 9.891623e+02	 22	 1.051427e+03	 2200	 7.334148e+02	 98	 9.901987e+02	 700.00	 683.33	 52.00	 2	 3.84	 
bmem_snacks2_119	 1	 8	 Loacker.bmp	 9.921487e+02	 12	 999000	 120	 999000	 999	 9.931673e+02	 700.00	 683.33	 16.00	 16	 5.91	 
bmem_snacks2_119	 1	 8	 Hit.bmp	 9.981557e+02	 12	 999000	 120	 999000	 999	 9.991745e+02	 700.00	 683.33	 20.00	 10	 5.53	 
bmem_snacks2_119	 1	 8	 Snickers.bmp	 1.000158e+03	 11	 1.007805e+03	 1100	 7.000535e+02	 98	 1.001194e+03	 650.00	 683.33	 18.00	 45	 5.60	 
bmem_snacks2_119	 1	 8	 BabyDoll.bmp	 1.004162e+03	 24	 999000	 240	 999000	 999	 1.005182e+03	 650.00	 683.33	 58.00	 41	 3.58	 
bmem_snacks2_119	 1	 8	 Twix.bmp	 1.006165e+03	 12	 999000	 120	 999000	 999	 1.007183e+03	 650.00	 683.33	 21.00	 43	 5.49	 
bmem_snacks2_119	 1	 8	 ClickBlackWhite3.bmp	 1.008150e+03	 24	 999000	 240	 999000	 999	 1.009169e+03	 650.00	 683.33	 54.00	 20	 3.78	 
