subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks2_113	 1	 14	 Mars.bmp	 6.129607e+02	 24	 999000	 240	 999000	 999	 6.139790e+02	 716.67	 583.33	 40.00	 47	 1.18	 
bmem_snacks2_113	 1	 14	 WerthersOriginal.bmp	 6.179666e+02	 24	 999000	 240	 999000	 999	 6.189855e+02	 716.67	 583.33	 51.00	 19	 0.76	 
bmem_snacks2_113	 1	 14	 Popco.bmp	 6.199522e+02	 22	 7.168821e+02	 220	 5.833837e+02	 98	 6.209881e+02	 716.67	 600.00	 44.00	 55	 1.00	 
bmem_snacks2_113	 1	 14	 Shugi.bmp	 6.219545e+02	 12	 999000	 120	 999000	 999	 6.229743e+02	 716.67	 600.00	 16.00	 2	 2.38	 
bmem_snacks2_113	 1	 14	 ClickXLwhite4.bmp	 6.279612e+02	 12	 999000	 120	 999000	 999	 6.289809e+02	 716.67	 600.00	 5.00	 7	 5.22	 
bmem_snacks2_113	 1	 14	 Loacker.bmp	 6.299634e+02	 12	 999000	 120	 999000	 999	 6.309830e+02	 716.67	 600.00	 19.00	 32	 2.29	 
bmem_snacks2_113	 1	 14	 Smarties.bmp	 6.329669e+02	 24	 999000	 240	 999000	 999	 6.339865e+02	 716.67	 600.00	 55.00	 12	 0.67	 
bmem_snacks2_113	 1	 14	 Tortit.bmp	 6.349523e+02	 22	 8.207395e+02	 220	 6.000737e+02	 98	 6.359884e+02	 716.67	 616.67	 52.00	 9	 0.71	 
bmem_snacks2_113	 1	 14	 PesekZman.bmp	 6.389569e+02	 12	 999000	 120	 999000	 999	 6.399764e+02	 716.67	 616.67	 6.00	 15	 4.87	 
bmem_snacks2_113	 1	 14	 BambaNugat.bmp	 6.409591e+02	 22	 1.085955e+03	 2200	 6.167240e+02	 98	 6.419951e+02	 716.67	 566.67	 50.00	 51	 0.78	 
bmem_snacks2_113	 1	 14	 GumiWine2.bmp	 6.459648e+02	 24	 999000	 240	 999000	 999	 6.469846e+02	 716.67	 566.67	 49.00	 10	 0.78	 
bmem_snacks2_113	 1	 14	 Snickers.bmp	 6.529560e+02	 12	 999000	 120	 999000	 999	 6.539757e+02	 716.67	 566.67	 17.00	 22	 2.33	 
bmem_snacks2_113	 1	 14	 SkittlesSour4.bmp	 6.549583e+02	 11	 1.038783e+03	 1100	 7.167710e+02	 98	 6.559946e+02	 666.67	 566.67	 7.00	 6	 4.64	 
bmem_snacks2_113	 1	 14	 ChocolateParaCookies5.bmp	 6.579616e+02	 22	 9.314878e+02	 220	 5.667257e+02	 98	 6.589980e+02	 666.67	 583.33	 47.00	 4	 0.87	 
bmem_snacks2_113	 1	 14	 ClickBalls5.bmp	 6.609649e+02	 11	 9.602033e+02	 110	 6.667060e+02	 98	 6.620000e+02	 683.33	 583.33	 15.00	 28	 2.51	 
bmem_snacks2_113	 1	 14	 Bounty.bmp	 6.649527e+02	 24	 999000	 240	 999000	 999	 6.659723e+02	 683.33	 583.33	 42.00	 3	 1.00	 
bmem_snacks2_113	 1	 14	 SkittlesFruits2.bmp	 6.689573e+02	 12	 999000	 120	 999000	 999	 6.699788e+02	 683.33	 583.33	 3.00	 18	 5.36	 
bmem_snacks2_113	 1	 14	 KinderJoy.bmp	 6.729619e+02	 24	 999000	 240	 999000	 999	 6.739815e+02	 683.33	 583.33	 46.00	 35	 0.93	 
bmem_snacks2_113	 1	 14	 ChocolateParaMilk3.bmp	 6.759651e+02	 12	 999000	 120	 999000	 999	 6.769846e+02	 683.33	 583.33	 21.00	 25	 2.16	 
bmem_snacks2_113	 1	 14	 GumiSnakes3.bmp	 6.819551e+02	 24	 999000	 240	 999000	 999	 6.829737e+02	 683.33	 583.33	 56.00	 50	 0.67	 
bmem_snacks2_113	 1	 14	 Mentos.bmp	 6.839575e+02	 11	 5.276223e+02	 11	 6.833906e+02	 98	 6.849938e+02	 700.00	 583.33	 12.00	 31	 2.87	 
bmem_snacks2_113	 1	 14	 Twix.bmp	 6.869607e+02	 22	 8.523431e+02	 220	 5.834084e+02	 98	 6.879961e+02	 700.00	 600.00	 53.00	 24	 0.69	 
bmem_snacks2_113	 1	 14	 BisliOnion.bmp	 6.889630e+02	 24	 999000	 240	 999000	 999	 6.899817e+02	 700.00	 600.00	 57.00	 53	 0.67	 
bmem_snacks2_113	 1	 14	 BisliPizza3.bmp	 6.909652e+02	 24	 999000	 240	 999000	 999	 6.919838e+02	 700.00	 600.00	 43.00	 16	 1.00	 
bmem_snacks2_113	 1	 14	 CrunchShokoVanil.bmp	 6.929506e+02	 24	 999000	 240	 999000	 999	 6.939689e+02	 700.00	 600.00	 41.00	 11	 1.16	 
bmem_snacks2_113	 1	 14	 BambaSweet.bmp	 6.959543e+02	 12	 999000	 120	 999000	 999	 6.969734e+02	 700.00	 600.00	 9.00	 39	 3.42	 
bmem_snacks2_113	 1	 14	 KinderBuenoBrown3.bmp	 6.999587e+02	 24	 999000	 240	 999000	 999	 7.009782e+02	 700.00	 600.00	 58.00	 17	 0.64	 
bmem_snacks2_113	 1	 14	 Cheetos.bmp	 7.019610e+02	 12	 999000	 120	 999000	 999	 7.029806e+02	 700.00	 600.00	 4.00	 30	 5.24	 
bmem_snacks2_113	 1	 14	 KifkefMaklot2.bmp	 7.039632e+02	 12	 999000	 120	 999000	 999	 7.049828e+02	 700.00	 600.00	 8.00	 8	 3.56	 
bmem_snacks2_113	 1	 14	 Dubonim.bmp	 7.059655e+02	 12	 999000	 120	 999000	 999	 7.069847e+02	 700.00	 600.00	 22.00	 26	 2.11	 
bmem_snacks2_113	 1	 14	 BisliGrill.bmp	 7.079508e+02	 24	 999000	 240	 999000	 999	 7.089700e+02	 700.00	 600.00	 48.00	 56	 0.80	 
bmem_snacks2_113	 1	 14	 ClickBlackWhite3.bmp	 7.099532e+02	 11	 1.091877e+03	 1100	 7.000491e+02	 98	 7.109884e+02	 650.00	 600.00	 10.00	 13	 3.18	 
bmem_snacks2_113	 1	 14	 Egozi.bmp	 7.139577e+02	 12	 999000	 120	 999000	 999	 7.149769e+02	 650.00	 600.00	 20.00	 20	 2.20	 
bmem_snacks2_113	 1	 14	 DoritosGrill.bmp	 7.179622e+02	 24	 999000	 240	 999000	 999	 7.189817e+02	 650.00	 600.00	 39.00	 60	 1.20	 
bmem_snacks2_113	 1	 14	 Keifli.bmp	 7.199645e+02	 12	 999000	 120	 999000	 999	 7.209839e+02	 650.00	 600.00	 14.00	 34	 2.64	 
bmem_snacks2_113	 1	 14	 TapuchipsCrunch.bmp	 7.219668e+02	 24	 999000	 240	 999000	 999	 7.229861e+02	 650.00	 600.00	 54.00	 5	 0.67	 
bmem_snacks2_113	 1	 14	 BagaleShtuhim.bmp	 7.239523e+02	 22	 9.807423e+02	 220	 6.000463e+02	 98	 7.249892e+02	 650.00	 616.67	 45.00	 54	 0.96	 
bmem_snacks2_113	 1	 14	 KashitSour.bmp	 7.259545e+02	 11	 8.906010e+02	 110	 6.500573e+02	 98	 7.269900e+02	 666.67	 616.67	 18.00	 23	 2.33	 
bmem_snacks2_113	 1	 14	 Mekupelet.bmp	 7.319613e+02	 11	 1.475765e+03	 1100	 6.667556e+02	 98	 7.329970e+02	 616.67	 616.67	 13.00	 49	 2.69	 
bmem_snacks2_113	 1	 14	 Apropo.bmp	 7.339636e+02	 12	 999000	 120	 999000	 999	 7.349830e+02	 616.67	 616.67	 11.00	 14	 3.13	 
