subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks_108	 2	 4	 SkittlesFruits2.bmp	 3.824043e+02	 24	 999000	 240	 999000	 999	 3.834220e+02	 716.67	 783.33	 53.00	 45	 4.82	 
bmem_snacks_108	 2	 4	 Popco.bmp	 3.873931e+02	 11	 9.759814e+02	 110	 7.167194e+02	 98	 3.884276e+02	 733.33	 783.33	 11.00	 3	 8.09	 
bmem_snacks_108	 2	 4	 ClickBalls5.bmp	 3.893954e+02	 12	 999000	 120	 999000	 999	 3.904131e+02	 733.33	 783.33	 12.00	 11	 8.09	 
bmem_snacks_108	 2	 4	 CrunchShokoVanil.bmp	 3.913976e+02	 24	 999000	 240	 999000	 999	 3.924154e+02	 733.33	 783.33	 41.00	 10	 5.40	 
bmem_snacks_108	 2	 4	 DoritosSourSpicy.bmp	 3.974043e+02	 11	 9.647298e+02	 110	 7.333732e+02	 98	 3.984388e+02	 750.00	 783.33	 14.00	 9	 8.07	 
bmem_snacks_108	 2	 4	 Tortit.bmp	 3.993896e+02	 24	 999000	 240	 999000	 999	 4.004077e+02	 750.00	 783.33	 56.00	 41	 4.31	 
bmem_snacks_108	 2	 4	 Twist.bmp	 4.023933e+02	 24	 999000	 240	 999000	 999	 4.034110e+02	 750.00	 783.33	 52.00	 4	 4.82	 
bmem_snacks_108	 2	 4	 HappyHippo.bmp	 4.043955e+02	 24	 999000	 240	 999000	 999	 4.054132e+02	 750.00	 783.33	 47.00	 57	 4.91	 
bmem_snacks_108	 2	 4	 ClickXLbrown4.bmp	 4.084000e+02	 12	 999000	 120	 999000	 999	 4.094177e+02	 750.00	 783.33	 7.00	 55	 8.60	 
bmem_snacks_108	 2	 4	 Mekupelet.bmp	 4.104022e+02	 24	 999000	 240	 999000	 999	 4.114200e+02	 750.00	 783.33	 50.00	 59	 4.87	 
bmem_snacks_108	 2	 4	 ChocolateParaSucariotKoftzot2.bmp	 4.153912e+02	 12	 999000	 120	 999000	 999	 4.164089e+02	 750.00	 783.33	 4.00	 17	 8.62	 
bmem_snacks_108	 2	 4	 SkittlesSour4.bmp	 4.223990e+02	 24	 999000	 240	 999000	 999	 4.234168e+02	 750.00	 783.33	 44.00	 42	 5.33	 
bmem_snacks_108	 2	 4	 BisliOnion.bmp	 4.244014e+02	 11	 9.756877e+02	 110	 7.500691e+02	 98	 4.254357e+02	 766.67	 783.33	 17.00	 8	 8.04	 
bmem_snacks_108	 2	 4	 Halva2.bmp	 4.274046e+02	 22	 1.060488e+03	 2200	 7.834009e+02	 98	 4.284391e+02	 766.67	 733.33	 49.00	 33	 4.87	 
bmem_snacks_108	 2	 4	 Bamba.bmp	 4.303914e+02	 22	 9.456590e+02	 220	 7.333727e+02	 98	 4.314258e+02	 766.67	 750.00	 54.00	 49	 4.38	 
bmem_snacks_108	 2	 4	 Smarties.bmp	 4.343958e+02	 24	 4.292197e+02	 24	 999000	 98	 4.354135e+02	 766.67	 750.00	 57.00	 58	 3.93	 
bmem_snacks_108	 2	 4	 ClickBisquit2.bmp	 4.384002e+02	 12	 999000	 120	 999000	 999	 4.394180e+02	 766.67	 750.00	 10.00	 36	 8.11	 
bmem_snacks_108	 2	 4	 Cheetos.bmp	 4.424048e+02	 12	 999000	 120	 999000	 999	 4.434225e+02	 766.67	 750.00	 3.00	 38	 9.07	 
bmem_snacks_108	 2	 4	 KifkefMaklot2.bmp	 4.453914e+02	 24	 999000	 240	 999000	 999	 4.464093e+02	 766.67	 750.00	 55.00	 34	 4.31	 
bmem_snacks_108	 2	 4	 BagaleShtuhim.bmp	 4.513981e+02	 22	 9.949243e+02	 220	 7.500495e+02	 98	 4.524326e+02	 766.67	 766.67	 48.00	 39	 4.89	 
bmem_snacks_108	 2	 4	 HispusimShatiah.bmp	 4.534004e+02	 24	 999000	 240	 999000	 999	 4.544182e+02	 766.67	 766.67	 42.00	 44	 5.40	 
bmem_snacks_108	 2	 4	 Hit.bmp	 4.564038e+02	 11	 1.021376e+03	 1100	 7.667150e+02	 98	 4.574382e+02	 716.67	 766.67	 8.00	 52	 8.53	 
bmem_snacks_108	 2	 4	 Tictac.bmp	 4.583890e+02	 22	 9.960643e+02	 220	 7.667105e+02	 98	 4.594238e+02	 716.67	 783.33	 43.00	 56	 5.40	 
bmem_snacks_108	 2	 4	 BisliPizza3.bmp	 4.603916e+02	 12	 999000	 120	 999000	 999	 4.614093e+02	 716.67	 783.33	 21.00	 54	 8.02	 
