subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_061 arizona 2 1 ChipsAhoy_small.bmp 4.816800e+00 12 999 120 999 999 6.03 8.833333e+02 9.500000e+02 23 10 1.620000
BMS_061 arizona 2 2 Milkduds.bmp 9.616932e+00 12 999 120 999 999 10.83 8.833333e+02 9.500000e+02 21 34 1.786667
BMS_061 arizona 2 3 Cheezits.bmp 1.441709e+01 21 1.173814e+00 210 9.513238e-01 98 15.63 8.833333e+02 9.666667e+02 45 9 0.813333
BMS_061 arizona 2 4 Skittles.bmp 1.921720e+01 12 999 120 999 999 20.43 8.833333e+02 9.666667e+02 15 48 2.006667
BMS_061 arizona 2 5 Redvines_small.bmp 2.401733e+01 21 1.234563e+00 2100 9.667773e-01 98 25.23 8.833333e+02 9.166667e+02 49 44 0.553333
BMS_061 arizona 2 6 Butterfinger.bmp 2.881746e+01 11 1.122452e+00 110 8.869577e-01 98 30.03 9.000000e+02 9.166667e+02 18 6 1.986667
BMS_061 arizona 2 7 Twix.bmp 3.361760e+01 11 1.154310e+00 110 9.001327e-01 98 34.83 9.166667e+02 9.166667e+02 12 55 2.033333
BMS_061 arizona 2 8 Chocolate_mm.bmp 3.841774e+01 22 999 220 999 999 39.63 9.166667e+02 9.166667e+02 37 11 1.020000
BMS_061 arizona 2 9 Sourpatch.bmp 4.321787e+01 12 999 120 999 999 44.43 9.166667e+02 9.166667e+02 6 52 2.453333
BMS_061 arizona 2 10 Nutterbutter.bmp 4.801799e+01 22 999 220 999 999 49.23 9.166667e+02 9.166667e+02 34 37 1.066667
BMS_061 arizona 2 11 Cheetos.bmp 5.281816e+01 12 999 120 999 999 54.03 9.166667e+02 9.166667e+02 9 8 2.066667
BMS_061 arizona 2 12 PopTartsCinnamon.bmp 5.761826e+01 22 999 220 999 999 58.83 9.166667e+02 9.166667e+02 36 41 1.046667
BMS_061 arizona 2 13 Oreos.bmp 6.241840e+01 22 999 220 999 999 63.64 9.166667e+02 9.166667e+02 52 38 0.360000
BMS_061 arizona 2 14 SourSkittles.bmp 6.721854e+01 11 1.214214e+00 1100 9.168043e-01 98 68.44 8.666667e+02 9.166667e+02 8 51 2.200000
BMS_061 arizona 2 15 TeddyGrahamschocolate.bmp 7.201869e+01 22 999 220 999 999 73.24 8.666667e+02 9.166667e+02 48 53 0.613333
BMS_061 arizona 2 16 MrGoodbar.bmp 7.681882e+01 22 999 220 999 999 78.04 8.666667e+02 9.166667e+02 42 36 0.960000
BMS_061 arizona 2 17 FrootLoops.bmp 8.161895e+01 22 999 220 999 999 82.84 8.666667e+02 9.166667e+02 51 19 0.466667
BMS_061 arizona 2 18 100grand_small.bmp 8.641907e+01 11 1.092830e+00 110 8.667952e-01 98 87.64 8.833333e+02 9.166667e+02 14 1 2.020000
BMS_061 arizona 2 19 Toberlorone.bmp 9.120255e+01 12 999 120 999 999 92.42 8.833333e+02 9.166667e+02 3 54 2.940000
BMS_061 arizona 2 20 Whatchamacallit.bmp 9.600269e+01 22 999 220 999 999 97.22 8.833333e+02 9.166667e+02 54 56 0.300000
BMS_061 arizona 2 21 FigNewton_small.bmp 1.008028e+02 22 999 220 999 999 102.02 8.833333e+02 9.166667e+02 33 16 1.086667
BMS_061 arizona 2 22 Keeblerfudgestripes.bmp 1.056029e+02 12 999 120 999 999 106.82 8.833333e+02 9.166667e+02 20 28 1.933333
BMS_061 arizona 2 23 Hersheymilk_several.bmp 1.104031e+02 12 999 120 999 999 111.62 8.833333e+02 9.166667e+02 5 26 2.540000
BMS_061 arizona 2 24 KitKat_small.bmp 1.152032e+02 12 999 120 999 999 116.42 8.833333e+02 9.166667e+02 11 29 2.040000
BMS_061 arizona 2 25 Ghiradelli_milk.bmp 1.200033e+02 12 999 120 999 999 121.22 8.833333e+02 9.166667e+02 2 21 2.960000
BMS_061 arizona 2 26 3Musketeers.bmp 1.248035e+02 21 1.183450e+00 210 9.167644e-01 98 126.02 8.833333e+02 9.333333e+02 39 2 1.013333
BMS_061 arizona 2 27 MilkyWay.bmp 1.296036e+02 12 999 120 999 999 130.82 8.833333e+02 9.333333e+02 24 35 1.586667
