subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_061 arizona 3 1 Keeblerfudgestripes.bmp 4.816791e+00 12 999 120 999 999 6.03 9.500000e+02 9.500000e+02 20 28 1.933333
BMS_061 arizona 3 2 Skittles.bmp 9.616925e+00 12 999 120 999 999 10.83 9.500000e+02 9.500000e+02 15 48 2.006667
BMS_061 arizona 3 3 Toberlorone.bmp 1.441706e+01 12 999 120 999 999 15.63 9.500000e+02 9.500000e+02 3 54 2.940000
BMS_061 arizona 3 4 Cheetos.bmp 1.921719e+01 12 999 120 999 999 20.43 9.500000e+02 9.500000e+02 9 8 2.066667
BMS_061 arizona 3 5 Snickers.bmp 2.401733e+01 12 999 120 999 999 25.23 9.500000e+02 9.500000e+02 17 50 2.000000
BMS_061 arizona 3 6 Reeses.bmp 2.881746e+01 21 1.169890e+00 210 9.516330e-01 98 30.03 9.500000e+02 9.666667e+02 43 45 0.886667
BMS_061 arizona 3 7 MrGoodbar.bmp 3.361738e+01 22 999 220 999 999 34.83 9.500000e+02 9.666667e+02 42 36 0.960000
BMS_061 arizona 3 8 FigNewton_small.bmp 3.841773e+01 22 999 220 999 999 39.63 9.500000e+02 9.666667e+02 33 16 1.086667
BMS_061 arizona 3 9 Butterfinger.bmp 4.321786e+01 11 1.153388e+00 110 9.539527e-01 98 44.43 9.666667e+02 9.666667e+02 18 6 1.986667
BMS_061 arizona 3 10 PopTartsCinnamon.bmp 4.800133e+01 22 999 220 999 999 49.22 9.666667e+02 9.666667e+02 36 41 1.046667
BMS_061 arizona 3 11 Twix.bmp 5.280146e+01 11 1.146899e+00 110 9.667696e-01 98 54.02 9.833333e+02 9.666667e+02 12 55 2.033333
BMS_061 arizona 3 12 KitKat_small.bmp 5.760159e+01 12 999 120 999 999 58.82 9.833333e+02 9.666667e+02 11 29 2.040000
BMS_061 arizona 3 13 Milkduds.bmp 6.240173e+01 12 999 120 999 999 63.62 9.833333e+02 9.666667e+02 21 34 1.786667
BMS_061 arizona 3 14 Redvines_small.bmp 6.720186e+01 21 1.193445e+00 210 9.667550e-01 98 68.42 9.833333e+02 9.833333e+02 49 44 0.553333
BMS_061 arizona 3 15 TeddyGrahamschocolate.bmp 7.200199e+01 22 999 220 999 999 73.22 9.833333e+02 9.833333e+02 48 53 0.613333
BMS_061 arizona 3 16 Goldfish.bmp 7.680213e+01 22 999 220 999 999 78.02 9.833333e+02 9.833333e+02 40 23 1.006667
BMS_061 arizona 3 17 AnimalCrackers.bmp 8.160226e+01 22 999 220 999 999 82.82 9.833333e+02 9.833333e+02 55 4 0.293333
BMS_061 arizona 3 18 Nutterbutter.bmp 8.640239e+01 22 999 220 999 999 87.62 9.833333e+02 9.833333e+02 34 37 1.066667
BMS_061 arizona 3 19 100grand_small.bmp 9.120253e+01 11 1.213678e+00 1100 9.834640e-01 98 92.42 9.333333e+02 9.833333e+02 14 1 2.020000
BMS_061 arizona 3 20 ChipsAhoy_small.bmp 9.600266e+01 12 999 120 999 999 97.22 9.333333e+02 9.833333e+02 23 10 1.620000
BMS_061 arizona 3 21 3Musketeers.bmp 1.008028e+02 21 1.242467e+00 2100 9.834354e-01 98 102.02 9.333333e+02 9.333333e+02 39 2 1.013333
BMS_061 arizona 3 22 Hersheymilk_several.bmp 1.056029e+02 12 999 120 999 999 106.82 9.333333e+02 9.333333e+02 5 26 2.540000
BMS_061 arizona 3 23 Whatchamacallit.bmp 1.104031e+02 22 999 220 999 999 111.62 9.333333e+02 9.333333e+02 54 56 0.300000
BMS_061 arizona 3 24 Ghiradelli_milk.bmp 1.152032e+02 12 999 120 999 999 116.42 9.333333e+02 9.333333e+02 2 21 2.960000
BMS_061 arizona 3 25 Chocolate_mm.bmp 1.200033e+02 22 999 220 999 999 121.22 9.333333e+02 9.333333e+02 37 11 1.020000
BMS_061 arizona 3 26 Oreos.bmp 1.248035e+02 22 999 220 999 999 126.02 9.333333e+02 9.333333e+02 52 38 0.360000
BMS_061 arizona 3 27 FamousAmos_small.bmp 1.296036e+02 22 999 220 999 999 130.82 9.333333e+02 9.333333e+02 46 15 0.760000
BMS_061 arizona 3 28 Cheezits.bmp 1.344037e+02 21 1.158558e+00 210 9.334197e-01 98 135.62 9.333333e+02 9.500000e+02 45 9 0.813333
BMS_061 arizona 3 29 FrootLoops.bmp 1.392039e+02 22 999 220 999 999 140.42 9.333333e+02 9.500000e+02 51 19 0.466667
BMS_061 arizona 3 30 MilkyWay.bmp 1.440040e+02 12 999 120 999 999 145.22 9.333333e+02 9.500000e+02 24 35 1.586667
BMS_061 arizona 3 31 Sourpatch.bmp 1.488041e+02 12 999 120 999 999 150.02 9.333333e+02 9.500000e+02 6 52 2.453333
BMS_061 arizona 3 32 SourSkittles.bmp 1.536043e+02 11 1.161077e+00 110 9.334335e-01 98 154.82 9.500000e+02 9.500000e+02 8 51 2.200000
BMS_061 arizona 3 33 FigNewton_small.bmp 1.584044e+02 22 999 220 999 999 159.62 9.500000e+02 9.500000e+02 33 16 1.086667
BMS_061 arizona 3 34 FrootLoops.bmp 1.632045e+02 22 999 220 999 999 164.42 9.500000e+02 9.500000e+02 51 19 0.466667
BMS_061 arizona 3 35 Ghiradelli_milk.bmp 1.680047e+02 12 999 120 999 999 169.22 9.500000e+02 9.500000e+02 2 21 2.960000
BMS_061 arizona 3 36 Milkduds.bmp 1.728048e+02 12 999 120 999 999 174.02 9.500000e+02 9.500000e+02 21 34 1.786667
BMS_061 arizona 3 37 Snickers.bmp 1.776049e+02 12 999 120 999 999 178.82 9.500000e+02 9.500000e+02 17 50 2.000000
BMS_061 arizona 3 38 Oreos.bmp 1.824051e+02 22 999 220 999 999 183.62 9.500000e+02 9.500000e+02 52 38 0.360000
BMS_061 arizona 3 39 Chocolate_mm.bmp 1.872052e+02 22 999 220 999 999 188.42 9.500000e+02 9.500000e+02 37 11 1.020000
BMS_061 arizona 3 40 Nutterbutter.bmp 1.920053e+02 22 999 220 999 999 193.22 9.500000e+02 9.500000e+02 34 37 1.066667
BMS_061 arizona 3 41 ChipsAhoy_small.bmp 1.968055e+02 12 999 120 999 999 198.02 9.500000e+02 9.500000e+02 23 10 1.620000
BMS_061 arizona 3 42 MrGoodbar.bmp 2.016056e+02 22 999 220 999 999 202.82 9.500000e+02 9.500000e+02 42 36 0.960000
BMS_061 arizona 3 43 SourSkittles.bmp 2.064057e+02 11 1.138646e+00 110 9.501015e-01 98 207.62 9.666667e+02 9.500000e+02 8 51 2.200000
BMS_061 arizona 3 44 Skittles.bmp 2.112059e+02 12 999 120 999 999 212.42 9.666667e+02 9.500000e+02 15 48 2.006667
BMS_061 arizona 3 45 Hersheymilk_several.bmp 2.160060e+02 12 999 120 999 999 217.22 9.666667e+02 9.500000e+02 5 26 2.540000
BMS_061 arizona 3 46 Reeses.bmp 2.208061e+02 21 1.146085e+00 210 9.500966e-01 98 222.02 9.666667e+02 9.666667e+02 43 45 0.886667
BMS_061 arizona 3 47 Redvines_small.bmp 2.256063e+02 21 1.171108e+00 210 9.667657e-01 98 226.82 9.666667e+02 9.833333e+02 49 44 0.553333
BMS_061 arizona 3 48 Cheezits.bmp 2.304064e+02 21 1.276874e+00 2100 9.834696e-01 98 231.62 9.666667e+02 9.333333e+02 45 9 0.813333
BMS_061 arizona 3 49 Butterfinger.bmp 2.352065e+02 11 1.275841e+00 1100 9.667796e-01 98 236.42 9.166667e+02 9.333333e+02 18 6 1.986667
BMS_061 arizona 3 50 Toberlorone.bmp 2.400067e+02 12 999 120 999 999 241.22 9.166667e+02 9.333333e+02 3 54 2.940000
BMS_061 arizona 3 51 AnimalCrackers.bmp 2.448068e+02 22 999 220 999 999 246.02 9.166667e+02 9.333333e+02 55 4 0.293333
BMS_061 arizona 3 52 KitKat_small.bmp 2.496069e+02 12 999 120 999 999 250.82 9.166667e+02 9.333333e+02 11 29 2.040000
BMS_061 arizona 3 53 Twix.bmp 2.544071e+02 11 1.168219e+00 110 9.167569e-01 98 255.62 9.333333e+02 9.333333e+02 12 55 2.033333
BMS_061 arizona 3 54 TeddyGrahamschocolate.bmp 2.592072e+02 22 999 220 999 999 260.42 9.333333e+02 9.333333e+02 48 53 0.613333
BMS_061 arizona 3 55 PopTartsCinnamon.bmp 2.640073e+02 22 999 220 999 999 265.22 9.333333e+02 9.333333e+02 36 41 1.046667
BMS_061 arizona 3 56 Whatchamacallit.bmp 2.688075e+02 22 999 220 999 999 270.02 9.333333e+02 9.333333e+02 54 56 0.300000
BMS_061 arizona 3 57 100grand_small.bmp 2.736076e+02 11 1.134748e+00 110 9.334190e-01 98 274.82 9.500000e+02 9.333333e+02 14 1 2.020000
BMS_061 arizona 3 58 3Musketeers.bmp 2.784077e+02 21 1.158576e+00 210 9.334100e-01 98 279.62 9.500000e+02 9.500000e+02 39 2 1.013333
BMS_061 arizona 3 59 Cheetos.bmp 2.832079e+02 12 999 120 999 999 284.42 9.500000e+02 9.500000e+02 9 8 2.066667
BMS_061 arizona 3 60 FamousAmos_small.bmp 2.880080e+02 22 999 220 999 999 289.22 9.500000e+02 9.500000e+02 46 15 0.760000
BMS_061 arizona 3 61 Goldfish.bmp 2.928081e+02 22 999 220 999 999 294.02 9.500000e+02 9.500000e+02 40 23 1.006667
BMS_061 arizona 3 62 MilkyWay.bmp 2.976083e+02 12 999 120 999 999 298.82 9.500000e+02 9.500000e+02 24 35 1.586667
BMS_061 arizona 3 63 Keeblerfudgestripes.bmp 3.024084e+02 12 999 120 999 999 303.63 9.500000e+02 9.500000e+02 20 28 1.933333
BMS_061 arizona 3 64 Sourpatch.bmp 3.072419e+02 12 999 120 999 999 308.46 9.500000e+02 9.500000e+02 6 52 2.453333
