subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_061 arizona 1 1 KitKat_small.bmp 4.816801e+00 12 999 120 999 999 6.03 950 950 11 29 2.040000
BMS_061 arizona 1 2 Cheezits.bmp 9.616933e+00 21 1.212468e+00 2100 9.501020e-01 98 10.83 950 900 45 9 0.813333
BMS_061 arizona 1 3 MilkyWay.bmp 1.441707e+01 12 999 120 999 999 15.63 950 900 24 35 1.586667
BMS_061 arizona 1 4 Sourpatch.bmp 1.921720e+01 12 999 120 999 999 20.43 950 900 6 52 2.453333
BMS_061 arizona 1 5 Keeblerfudgestripes.bmp 2.401733e+01 12 999 120 999 999 25.23 950 900 20 28 1.933333
BMS_061 arizona 1 6 AnimalCrackers.bmp 2.881747e+01 22 999 220 999 999 30.03 950 900 55 4 0.293333
BMS_061 arizona 1 7 PopTartsCinnamon.bmp 3.361760e+01 22 999 220 999 999 34.83 950 900 36 41 1.046667
BMS_061 arizona 1 8 TeddyGrahamschocolate.bmp 3.841773e+01 22 999 220 999 999 39.63 950 900 48 53 0.613333
BMS_061 arizona 1 9 Cheetos.bmp 4.321787e+01 12 999 120 999 999 44.43 950 900 9 8 2.066667
BMS_061 arizona 1 10 ChipsAhoy_small.bmp 4.800133e+01 12 999 120 999 999 49.22 950 900 23 10 1.620000
BMS_061 arizona 1 11 Twix.bmp 5.280147e+01 11 1.230049e+00 1100 9.501238e-01 98 54.02 900 900 12 55 2.033333
BMS_061 arizona 1 12 Toberlorone.bmp 5.760160e+01 12 999 120 999 999 58.82 900 900 3 54 2.940000
BMS_061 arizona 1 13 Goldfish.bmp 6.240173e+01 22 999 220 999 999 63.62 900 900 40 23 1.006667
BMS_061 arizona 1 14 Milkduds.bmp 6.720187e+01 12 999 120 999 999 68.42 900 900 21 34 1.786667
BMS_061 arizona 1 15 Hersheymilk_several.bmp 7.200200e+01 12 999 120 999 999 73.22 900 900 5 26 2.540000
BMS_061 arizona 1 16 Snickers.bmp 7.680215e+01 12 999 120 999 999 78.02 900 900 17 50 2.000000
BMS_061 arizona 1 17 100grand_small.bmp 8.160227e+01 11 1.159225e+00 110 9.000845e-01 98 82.82 9.166667e+02 900 14 1 2.020000
BMS_061 arizona 1 18 FamousAmos_small.bmp 8.640240e+01 22 999 220 999 999 87.62 9.166667e+02 900 46 15 0.760000
BMS_061 arizona 1 19 Nutterbutter.bmp 9.120254e+01 22 999 220 999 999 92.42 9.166667e+02 900 34 37 1.066667
BMS_061 arizona 1 20 Oreos.bmp 9.600267e+01 22 999 220 999 999 97.22 9.166667e+02 900 52 38 0.360000
BMS_061 arizona 1 21 Ghiradelli_milk.bmp 1.008028e+02 12 999 120 999 999 102.02 9.166667e+02 900 2 21 2.960000
BMS_061 arizona 1 22 FrootLoops.bmp 1.056029e+02 22 999 220 999 999 106.82 9.166667e+02 900 51 19 0.466667
BMS_061 arizona 1 23 MrGoodbar.bmp 1.104031e+02 22 999 220 999 999 111.62 9.166667e+02 900 42 36 0.960000
BMS_061 arizona 1 24 Redvines_small.bmp 1.152032e+02 21 1.133291e+00 210 9.001220e-01 98 116.42 9.166667e+02 9.166667e+02 49 44 0.553333
BMS_061 arizona 1 25 3Musketeers.bmp 1.200033e+02 21 1.362122e+00 2100 9.167392e-01 98 121.22 9.166667e+02 8.666667e+02 39 2 1.013333
BMS_061 arizona 1 26 Reeses.bmp 1.248035e+02 21 1.166953e+00 210 8.667679e-01 98 126.02 9.166667e+02 8.833333e+02 43 45 0.886667
BMS_061 arizona 1 27 Skittles.bmp 1.296036e+02 12 999 120 999 999 130.82 9.166667e+02 8.833333e+02 15 48 2.006667
BMS_061 arizona 1 28 Butterfinger.bmp 1.344037e+02 11 1.146694e+00 110 9.167392e-01 98 135.62 9.333333e+02 8.833333e+02 18 6 1.986667
BMS_061 arizona 1 29 FigNewton_small.bmp 1.392039e+02 22 999 220 999 999 140.42 9.333333e+02 8.833333e+02 33 16 1.086667
BMS_061 arizona 1 30 Chocolate_mm.bmp 1.440040e+02 22 999 220 999 999 145.22 9.333333e+02 8.833333e+02 37 11 1.020000
BMS_061 arizona 1 31 SourSkittles.bmp 1.488041e+02 11 1.195363e+00 110 9.334249e-01 98 150.02 9.500000e+02 8.833333e+02 8 51 2.200000
BMS_061 arizona 1 32 Whatchamacallit.bmp 1.536043e+02 22 999 220 999 999 154.82 9.500000e+02 8.833333e+02 54 56 0.300000
BMS_061 arizona 1 33 Chocolate_mm.bmp 1.584044e+02 22 999 220 999 999 159.62 9.500000e+02 8.833333e+02 37 11 1.020000
BMS_061 arizona 1 34 FamousAmos_small.bmp 1.632045e+02 22 999 220 999 999 164.42 9.500000e+02 8.833333e+02 46 15 0.760000
BMS_061 arizona 1 35 3Musketeers.bmp 1.680047e+02 21 1.097836e+00 210 8.834326e-01 98 169.22 9.500000e+02 9.000000e+02 39 2 1.013333
BMS_061 arizona 1 36 Cheetos.bmp 1.728048e+02 12 999 120 999 999 174.02 9.500000e+02 9.000000e+02 9 8 2.066667
BMS_061 arizona 1 37 Keeblerfudgestripes.bmp 1.776049e+02 12 999 120 999 999 178.82 9.500000e+02 9.000000e+02 20 28 1.933333
BMS_061 arizona 1 38 Nutterbutter.bmp 1.824051e+02 22 999 220 999 999 183.62 9.500000e+02 9.000000e+02 34 37 1.066667
BMS_061 arizona 1 39 Goldfish.bmp 1.872052e+02 22 999 220 999 999 188.42 9.500000e+02 9.000000e+02 40 23 1.006667
BMS_061 arizona 1 40 100grand_small.bmp 1.920053e+02 11 1.203040e+00 1100 9.500889e-01 98 193.22 9.000000e+02 9.000000e+02 14 1 2.020000
BMS_061 arizona 1 41 Skittles.bmp 1.968055e+02 12 999 120 999 999 198.02 9.000000e+02 9.000000e+02 15 48 2.006667
BMS_061 arizona 1 42 FrootLoops.bmp 2.016056e+02 22 999 220 999 999 202.82 9.000000e+02 9.000000e+02 51 19 0.466667
BMS_061 arizona 1 43 Toberlorone.bmp 2.064057e+02 12 999 120 999 999 207.62 9.000000e+02 9.000000e+02 3 54 2.940000
BMS_061 arizona 1 44 Reeses.bmp 2.112059e+02 21 1.187640e+00 210 9.000805e-01 98 212.42 9.000000e+02 9.166667e+02 43 45 0.886667
BMS_061 arizona 1 45 TeddyGrahamschocolate.bmp 2.160060e+02 22 999 220 999 999 217.22 9.000000e+02 9.166667e+02 48 53 0.613333
BMS_061 arizona 1 46 Butterfinger.bmp 2.208061e+02 11 1.205226e+00 1100 9.000904e-01 98 222.02 8.500000e+02 9.166667e+02 18 6 1.986667
BMS_061 arizona 1 47 KitKat_small.bmp 2.256063e+02 12 999 120 999 999 226.82 8.500000e+02 9.166667e+02 11 29 2.040000
BMS_061 arizona 1 48 FigNewton_small.bmp 2.304064e+02 22 999 220 999 999 231.62 8.500000e+02 9.166667e+02 33 16 1.086667
BMS_061 arizona 1 49 Whatchamacallit.bmp 2.352065e+02 22 999 220 999 999 236.42 8.500000e+02 9.166667e+02 54 56 0.300000
BMS_061 arizona 1 50 Hersheymilk_several.bmp 2.400067e+02 12 999 120 999 999 241.22 8.500000e+02 9.166667e+02 5 26 2.540000
BMS_061 arizona 1 51 Oreos.bmp 2.448068e+02 22 999 220 999 999 246.02 8.500000e+02 9.166667e+02 52 38 0.360000
BMS_061 arizona 1 52 MrGoodbar.bmp 2.496069e+02 22 999 220 999 999 250.82 8.500000e+02 9.166667e+02 42 36 0.960000
BMS_061 arizona 1 53 Snickers.bmp 2.544071e+02 12 999 120 999 999 255.62 8.500000e+02 9.166667e+02 17 50 2.000000
BMS_061 arizona 1 54 Milkduds.bmp 2.592072e+02 12 999 120 999 999 260.42 8.500000e+02 9.166667e+02 21 34 1.786667
BMS_061 arizona 1 55 ChipsAhoy_small.bmp 2.640073e+02 12 999 120 999 999 265.22 8.500000e+02 9.166667e+02 23 10 1.620000
BMS_061 arizona 1 56 Twix.bmp 2.688075e+02 11 1.116042e+00 110 8.500720e-01 98 270.02 8.666667e+02 9.166667e+02 12 55 2.033333
BMS_061 arizona 1 57 Sourpatch.bmp 2.736076e+02 12 999 120 999 999 274.82 8.666667e+02 9.166667e+02 6 52 2.453333
BMS_061 arizona 1 58 MilkyWay.bmp 2.784078e+02 12 999 120 999 999 279.62 8.666667e+02 9.166667e+02 24 35 1.586667
BMS_061 arizona 1 59 Cheezits.bmp 2.832079e+02 21 1.167600e+00 210 9.167725e-01 98 284.42 8.666667e+02 9.333333e+02 45 9 0.813333
BMS_061 arizona 1 60 PopTartsCinnamon.bmp 2.880080e+02 22 999 220 999 999 289.22 8.666667e+02 9.333333e+02 36 41 1.046667
BMS_061 arizona 1 61 SourSkittles.bmp 2.928081e+02 11 1.143385e+00 110 8.667599e-01 98 294.02 8.833333e+02 9.333333e+02 8 51 2.200000
BMS_061 arizona 1 62 AnimalCrackers.bmp 2.976083e+02 22 999 220 999 999 298.82 8.833333e+02 9.333333e+02 55 4 0.293333
BMS_061 arizona 1 63 Redvines_small.bmp 3.024084e+02 21 1.192119e+00 210 9.334249e-01 98 303.63 8.833333e+02 9.500000e+02 49 44 0.553333
BMS_061 arizona 1 64 Ghiradelli_milk.bmp 3.072085e+02 12 999 120 999 999 308.43 8.833333e+02 9.500000e+02 2 21 2.960000
