subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_061 arizona 6 1 Snickers.bmp 4.816801e+00 12 999 120 999 999 6.03 9.500000e+02 9.500000e+02 17 50 2.000000
BMS_061 arizona 6 2 Skittles.bmp 9.616931e+00 12 999 120 999 999 10.83 9.500000e+02 9.500000e+02 15 48 2.006667
BMS_061 arizona 6 3 Chocolate_mm.bmp 1.441707e+01 22 999 220 999 999 15.63 9.500000e+02 9.500000e+02 37 11 1.020000
BMS_061 arizona 6 4 Sourpatch.bmp 1.921720e+01 12 999 120 999 999 20.43 9.500000e+02 9.500000e+02 6 52 2.453333
BMS_061 arizona 6 5 Twix.bmp 2.401734e+01 11 1.203537e+00 1100 9.516811e-01 98 25.23 9.000000e+02 9.500000e+02 12 55 2.033333
BMS_061 arizona 6 6 Nutterbutter.bmp 2.881747e+01 22 999 220 999 999 30.03 9.000000e+02 9.500000e+02 34 37 1.066667
BMS_061 arizona 6 7 AnimalCrackers.bmp 3.361760e+01 22 999 220 999 999 34.83 9.000000e+02 9.500000e+02 55 4 0.293333
BMS_061 arizona 6 8 MilkyWay.bmp 3.841773e+01 12 999 120 999 999 39.63 9.000000e+02 9.500000e+02 24 35 1.586667
BMS_061 arizona 6 9 Redvines_small.bmp 4.321787e+01 21 1.188165e+00 210 9.536725e-01 98 44.43 9.000000e+02 9.666667e+02 49 44 0.553333
BMS_061 arizona 6 10 Hersheymilk_several.bmp 4.800134e+01 12 999 120 999 999 49.22 9.000000e+02 9.666667e+02 5 26 2.540000
BMS_061 arizona 6 11 Keeblerfudgestripes.bmp 5.280147e+01 12 999 120 999 999 54.02 9.000000e+02 9.666667e+02 20 28 1.933333
BMS_061 arizona 6 12 KitKat_small.bmp 5.760160e+01 12 999 120 999 999 58.82 9.000000e+02 9.666667e+02 11 29 2.040000
BMS_061 arizona 6 13 FrootLoops.bmp 6.240174e+01 22 999 220 999 999 63.62 9.000000e+02 9.666667e+02 51 19 0.466667
BMS_061 arizona 6 14 Ghiradelli_milk.bmp 6.720187e+01 12 999 120 999 999 68.42 9.000000e+02 9.666667e+02 2 21 2.960000
BMS_061 arizona 6 15 SourSkittles.bmp 7.200200e+01 11 1.091950e+00 110 9.001023e-01 98 73.22 9.166667e+02 9.666667e+02 8 51 2.200000
BMS_061 arizona 6 16 Cheezits.bmp 7.680214e+01 21 1.185824e+00 210 9.667788e-01 98 78.02 9.166667e+02 9.833333e+02 45 9 0.813333
BMS_061 arizona 6 17 Reeses.bmp 8.160227e+01 21 1.179539e+00 210 9.834619e-01 98 82.82 9.166667e+02 1.000000e+03 43 45 0.886667
BMS_061 arizona 6 18 PopTartsCinnamon.bmp 8.640241e+01 22 999 220 999 999 87.62 9.166667e+02 1.000000e+03 36 41 1.046667
BMS_061 arizona 6 19 ChipsAhoy_small.bmp 9.120254e+01 12 999 120 999 999 92.42 9.166667e+02 1.000000e+03 23 10 1.620000
BMS_061 arizona 6 20 TeddyGrahamschocolate.bmp 9.600268e+01 22 999 220 999 999 97.22 9.166667e+02 1.000000e+03 48 53 0.613333
BMS_061 arizona 6 21 Oreos.bmp 1.008028e+02 22 999 220 999 999 102.02 9.166667e+02 1.000000e+03 52 38 0.360000
