subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_084 arizona 1 1 Nutterbutter.bmp 4.801805e+00 12 999 120 999 999 6.02 950 950 6 37 1.513333
BMS_084 arizona 1 2 PopTartsCinnamon.bmp 9.603650e+00 21 1.347086e+00 2100 9.512438e-01 98 10.82 950 900 48 41 0.053333
BMS_084 arizona 1 3 3Musketeers.bmp 1.440550e+01 22 999 220 999 999 15.62 950 900 49 2 0.046667
BMS_084 arizona 1 4 CheesyDoritos.bmp 1.920738e+01 12 999 120 999 999 20.42 950 900 12 7 1.040000
BMS_084 arizona 1 5 Keeblerfudgestripes.bmp 2.400919e+01 22 999 220 999 999 25.23 950 900 37 28 0.073333
BMS_084 arizona 1 6 Riprolls.bmp 2.881104e+01 21 1.261709e+00 2100 9.000830e-01 98 30.03 950 850 42 46 0.060000
BMS_084 arizona 1 7 PopTartsStrawberry.bmp 3.361288e+01 12 999 120 999 999 34.83 950 850 2 42 2.026667
BMS_084 arizona 1 8 Snickers.bmp 3.841477e+01 12 999 120 999 999 39.63 950 850 14 50 1.040000
BMS_084 arizona 1 9 100grand_small.bmp 4.321652e+01 12 999 120 999 999 44.43 950 850 20 1 0.760000
BMS_084 arizona 1 10 Twix.bmp 4.800175e+01 11 1.208851e+00 1100 9.510837e-01 98 49.22 900 850 17 55 1.026667
BMS_084 arizona 1 11 Slimjim.bmp 5.280359e+01 12 999 120 999 999 54.02 900 850 24 49 0.726667
BMS_084 arizona 1 12 Milkduds.bmp 5.760544e+01 12 999 120 999 999 58.82 900 850 3 34 1.520000
BMS_084 arizona 1 13 KitKat_small.bmp 6.240729e+01 22 999 220 999 999 63.62 900 850 54 29 0.026667
BMS_084 arizona 1 14 FrootLoops.bmp 6.720913e+01 22 999 220 999 999 68.43 900 850 34 19 0.093333
BMS_084 arizona 1 15 Laysclassic.bmp 7.201098e+01 22 999 220 999 999 73.23 900 850 33 31 0.233333
BMS_084 arizona 1 16 Laffytaffyred_one.bmp 7.681283e+01 22 999 220 999 999 78.03 900 850 36 30 0.086667
BMS_084 arizona 1 17 BabyRuth.bmp 8.161471e+01 11 1.497050e+00 1100 9.000688e-01 98 82.83 850 850 11 5 1.040000
BMS_084 arizona 1 18 Almondjoy.bmp 8.641652e+01 22 999 220 999 999 87.63 850 850 43 3 0.053333
BMS_084 arizona 1 19 Funyuns_small.bmp 9.120173e+01 22 999 220 999 999 92.42 850 850 45 20 0.053333
BMS_084 arizona 1 20 Skittles.bmp 9.600358e+01 22 999 220 999 999 97.22 850 850 55 48 0.013333
BMS_084 arizona 1 21 Toberlorone.bmp 1.008054e+02 21 1.519275e+00 2100 8.500811e-01 98 102.02 850 800 40 54 0.073333
BMS_084 arizona 1 22 MrGoodbar.bmp 1.056073e+02 21 1.256488e+00 2100 8.000795e-01 98 106.82 850 750 46 36 0.053333
BMS_084 arizona 1 23 Oreos.bmp 1.104091e+02 12 999 120 999 999 111.63 850 750 18 38 0.853333
BMS_084 arizona 1 24 Chocolate_mm.bmp 1.152109e+02 12 999 120 999 999 116.43 850 750 23 11 0.740000
BMS_084 arizona 1 25 Cheezits.bmp 1.200128e+02 12 999 120 999 999 121.23 850 750 8 9 1.106667
BMS_084 arizona 1 26 SourSkittles.bmp 1.248146e+02 22 999 220 999 999 126.03 850 750 39 51 0.073333
BMS_084 arizona 1 27 Redvines_small.bmp 1.296165e+02 22 999 220 999 999 130.83 850 750 51 44 0.046667
BMS_084 arizona 1 28 Doritosranch.bmp 1.344017e+02 11 1.363079e+00 1100 8.500886e-01 98 135.62 800 750 9 13 1.053333
BMS_084 arizona 1 29 Hersheymilk_several.bmp 1.392035e+02 22 999 220 999 999 140.42 800 750 52 26 0.040000
BMS_084 arizona 1 30 FigNewton_small.bmp 1.440053e+02 11 1.381435e+00 1100 8.000635e-01 98 145.22 750 750 15 16 1.033333
BMS_084 arizona 1 31 Goldfish.bmp 1.488072e+02 12 999 120 999 999 150.02 750 750 5 23 1.513333
BMS_084 arizona 1 32 RitzBitz2.bmp 1.536090e+02 12 999 120 999 999 154.83 750 750 21 47 0.760000
BMS_084 arizona 1 33 Twix.bmp 1.584109e+02 11 1.083857e+00 110 7.500732e-01 98 159.63 7.666667e+02 750 17 55 1.026667
BMS_084 arizona 1 34 Snickers.bmp 1.632127e+02 12 999 120 999 999 164.43 7.666667e+02 750 14 50 1.040000
BMS_084 arizona 1 35 Doritosranch.bmp 1.680146e+02 11 1.173083e+00 110 7.667428e-01 98 169.23 7.833333e+02 750 9 13 1.053333
BMS_084 arizona 1 36 Nutterbutter.bmp 1.728164e+02 12 999 120 999 999 174.03 7.833333e+02 750 6 37 1.513333
BMS_084 arizona 1 37 Milkduds.bmp 1.776016e+02 12 999 120 999 999 178.82 7.833333e+02 750 3 34 1.520000
BMS_084 arizona 1 38 Funyuns_small.bmp 1.824034e+02 22 999 220 999 999 183.62 7.833333e+02 750 45 20 0.053333
BMS_084 arizona 1 39 PopTartsStrawberry.bmp 1.872053e+02 12 999 120 999 999 188.42 7.833333e+02 750 2 42 2.026667
BMS_084 arizona 1 40 FigNewton_small.bmp 1.920071e+02 11 1.114649e+00 110 7.834155e-01 98 193.22 8.000000e+02 750 15 16 1.033333
BMS_084 arizona 1 41 Slimjim.bmp 1.968090e+02 12 999 120 999 999 198.03 8.000000e+02 750 24 49 0.726667
BMS_084 arizona 1 42 PopTartsCinnamon.bmp 2.016108e+02 21 1.311970e+00 2100 7.500759e-01 98 202.83 8.000000e+02 700 48 41 0.053333
BMS_084 arizona 1 43 RitzBitz2.bmp 2.064127e+02 12 999 120 999 999 207.63 8.000000e+02 700 21 47 0.760000
BMS_084 arizona 1 44 Almondjoy.bmp 2.112145e+02 22 999 220 999 999 212.43 8.000000e+02 700 43 3 0.053333
BMS_084 arizona 1 45 100grand_small.bmp 2.160163e+02 12 999 120 999 999 217.23 8.000000e+02 700 20 1 0.760000
BMS_084 arizona 1 46 BabyRuth.bmp 2.208015e+02 11 1.220091e+00 1100 8.000709e-01 98 222.02 7.500000e+02 700 11 5 1.040000
BMS_084 arizona 1 47 Chocolate_mm.bmp 2.256034e+02 12 999 120 999 999 226.82 7.500000e+02 700 23 11 0.740000
BMS_084 arizona 1 48 KitKat_small.bmp 2.304053e+02 22 999 220 999 999 231.62 7.500000e+02 700 54 29 0.026667
BMS_084 arizona 1 49 Toberlorone.bmp 2.352071e+02 21 9.897342e-01 210 7.000723e-01 98 236.42 7.500000e+02 7.166667e+02 40 54 0.073333
BMS_084 arizona 1 50 Goldfish.bmp 2.400089e+02 12 999 120 999 999 241.23 7.500000e+02 7.166667e+02 5 23 1.513333
BMS_084 arizona 1 51 SourSkittles.bmp 2.448108e+02 22 999 220 999 999 246.03 7.500000e+02 7.166667e+02 39 51 0.073333
BMS_084 arizona 1 52 MrGoodbar.bmp 2.496126e+02 21 1.578179e+00 2100 7.167625e-01 98 250.83 7.500000e+02 6.666667e+02 46 36 0.053333
BMS_084 arizona 1 53 Redvines_small.bmp 2.544145e+02 22 999 220 999 999 255.63 7.500000e+02 6.666667e+02 51 44 0.046667
BMS_084 arizona 1 54 Laffytaffyred_one.bmp 2.592163e+02 22 999 220 999 999 260.43 7.500000e+02 6.666667e+02 36 30 0.086667
BMS_084 arizona 1 55 Keeblerfudgestripes.bmp 2.640015e+02 22 999 220 999 999 265.22 7.500000e+02 6.666667e+02 37 28 0.073333
BMS_084 arizona 1 56 Hersheymilk_several.bmp 2.688034e+02 22 999 220 999 999 270.02 7.500000e+02 6.666667e+02 52 26 0.040000
BMS_084 arizona 1 57 Skittles.bmp 2.736052e+02 22 999 220 999 999 274.82 7.500000e+02 6.666667e+02 55 48 0.013333
BMS_084 arizona 1 58 Laysclassic.bmp 2.784070e+02 22 999 220 999 999 279.62 7.500000e+02 6.666667e+02 33 31 0.233333
BMS_084 arizona 1 59 Riprolls.bmp 2.832089e+02 21 8.969018e-01 210 6.667490e-01 98 284.43 7.500000e+02 6.833333e+02 42 46 0.060000
BMS_084 arizona 1 60 CheesyDoritos.bmp 2.880107e+02 12 999 120 999 999 289.23 7.500000e+02 6.833333e+02 12 7 1.040000
BMS_084 arizona 1 61 3Musketeers.bmp 2.928125e+02 22 999 220 999 999 294.03 7.500000e+02 6.833333e+02 49 2 0.046667
BMS_084 arizona 1 62 Oreos.bmp 2.976144e+02 12 999 120 999 999 298.83 7.500000e+02 6.833333e+02 18 38 0.853333
BMS_084 arizona 1 63 FrootLoops.bmp 3.024162e+02 22 999 220 999 999 303.63 7.500000e+02 6.833333e+02 34 19 0.093333
BMS_084 arizona 1 64 Cheezits.bmp 3.072014e+02 12 999 120 999 999 308.42 7.500000e+02 6.833333e+02 8 9 1.106667
